mean_surface_net_long_wave_radiation_flux_mean_PCA_1,mean_surface_net_long_wave_radiation_flux_mean_PCA_2,mean_surface_net_long_wave_radiation_flux_mean_PCA_3,mean_surface_net_long_wave_radiation_flux_mean_PCA_4,mean_surface_net_long_wave_radiation_flux_mean_PCA_5,mean_surface_net_long_wave_radiation_flux_mean_PCA_6,mean_surface_net_long_wave_radiation_flux_mean_PCA_7,mean_surface_net_long_wave_radiation_flux_mean_PCA_8,mean_surface_net_long_wave_radiation_flux_mean_PCA_9,mean_surface_net_long_wave_radiation_flux_mean_PCA_10
-0.5594023053528826,-0.7189192852345919,-0.3275878811980233,0.11805055382189548,-0.15725170645846542,0.16117819588343354,0.008289051541502165,0.07297747792587851,-0.06627264267173195,-0.02953809325980023
-0.5920628703445211,-0.717175568031929,-0.31333001663377197,0.10576018195934175,-0.1326839509430775,0.14330775011079824,0.016451923668097085,0.024874288357285262,-0.00891427969862344,-4.72318878833959e-05
-0.6164176001365791,-0.7158902805008722,-0.29190636930435393,0.12447782349323541,-0.09165966495910807,0.09911796910205871,0.023686299519502303,-0.00474401562731073,0.0080908278816023,0.017553664411490335
-0.6581897108684295,-0.6915332773382376,-0.27000125944827097,0.13434374164400179,-0.058347941177050965,0.05314072977294231,0.016831900837799566,-0.03500490472929681,0.048519980495442296,0.021372109165903663
-0.6828601762574737,-0.6751285237415424,-0.2582508887344584,0.12780427298835076,0.0007916080121665727,-0.05174229018515628,-0.011265796539800485,-0.045400705600153066,0.0557210415591732,0.006183737146460001
-0.7188161302670325,-0.6442200645266677,-0.22276948617518597,0.10536947236697157,0.047011898349348054,-0.11030037809086903,-0.017187782894898668,-0.058534923388521905,0.04605338154787802,-0.002111154215866319
-0.7417083153468751,-0.6261237842747687,-0.18141602343531169,0.06151430511601326,0.06574893305944224,-0.14849869997146709,-0.02844872545742246,-0.06366620249178874,-0.026490372943780746,-0.03108828760941441
-0.7840134678197234,-0.5872623897842003,-0.11492196209818475,0.008463787221941313,0.12396514697395884,-0.1507542455139197,-0.027546356525237032,-0.011862488131977496,-0.04265621859237283,-0.020676528215519737
-0.816395332514201,-0.5520824341839061,-0.05202238965919757,-0.07681992995952797,0.13502817476010373,-0.10379159101924262,-0.025769449802256,0.026222234239713132,-0.037108311538290535,0.014207156689185697
-0.8394632819969358,-0.5110086160512076,-0.014056770217369537,-0.11648892098385645,0.1485513753918691,-0.06340496566641853,-0.01846141115569809,0.05882450139364276,-0.04028726705353663,0.0285089083221501
