2m_dewpoint_temperature_max_PCA_1,2m_dewpoint_temperature_max_PCA_2,2m_dewpoint_temperature_max_PCA_3,2m_dewpoint_temperature_max_PCA_4,2m_dewpoint_temperature_max_PCA_5,2m_dewpoint_temperature_max_PCA_6,2m_dewpoint_temperature_max_PCA_7,2m_dewpoint_temperature_max_PCA_8,2m_dewpoint_temperature_max_PCA_9,2m_dewpoint_temperature_max_PCA_10
-0.8771125210559391,0.411365205955391,0.21177911307558708,0.06346389774787385,-0.1374129879126562,0.05815611035389018,0.04502495521604574,0.029666421248003207,0.03606375543075637,0.02536958230135603
-0.8866069145743217,0.40386351572486806,0.20624994729846002,0.06095745008930556,-0.12689221444821894,0.044405204014160995,0.03236587381873198,0.02018008066641066,0.012709095684641458,0.015040768802077503
-0.8956040129522279,0.39705543485014483,0.19751342359865923,0.059016469637445286,-0.10510831123279067,0.03570809713600478,0.015041070234570467,0.012050192574726754,0.0032102736916858232,-0.0070734394464599245
-0.9046396789470635,0.38950853062985097,0.18885915441623988,0.04885462037296281,-0.07016843146648574,0.023716142227463544,-0.004609383952693808,-0.00582441860967118,-0.013219864646821202,-0.02007973531868758
-0.9114092122488106,0.3925185154082832,0.15761669280506552,0.04796779070508865,-0.03257188972969325,0.0035849098987892295,-0.03229025862246348,-0.013111974261507738,-0.027180340327060112,-0.021000011819940347
-0.9188437278137158,0.385898409246441,0.11901305769122617,0.04529371051181289,0.00986764914038556,-0.03372712803642428,-0.04912408769038834,-0.021364385983767484,-0.04426948450820921,-0.010645170492378384
-0.9272966997062146,0.3640704841304361,0.10838062387581407,0.03579677571532693,0.040113200985936036,-0.05697642605092875,-0.059913551356853945,-0.022256085939694567,-0.028907937306649787,0.001677839290165784
-0.9362384317411991,0.34724558335242556,0.07612920902600574,0.016863904995684628,0.06081596592044391,-0.06743080239831746,-0.05102927338879834,-0.023689072785170226,-0.008143205574461609,0.0112461292744841
-0.9485573583521925,0.3080013804998738,0.04331874730966154,-0.008331967987020369,0.10339671597695704,-0.07332572865654675,-0.023881873168901693,-0.01035734753786424,0.04118910315922911,0.0036600379346569743
-0.9582536671220075,0.28241764805096886,0.015609500759361053,-0.01733571123849486,0.11213532244589268,-0.04751832022441634,-0.0085999568422984,0.0068253696447081015,0.043300506833719624,0.005638913162010248
-0.9634058170608346,0.26348164957331816,-0.001071272571550238,-0.028234382117272066,0.1187865573409017,-0.03509460448950099,0.004532154798276495,0.011749726823124196,0.027843557207880284,0.010681084506333044
-0.9691481061056199,0.23650425721380677,-0.034222432559326096,-0.041876858842974964,0.1254137215992967,-0.011471797442453068,0.027182871031450787,0.01817442417765221,0.009191191437956126,0.0014831030595294696
-0.9727158550679011,0.21693340264850675,-0.062161905380689865,-0.05560956493512504,0.11073865021127698,0.01894429594988975,0.043648922934417744,0.020034356136342576,-0.0036580720801394897,0.001871656628680167
-0.9744640210517855,0.19886908629785116,-0.0731777736350566,-0.06831905892000091,0.10601183998769906,0.0367829272522704,0.05247056297090997,0.011361069608665226,-0.011507112471322835,0.00634895532685569
-0.9754061696837252,0.18809509673066888,-0.090638555739221,-0.08832811859609017,0.0831051437020454,0.05350156310546555,0.04528460074623638,0.006196862536871304,-0.017345919320240804,-0.003703362840881574
-0.9783045106209233,0.1547706849171278,-0.12349086204024357,-0.09463824938086242,0.042746559997273705,0.07536664863878853,0.0392293222672505,-0.016619511270603435,-0.022481708303353803,-0.007891416670841075
-0.9808296528731185,0.11968819276398421,-0.150116024967091,-0.09997040614307924,-0.005559195058028551,0.06770129829714389,0.020565820696442378,-0.01462068517687306,-0.020750728416908528,-0.01375254540144569
-0.9827269375151204,0.05966993021391109,-0.1728388927000277,-0.09243380138544632,-0.05520654284124537,0.04619741428815893,-0.012712789155972628,-0.03041492785911235,0.005563095438459832,-0.016584607334461023
-0.972490980664476,0.048520371967589446,-0.21523715651655667,-0.09221565605040086,-0.09460989205025895,0.012772889475340431,-0.03218190343096143,-0.04178044583163901,0.02283285563734413,0.001333156125329247
-0.9689833480137153,0.01202201263573442,-0.2201673305190597,-0.08531623052698795,-0.12920383967974916,-0.013682336095080789,-0.043080176856595466,-0.036409768905008,0.018873859114818516,0.0016743992666248364
-0.9732743150279238,-0.02288750390530233,-0.2148783039875267,-0.06219473545075268,-0.12118825039405734,-0.028304788901678323,-0.03299334504000068,-0.007337318188712687,0.0094354310681054,0.021392795632974578
-0.9789540904519518,-0.07040954857370173,-0.1991602647420277,-0.021544597043916293,-0.09328348736954513,-0.04061748582386113,-0.015845825742154263,0.02561541304002287,-0.0054618995574810545,0.011239752402396603
-0.9816854746379537,-0.1127712746389196,-0.16936827895873469,0.029344249900719935,-0.05816120475763857,-0.043236545201956855,0.0007511356576199672,0.04994097979703736,-0.018724616974488444,-0.011011910549358416
-0.9704097305764534,-0.17492390032552838,-0.15874768704291017,0.09196206665704552,-0.03897426147877808,-0.05210939449530657,0.009136317459539117,0.06895481988976727,-0.018891461530013802,0.002694798524040761
-0.9578610666185281,-0.22687573727020904,-0.13374232681209705,0.1459211102694171,-0.01932853243219458,-0.049962631059758136,0.026790401543823842,0.05562191275061728,-0.014679757002980603,0.005860329874485669
-0.9425655974469538,-0.2823937508174283,-0.09311881889082577,0.18153048154564172,4.036334713725685e-06,-0.043773977083891386,0.04914156958080748,0.006794434441766789,0.003744862114368442,-0.013914495894669894
-0.9215232112985992,-0.33399903907306827,-0.05059824720146458,0.21297803593628797,0.023900512745713608,-0.014523904564834428,0.04333694790817144,-0.05160128654848862,0.01598836337930518,-0.034774545468745054
-0.9036030588510084,-0.38966369273585183,-0.021960446483540518,0.18429109894032603,0.035309468921761164,0.0405198867745879,0.0184660894828505,-0.09062412847229182,0.016530870080116035,0.0030085786954729726
-0.8954361026710859,-0.4327461072375009,0.01109463289715378,0.13331222986228491,0.047967496246475505,0.05158815675031192,-0.020740406104553605,-0.03697691078780673,-0.015574330488523242,0.036097839240126384
-0.885409458470732,-0.4589382072146511,0.045161259191369416,0.059581954816804665,0.053874663522349354,0.087164775853929,-0.05403011720790379,0.024758331279209723,-0.003984567919436564,0.03275815686846548
-0.8772828716644427,-0.47021559293406706,0.08132012433967019,-0.004831020027877732,0.06384960415153502,0.07841907759341166,-0.07687202016291876,0.04313778735475266,0.002013460700279346,0.004144732264501248
-0.8689070449249964,-0.47977395243408916,0.1335344722969435,-0.04960107244990086,0.042341525060786124,0.04043130059877305,-0.06486130382413044,0.036167734220837695,0.008560785294279758,-0.02945879383567816
-0.8528816405628175,-0.4942185518751599,0.17796910756354564,-0.09225997593613539,-0.014967827794217554,0.004285949630782862,-0.010191637111559399,0.02816477007101065,0.029163661565707984,-0.0313073514916005
-0.8379138974853947,-0.5058515338309892,0.1962432656353954,-0.12001749286622217,-0.03810220835634683,-0.041142588028552605,0.025200815667384507,0.0018890926187158427,0.0073161262743331274,-0.015565855134783084
-0.8272486005811276,-0.5068226954955233,0.21362437296386474,-0.14790831438101318,-0.03280402408155098,-0.060847342427830804,0.03864308897270258,-0.01964142548074224,-0.008925124884096221,-0.0005467930695139264
-0.8090514278896781,-0.5183340844324296,0.24014004321893542,-0.1500574751333533,-0.02996644394528873,-0.06328015493139533,0.05568701296428926,-0.04010301594413517,-0.029376816345983433,0.03630007789612343
