large_scale_precipitation_max_PCA_1,large_scale_precipitation_max_PCA_2,large_scale_precipitation_max_PCA_3,large_scale_precipitation_max_PCA_4,large_scale_precipitation_max_PCA_5,large_scale_precipitation_max_PCA_6,large_scale_precipitation_max_PCA_7,large_scale_precipitation_max_PCA_8,large_scale_precipitation_max_PCA_9,large_scale_precipitation_max_PCA_10
0.7424588644093499,0.49261592486226197,-0.2128409258419468,-0.1321316402766271,-0.18115364446957036,0.28837673092205635,-0.09128892355790799,-0.030630731734879377,-0.036168706812600836,0.12216799112624921
0.7753461166206136,0.5225519798548457,-0.1534576829368436,-0.08201600964965344,-0.1793376836435835,0.23147812693969427,-0.10600270035061393,-0.04630135431375591,0.013272369189017972,0.04843928612070655
0.7871683912465637,0.5261570480025849,-0.2084534299165478,-0.05576259750259623,-0.11414690393892789,0.19034595600436693,-0.0626542612789059,0.0006128982457196656,-0.012407344553881034,-0.040273918232834126
0.80482185164914,0.5204446700496387,-0.21394737799820965,-0.07749984705388949,-0.060632672041706845,0.11306506992197855,0.007308909552641551,0.07141681391134384,0.011977168060533472,-0.07532402954889682
0.797730431835416,0.5063389806069201,-0.2744397146800107,-0.1493365412295233,-0.0345005798610057,-0.009045173197281604,0.059075204633647016,0.08329783851213364,0.029337705556430296,-0.049121823667306774
0.7966228508266263,0.4536367159474807,-0.3149812291294197,-0.19129582880939533,0.013594896372879027,-0.06687315038649741,0.12930729619270293,0.08148172693698426,0.03807115718158096,-0.03885999527300351
0.8158229514291628,0.4530812005084625,-0.273127527634812,-0.17562829146065972,0.042970545366225466,-0.1151074826661742,0.10866616846725852,0.047767775015540054,0.031356500679280155,-0.02852608343398432
0.815286228759313,0.45559509193096237,-0.24333626074135437,-0.1586917049625962,0.029755962803952363,-0.18247215706932124,0.10606861324714784,-0.0108204198146899,0.042768820938541154,0.005130119417403803
0.8592774582800874,0.426445419929614,-0.18536168252279134,-0.08289552889216908,0.010121692238948574,-0.19020092504217756,0.030842405039263245,-0.07679370642304635,-0.003589934371921952,0.020377987683573573
0.903191653011249,0.3625111698851269,-0.14010228698117383,-0.001192936944533423,0.08060646976161126,-0.14608314932211705,-0.02487737077760205,-0.09610751651283765,-0.033750866042657236,0.04772629706632986
0.9148987370294942,0.3199806240611557,-0.0958659978430313,0.07527962294264395,0.08273505974326066,-0.14336750596620682,-0.06517062092211429,-0.09723684398813656,-0.08704966386894315,0.059047018756825734
