mean_surface_latent_heat_flux_mean_PCA_1,mean_surface_latent_heat_flux_mean_PCA_2,mean_surface_latent_heat_flux_mean_PCA_3,mean_surface_latent_heat_flux_mean_PCA_4,mean_surface_latent_heat_flux_mean_PCA_5,mean_surface_latent_heat_flux_mean_PCA_6,mean_surface_latent_heat_flux_mean_PCA_7,mean_surface_latent_heat_flux_mean_PCA_8,mean_surface_latent_heat_flux_mean_PCA_9,mean_surface_latent_heat_flux_mean_PCA_10
-0.5874140851478681,0.6182449706738807,-0.39425551075067217,-0.0919152318722315,0.28377231490462906,-0.1663046575866788,0.0013727388307309353,0.11257107256288337,0.04788109897278123,0.02657440553911119
-0.6395146286295601,0.6189401424675526,-0.3796812958190048,-0.10362005490964406,0.22538502236994887,-0.12007772133942142,0.017895010702345508,0.04389441003541174,0.011185413211081807,-0.0027335724353301696
-0.6899257322457756,0.6122661446057195,-0.33681710938571435,-0.13101406742801933,0.16745923253201422,-0.04878020781334017,0.02728431604570092,-0.028744832284995643,-0.021918938246660212,-0.019434021477127323
-0.7321219617251041,0.5913964864567777,-0.299644065415912,-0.15203002407416039,0.10071032857113753,0.01413440426358287,0.03142849051901851,-0.04877494717960507,-0.04171252903587037,-0.028928122731117188
-0.7730067153091292,0.5707741214825826,-0.24386883564906991,-0.1360951348700295,0.04000761346193469,0.0749393891645724,0.009482172632283665,-0.06662554688985926,-0.03326687868995959,-0.02249629487908482
-0.8025834280905587,0.545197542170052,-0.1996672740852378,-0.12371495761117066,-0.01572339801932778,0.10784037089640235,-0.01356523437914597,-0.06856564834074338,-0.02223586264323303,0.015327787193673297
-0.8261069807971978,0.5231097545050029,-0.1529916651095371,-0.09521231039707803,-0.05826517227434583,0.11837035820676611,-0.06551411255982383,-0.06022936057609609,0.0036715189237643392,0.027827161483134338
-0.8497409631996109,0.4891485184024637,-0.10535225185650086,-0.058231632334499614,-0.11939754722891001,0.1335466415486323,-0.07006446750325668,-0.022717677860067856,0.024209487113716358,0.025500739655621267
-0.8767912401626191,0.4475801545487259,-0.062880276612249,0.00024498879791222226,-0.15924526145314225,0.10195407435012199,-0.059632566006984966,0.0139309212874275,0.0462814002176332,0.022941563564122268
-0.8977468653385045,0.395113554095282,-0.04393786459858839,0.0429409268966847,-0.1933025401080354,0.08732819896308804,-0.03720528765697471,0.038182515863353424,0.037134079595281554,-0.0020502001492979133
