surface_sensible_heat_flux_mean_PCA_1,surface_sensible_heat_flux_mean_PCA_2,surface_sensible_heat_flux_mean_PCA_3,surface_sensible_heat_flux_mean_PCA_4,surface_sensible_heat_flux_mean_PCA_5,surface_sensible_heat_flux_mean_PCA_6,surface_sensible_heat_flux_mean_PCA_7,surface_sensible_heat_flux_mean_PCA_8,surface_sensible_heat_flux_mean_PCA_9,surface_sensible_heat_flux_mean_PCA_10
-0.836460605408758,0.2807596953822828,-0.03525829898105517,0.2915829189365902,-0.2859705949781373,-0.2371272888976793,0.007614578141531325,-0.10042376006963093,-0.020322673968125437,0.027721224672141772
-0.8501136095162231,0.30047410909482913,-0.0319160658240244,0.30911749157452356,-0.2615866481869998,-0.18713024501353923,0.022600546403537664,-0.04061365308475258,-0.005988115254975495,-0.0035508942100837995
-0.8731791004807652,0.3192663723540148,-0.005711251141282078,0.29533757083624146,-0.22212251875538935,-0.11103383829152214,0.030012445476237864,0.015197480900912901,0.007527902958142683,-0.02008674738257855
-0.8877896996412005,0.3422348404786962,0.005274915223375306,0.27122728461475015,-0.17766431152155968,-0.029690432714740055,0.014817969424167996,0.03866751582204183,0.02653236925188471,-0.020802879006052342
-0.8932321249712908,0.3696690461383841,0.008147764908546953,0.2361209072686033,-0.1306460058062991,0.0465097153910131,-0.009793542998362246,0.06340026578929002,0.025950593562985087,-0.017659235834454588
-0.885568756208831,0.39699945165130346,0.018849318044033357,0.22240064836480947,-0.07061308393429311,0.11114322216682104,-0.03551054918137951,0.06392120916703828,0.014715922064732177,-0.0016434542266253918
-0.8839316557946645,0.3943875797892796,-0.01044073962609246,0.20929086339314282,-0.034524977921006936,0.15365540827125726,-0.0841080711589888,0.04348658827379713,0.01268509431876518,0.013117429596792603
-0.8837625449364527,0.3921200561674569,-0.02490836378103559,0.1895911401742629,0.044482280026752107,0.1863572454688044,-0.07619239087808329,0.007844260008567047,0.0007698066555975912,0.017023333313118286
-0.9034108039534936,0.36339786272428826,-0.07791261034747965,0.12230559515918574,0.13031777229919894,0.15073664416452456,-0.05791027472918602,-0.027689848586386928,-0.037483285257585604,0.03102280175848022
-0.9076245306424349,0.33076633125403204,-0.1105330065495687,0.09015702756340832,0.19259199938771684,0.146831465274443,-0.011584289323852404,-0.027665412249673362,-0.03493237468674325,0.017905019696110736
-0.9121683342563246,0.2974270716816243,-0.15157658822313727,0.04895793936424233,0.24107747184125228,0.08870767151833495,0.03287858999776551,-0.026692246561886998,-0.03139163281432399,0.008591123795515798
-0.9096208688348033,0.2773142573588246,-0.1890183479305952,0.031309968789269234,0.258310233798023,0.04994103229056356,0.05349992141308475,-0.039733904846822085,-0.012111877737221636,-0.02221596145398444
-0.9123134558945335,0.24165907549437582,-0.2032095420511127,-0.0008881695483232327,0.272919228908361,-0.004292535126746349,0.07314100517679942,-0.03599241115451447,0.022523072324740857,-0.039000658493779455
-0.9158745524118865,0.20111654272864393,-0.2479393390360979,-0.08305952974074944,0.22860404369962603,-0.0757868427610966,0.09158885477144406,-0.01770398576422187,0.013151838598365766,-0.024385017200978503
-0.9133757486612917,0.14945319049899672,-0.28109743705877765,-0.1478185352276784,0.1787148202989983,-0.13985376047654707,0.07400075574818311,0.005930984806502754,0.018656672983138518,-0.013912665182064568
-0.9094378237471211,0.12321165694024555,-0.2994893753389872,-0.22306174846856738,0.08439781491507138,-0.15127389382293044,0.03692439136497945,0.04242651980106734,0.00890028385436132,0.008562977624554104
