10m_orientation_of_wind_min_PCA_1,10m_orientation_of_wind_min_PCA_2,10m_orientation_of_wind_min_PCA_3,10m_orientation_of_wind_min_PCA_4,10m_orientation_of_wind_min_PCA_5,10m_orientation_of_wind_min_PCA_6,10m_orientation_of_wind_min_PCA_7,10m_orientation_of_wind_min_PCA_8,10m_orientation_of_wind_min_PCA_9,10m_orientation_of_wind_min_PCA_10
0.37405715721861893,-0.7176376399351465,0.43741012160600745,0.10950586335272178,-0.26308511410348895,-0.14248172584231292,-0.013117810785799064,0.10778850106066133,-0.11918739014695452,-0.009365637411473575
0.3659513366467541,-0.7324869540477217,0.45200450574853,0.11798727424583269,-0.27822241472212283,-0.14566618417148514,-0.015914336250512976,0.08975674777312549,-0.09715529127026509,-0.005666739667431642
0.4158886967874579,-0.7117707181052295,0.48344918557080147,0.10221258228898107,-0.2504296223951477,-0.06002260433585681,-0.05268590627131592,0.07876472253754012,-0.0853572591037974,0.005493244493571779
0.4689461424409841,-0.683318897914431,0.4867388891196779,0.09597027465827326,-0.23182274177385034,-0.021452008376109645,-0.07652834873380893,0.07465568217398627,-0.06776097070707868,0.04067749440043492
0.5074745731427347,-0.656556600958651,0.4867506193572248,0.041460126124917,-0.1308590804843817,0.08058203415324502,-0.06273178060659541,-0.020596291793512533,0.11985568034384399,-0.0132056569099813
0.5616696569110468,-0.5635978597877104,0.39203368263636457,0.025653693009303907,0.23472729673153916,0.12130380830759661,0.0446996510120719,-0.29902675519069133,0.17944641326366859,0.030283736404245233
0.7254347067067863,-0.36283390250194364,0.36741834308651694,0.005864999913152638,0.29012897440697577,0.04885355300311497,0.027315083731853082,-0.15506537422542005,0.2579442104429771,0.006778442027620639
0.7719742703763414,-0.3354790215742599,0.03488470084449164,-0.2898505719598283,0.3943337844580046,-0.08366421865163812,-0.033503802884266916,0.0019337045117133328,0.07833766999399448,-0.12812319592642935
0.8077428971814111,-0.33420562871233794,-0.03931822752685264,-0.3033350075817008,0.2862540641206941,-0.07783380768813201,0.12246596266501988,0.0635977052409129,0.11620406437432902,-0.07945440487567548
0.8155597505700766,-0.22834267068493827,-0.16700238796045774,-0.3248322266139456,0.3277664478027547,-0.048176233316255396,0.1498634749319131,0.04873608840696356,0.06365903127209231,-0.04491447464382933
