mean_sea_level_pressure_mean_PCA_1,mean_sea_level_pressure_mean_PCA_2,mean_sea_level_pressure_mean_PCA_3,mean_sea_level_pressure_mean_PCA_4,mean_sea_level_pressure_mean_PCA_5,mean_sea_level_pressure_mean_PCA_6,mean_sea_level_pressure_mean_PCA_7,mean_sea_level_pressure_mean_PCA_8,mean_sea_level_pressure_mean_PCA_9,mean_sea_level_pressure_mean_PCA_10
-0.7753063206235244,-0.6182878671411566,0.14789409624989885,0.08530573291527987,0.05105755005672013,-0.006399806779031842,0.0069873298574202715,0.018107604451090876,0.0058995444480492085,-0.01975286727069877
-0.8003242079286956,-0.5942827027234074,0.12675572528794132,0.06851403816409843,0.037107688346215896,0.002757835883530616,-3.9350292477417144e-05,0.004878867090342558,0.0005258782467435964,-0.004366330056848603
-0.8296741038213822,-0.5592751480952622,0.10599011559824557,0.05445448399400433,0.02011252588869597,0.002072953921674353,-0.0013920445653766871,-0.0034165165630164022,-0.0008003667085956346,0.010821330554217518
-0.8514610514331266,-0.53029090196177,0.08856096853725164,0.035237643410756005,-0.00594164212970789,0.004849623575481196,-0.006289777341992721,-0.014368308033807772,-0.008021856261135505,0.016277102312712677
-0.869755371687641,-0.5032441964609738,0.06919967641643784,0.01263408221206554,-0.024430060442000932,0.005098367868222485,0.0016373024282276532,-0.01994404859334887,-0.004069998503767185,0.013873730464262284
-0.8922673591959639,-0.4638094356791353,0.04453364213999783,-0.0019796461964475807,-0.04886767460286327,0.001558970883055197,0.00011848594563376394,-0.008727973115791914,-0.00957175934540563,0.0022761287996740337
-0.9123168397953808,-0.42355795940682645,0.015681890628472386,-0.022769771654495206,-0.05601661759123729,0.002084095477266911,-0.0026299452641339346,-0.00606412279958669,-0.0007037281084741407,-0.00854906948683786
-0.9280664376125556,-0.38604395023710286,-0.007510006852149723,-0.043796165108293865,-0.055486593810915745,-0.0030184045549597276,-0.0055716884803344415,0.006183894046044592,-0.010533974817786894,-0.018571140037556593
-0.9493263822367342,-0.3299204617928221,-0.028750589779990742,-0.05916776561054705,-0.02143825660206518,-0.007581305559220907,0.011503702151397628,0.009840604877425392,0.020424519353355066,6.619046743055818e-05
-0.9643250729657651,-0.2802320656442908,-0.04750946970642784,-0.06332959708773173,-0.009095896869508974,-0.01439860162464729,0.005760361655812749,0.02000745649405897,0.019903626599462473,0.004185856050433216
-0.9770137449790142,-0.2267598162520028,-0.05975659321942514,-0.07443807456303447,0.010828960961701814,-0.008661079406788636,-0.0033291672934226725,0.018575785850246003,0.01353773669296927,0.010346875292490272
-0.9848755094882807,-0.18392593979562216,-0.07648794656295575,-0.07045714253057556,0.024677873449910744,-0.00768356957939551,-0.008479398368434558,0.014403558463242394,0.0031967225911018267,0.001954391828673197
-0.9921548704858884,-0.13342932128599153,-0.08845029484507937,-0.0686742382733425,0.025912416878977617,-0.010565910475210879,-0.014262451465014894,0.0024946258365813032,-0.009999197804251741,-0.001950627891115363
-0.9960054301362826,-0.09017544113335553,-0.10033812301174432,-0.06207431086290684,0.03603543374860636,-0.004074544464543037,-0.014509740528175875,-0.011066878639872336,-0.015159301088218965,-0.0009220509945142059
