time_step,variable,PCA_1
1,relative_humidity_50_mean,-3.783903888240553
2,relative_humidity_50_mean,-3.7797211463410334
3,relative_humidity_50_mean,-3.7024012396391472
4,relative_humidity_50_mean,-3.696006095358898
5,relative_humidity_50_mean,-3.6578625646947507
6,relative_humidity_50_mean,-3.4836379503329695
7,relative_humidity_50_mean,-3.364071794671649
8,relative_humidity_50_mean,-3.183920373217497
9,relative_humidity_50_mean,-2.947365389423547
10,relative_humidity_50_mean,-2.879031004656774
11,relative_humidity_50_mean,-2.8154123791638543
12,relative_humidity_50_mean,-2.9739102227553165
13,relative_humidity_50_mean,-3.09094734269852
14,relative_humidity_50_mean,-3.1041259972691897
15,relative_humidity_50_mean,-3.177919568997707
16,relative_humidity_50_mean,-3.150477667998725
17,relative_humidity_50_mean,-2.604053099293302
18,relative_humidity_50_mean,-2.236473383677806
19,relative_humidity_50_mean,-1.8502387682657866
20,relative_humidity_50_mean,-1.2822288691733112
21,relative_humidity_50_mean,-0.8960431044553043
22,relative_humidity_50_mean,-0.19808613287627594
23,relative_humidity_50_mean,0.903120680251407
24,relative_humidity_50_mean,1.6107145916676355
25,relative_humidity_50_mean,2.309469762897963
26,relative_humidity_50_mean,3.6293526405100613
27,relative_humidity_50_mean,4.12828289657028
28,relative_humidity_50_mean,4.5604801206243115
29,relative_humidity_50_mean,4.386740172815457
30,relative_humidity_50_mean,4.951640315544373
31,relative_humidity_50_mean,5.306359129685835
32,relative_humidity_50_mean,5.733473585066137
33,relative_humidity_50_mean,5.955264450148378
34,relative_humidity_50_mean,6.042030536768275
35,relative_humidity_50_mean,6.142307988286278
36,relative_humidity_50_mean,6.19860111236552
