time_step,variable,PCA_1
1,relative_humidity_70_mean,-4.025970556412192
2,relative_humidity_70_mean,-4.034693751831368
3,relative_humidity_70_mean,-3.980023635338255
4,relative_humidity_70_mean,-3.877883328614899
5,relative_humidity_70_mean,-3.7365685186160316
6,relative_humidity_70_mean,-3.611321828434301
7,relative_humidity_70_mean,-3.358911370319033
8,relative_humidity_70_mean,-3.2723627582102512
9,relative_humidity_70_mean,-3.007367068173481
10,relative_humidity_70_mean,-2.85099322811103
11,relative_humidity_70_mean,-2.707190347305535
12,relative_humidity_70_mean,-2.6341913031704203
13,relative_humidity_70_mean,-2.4770832274933197
14,relative_humidity_70_mean,-2.2556437537179654
15,relative_humidity_70_mean,-2.141604687727599
16,relative_humidity_70_mean,-1.9605191967712128
17,relative_humidity_70_mean,-1.695013222948655
18,relative_humidity_70_mean,-1.3004035219865595
19,relative_humidity_70_mean,-0.7996816515613366
20,relative_humidity_70_mean,-0.40438498106816917
21,relative_humidity_70_mean,0.23966549246997723
22,relative_humidity_70_mean,0.8173594134733332
23,relative_humidity_70_mean,1.5095711826907818
24,relative_humidity_70_mean,2.0638595938647124
25,relative_humidity_70_mean,2.575451733540833
26,relative_humidity_70_mean,3.0126384098089654
27,relative_humidity_70_mean,3.179613019421093
28,relative_humidity_70_mean,3.449752141522588
29,relative_humidity_70_mean,3.6428404050583216
30,relative_humidity_70_mean,3.9637499659831756
31,relative_humidity_70_mean,4.345611681694124
32,relative_humidity_70_mean,4.67361951503721
33,relative_humidity_70_mean,4.8751006453804875
34,relative_humidity_70_mean,5.079366295812683
35,relative_humidity_70_mean,5.278482335646405
36,relative_humidity_70_mean,5.4251301064068915
