time_step,variable,PCA_1,PCA_2,PCA_3
1,2m_temperature_min,-3.017741501285724,-2.5452524132157475,-2.7242422930743
2,2m_temperature_min,-3.841574100717138,-1.7644614358603983,-2.8959094118144817
3,2m_temperature_min,-3.875589172370933,-1.5065394601763786,-2.7374439061649642
4,2m_temperature_min,-4.000994625697939,-1.2610855911029222,-1.504366152799955
5,2m_temperature_min,-3.8384072319773357,-0.7411545066635534,-1.0622630209729513
6,2m_temperature_min,-3.965945281972913,-0.7395612591421644,-0.44368957746955817
7,2m_temperature_min,-4.045718037669063,-0.002340249920429492,-0.07389857859140261
8,2m_temperature_min,-3.92055601167665,-0.10360551023611281,0.448148250828825
9,2m_temperature_min,-3.4934720189435797,-1.5962382376409676,2.2423622740687716
10,2m_temperature_min,-2.7353736876146733,-1.2431584145030623,2.9372548490651074
11,2m_temperature_min,-2.4703375908923277,-1.1812604258521702,2.754793656638979
12,2m_temperature_min,-2.008088114726919,-0.7253243245794908,2.317336892267511
13,2m_temperature_min,-1.828446859555082,-0.44141808152394757,2.1972246539349922
14,2m_temperature_min,-1.461854042984063,-0.04677183225444305,1.9724195932601036
15,2m_temperature_min,-1.0572909180114032,0.6126899699925007,1.6004921341330867
16,2m_temperature_min,-1.224534719340365,1.9491279825186112,0.3578724638517107
17,2m_temperature_min,-1.275095289896802,2.931593661509721,-0.8059244061462683
18,2m_temperature_min,-0.8630126939724938,3.3942359514016682,-0.982494088470761
19,2m_temperature_min,-0.4951363253659657,3.395334761445574,-0.949613851323738
20,2m_temperature_min,-0.12267124825260302,3.4798004241230016,-0.8461284832018879
21,2m_temperature_min,0.5087897238729187,3.1449598835488253,-0.617020705673869
22,2m_temperature_min,1.1599614975742023,2.631745872851051,-0.3570510416469359
23,2m_temperature_min,1.658425502312863,2.206688938205516,-0.1657612184886085
24,2m_temperature_min,2.2350940299626187,1.5536386527650232,0.2708745100062075
25,2m_temperature_min,2.8562387439631216,0.9767288195349373,0.8036802170246233
26,2m_temperature_min,3.1415144510507376,0.5102365144017146,0.8521840777147398
27,2m_temperature_min,3.2996441982093114,-0.10350314886121588,0.7386328079077876
28,2m_temperature_min,3.515833932977789,-0.7403774149313167,0.4770004742372665
29,2m_temperature_min,3.592161105869887,-0.9626542597871013,0.12901434478294915
30,2m_temperature_min,3.747430591090356,-1.1369640142605686,-0.22890081096744055
31,2m_temperature_min,3.943218866995919,-1.2895246464987822,-0.48854640348297407
32,2m_temperature_min,3.9976548403331615,-1.3347320132677192,-0.7228469980004185
33,2m_temperature_min,4.051003336048364,-1.5780507785942974,-0.5552924804896536
34,2m_temperature_min,4.07063247758121,-1.8652342017054038,-0.7435250037843896
35,2m_temperature_min,3.7988358341266273,-1.882255203905333,-0.5336926377052457
36,2m_temperature_min,3.9654003409548864,-1.9953140078146199,-0.6606801294528702
