time_step,variable,PCA_1
1,relative_humidity_200_std,-3.4947790026368897
2,relative_humidity_200_std,-3.4255956501117715
3,relative_humidity_200_std,-3.2712771223628043
4,relative_humidity_200_std,-3.1522878654627307
5,relative_humidity_200_std,-3.0937983012052768
6,relative_humidity_200_std,-3.0094725531072535
7,relative_humidity_200_std,-2.925102833246976
8,relative_humidity_200_std,-2.9160667075556574
9,relative_humidity_200_std,-2.780446367118523
10,relative_humidity_200_std,-2.739947001167323
11,relative_humidity_200_std,-2.6152860942695257
12,relative_humidity_200_std,-2.406860643479064
13,relative_humidity_200_std,-2.195139472414035
14,relative_humidity_200_std,-1.9152594909576077
15,relative_humidity_200_std,-1.7875002186865403
16,relative_humidity_200_std,-1.651266841914874
17,relative_humidity_200_std,-1.438620526510966
18,relative_humidity_200_std,-1.0295274338702454
19,relative_humidity_200_std,-0.4878462923741541
20,relative_humidity_200_std,0.0442801942377252
21,relative_humidity_200_std,0.3704892968870375
22,relative_humidity_200_std,0.6919071365945949
23,relative_humidity_200_std,1.196148203654668
24,relative_humidity_200_std,1.5075990755995614
25,relative_humidity_200_std,1.924052607541529
26,relative_humidity_200_std,2.4056283595027717
27,relative_humidity_200_std,2.5962045487796486
28,relative_humidity_200_std,2.852212888537916
29,relative_humidity_200_std,3.021921861928268
30,relative_humidity_200_std,3.3556432734293242
31,relative_humidity_200_std,3.779008599886444
32,relative_humidity_200_std,4.166064748285292
33,relative_humidity_200_std,4.333300769284289
34,relative_humidity_200_std,4.546094987381869
35,relative_humidity_200_std,4.715689736231818
36,relative_humidity_200_std,4.829834130689438
