time_step,variable,PCA_1
1,large_scale_snowfall_min,-1.8547757030983485
2,large_scale_snowfall_min,-1.8547757030983523
3,large_scale_snowfall_min,-1.8547757030983496
4,large_scale_snowfall_min,-1.8547757030983512
5,large_scale_snowfall_min,-1.8547757030983512
6,large_scale_snowfall_min,-1.8547757030983512
7,large_scale_snowfall_min,-1.8547757030983512
8,large_scale_snowfall_min,-1.8547757030983512
9,large_scale_snowfall_min,-1.8547757030983512
10,large_scale_snowfall_min,-1.8547757030983512
11,large_scale_snowfall_min,-1.8624915771279547
12,large_scale_snowfall_min,-1.8624915771279547
13,large_scale_snowfall_min,-1.8624915771279547
14,large_scale_snowfall_min,-1.8624915771279547
15,large_scale_snowfall_min,-1.8624915771279547
16,large_scale_snowfall_min,-1.8624915771279547
17,large_scale_snowfall_min,-1.8624915771279547
18,large_scale_snowfall_min,-1.8624915771279547
19,large_scale_snowfall_min,-1.8434349332801427
20,large_scale_snowfall_min,-1.8434349332801427
21,large_scale_snowfall_min,9.2598102253051
22,large_scale_snowfall_min,9.25590362547151
23,large_scale_snowfall_min,9.261630277084826
24,large_scale_snowfall_min,9.26306116527651
25,large_scale_snowfall_min,9.264289697720072
26,large_scale_snowfall_min,9.264213856510835
27,large_scale_snowfall_min,-1.8434349332801427
28,large_scale_snowfall_min,-1.8434349332801427
29,large_scale_snowfall_min,-1.8434349332801427
30,large_scale_snowfall_min,-1.8434349332801427
31,large_scale_snowfall_min,-1.8434349332801427
32,large_scale_snowfall_min,-1.8434349332801427
33,large_scale_snowfall_min,-1.8434349332801427
34,large_scale_snowfall_min,-1.8434349332801427
35,large_scale_snowfall_min,-1.8434349332801427
36,large_scale_snowfall_min,-1.8434349332801427
