time_step,variable,PCA_1
1,relative_humidity_800_max,-2.9356542322029804
2,relative_humidity_800_max,-2.8928468850529376
3,relative_humidity_800_max,-2.871892047267312
4,relative_humidity_800_max,-2.9132962056106315
5,relative_humidity_800_max,-2.9600856197143846
6,relative_humidity_800_max,-2.9343425615693306
7,relative_humidity_800_max,-2.8320838950758285
8,relative_humidity_800_max,-2.826189697202681
9,relative_humidity_800_max,-2.6468414366679838
10,relative_humidity_800_max,-2.5505245240361756
11,relative_humidity_800_max,-2.459748869502016
12,relative_humidity_800_max,-2.3188032792978013
13,relative_humidity_800_max,-2.2883285407934486
14,relative_humidity_800_max,-2.1223741737897415
15,relative_humidity_800_max,-2.143071555588807
16,relative_humidity_800_max,-2.140074157423058
17,relative_humidity_800_max,-2.039487214556042
18,relative_humidity_800_max,-1.8085198378213883
19,relative_humidity_800_max,-1.3897323037275298
20,relative_humidity_800_max,-0.9468227761742987
21,relative_humidity_800_max,-0.5778292173617543
22,relative_humidity_800_max,-0.16552300091945302
23,relative_humidity_800_max,0.2824606820412275
24,relative_humidity_800_max,0.5627436577382222
25,relative_humidity_800_max,1.0299141760112935
26,relative_humidity_800_max,1.8077991393203952
27,relative_humidity_800_max,2.4923011096159353
28,relative_humidity_800_max,3.120409507997427
29,relative_humidity_800_max,3.6938481940487167
30,relative_humidity_800_max,4.1853081874999365
31,relative_humidity_800_max,4.663915803493511
32,relative_humidity_800_max,5.0705009995379156
33,relative_humidity_800_max,5.235502177043748
34,relative_humidity_800_max,5.416685798398744
35,relative_humidity_800_max,5.537959528293215
36,relative_humidity_800_max,5.664723070315341
