time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4
1,vertical_velocity_10_min,-1.2135154218064748,-3.6570230372104624,1.494362618619571,3.5381383465444585
2,vertical_velocity_10_min,-1.285929209253739,-3.860455489692995,1.6222007114630468,3.104816148983416
3,vertical_velocity_10_min,-1.7840184499936735,-4.277923124684897,0.8608953958885807,2.7477580321143353
4,vertical_velocity_10_min,-1.8400290338428504,-3.9291255733712678,-0.3001864538409112,1.4836233654533733
5,vertical_velocity_10_min,-2.1332580017654816,-3.8553050182390147,0.2587990447664381,0.4021268159225419
6,vertical_velocity_10_min,-2.142086730603262,-3.8681699983618136,-0.7026938204331956,-0.21957887446281105
7,vertical_velocity_10_min,-2.015226171695037,-3.6127704252697277,-0.643962835973802,-0.7351437932156955
8,vertical_velocity_10_min,-1.8396934788939903,-3.0817867976777746,-1.0462352704001259,-1.328159035379812
9,vertical_velocity_10_min,-2.335881060990032,-2.115855885824396,-1.1851950255447,-1.936892409404424
10,vertical_velocity_10_min,-1.9299440742359064,-2.4397530282334645,-1.3323238856621138,-2.1120893105079093
11,vertical_velocity_10_min,-2.05482107030964,-2.2238079089774994,-1.3849945979523193,-2.3844714786130226
12,vertical_velocity_10_min,-1.6139763207300135,-1.0582170668745947,-1.3217400375238846,-2.3553348107346377
13,vertical_velocity_10_min,-1.7673155037531652,0.4935042764904917,-0.3550246547397805,-2.0222359036221227
14,vertical_velocity_10_min,-1.4713924323310361,1.101027312584512,0.42343039124730586,-1.5643494100366349
15,vertical_velocity_10_min,-1.7314556391819,1.744336351351168,0.3991881181471684,-1.313729540474105
16,vertical_velocity_10_min,-3.2490827724573736,3.4901099444742583,0.6220150993791321,0.14490986202287115
17,vertical_velocity_10_min,-3.235475397407008,4.5517290175155,-0.20272256251679255,1.0962652600823113
18,vertical_velocity_10_min,-3.465488365839148,4.750224629669403,-0.2632486583916764,1.3998984242337504
19,vertical_velocity_10_min,-3.585719721928588,4.635677211945145,0.1036370589882292,0.9313126894839585
20,vertical_velocity_10_min,-3.6472342731457266,4.6535228022364175,0.32098663587003357,0.6421527803878827
21,vertical_velocity_10_min,-3.0471513571343194,4.79378179523573,0.9283383592778772,0.5439276415992687
22,vertical_velocity_10_min,2.243543259927221,0.42654499596098416,2.393937692631053,-1.2228558310328537
23,vertical_velocity_10_min,3.3222309754984507,0.9882334412962395,2.8186818925619854,-0.9872072695024183
24,vertical_velocity_10_min,3.021587397303364,0.8917410571296903,2.9549205930894633,-1.375870417173731
25,vertical_velocity_10_min,2.7177781179348264,0.009134886170771392,3.1903226466123025,-0.8801219797393606
26,vertical_velocity_10_min,2.760781258024603,-0.42006794854620083,2.8990451718204584,-0.011207073911465242
27,vertical_velocity_10_min,2.7194718806531006,-0.7259582379797987,2.5146961646350268,-0.2308328071939627
28,vertical_velocity_10_min,2.99651107750653,-0.019117377248790455,0.9367928638841839,-0.4575650548088305
29,vertical_velocity_10_min,3.331419107356168,0.32244708817880047,-0.5281150728904251,-0.44814659403793705
30,vertical_velocity_10_min,3.933569558669432,0.8918530965026807,-1.899865504300066,0.48898775978161885
31,vertical_velocity_10_min,3.852070901681529,0.6772911237045958,-1.6533987288677625,0.5855114546818277
32,vertical_velocity_10_min,3.592536385182031,1.1244164356344468,-1.3787889391201893,0.6911848563051416
33,vertical_velocity_10_min,3.631517271657137,0.9833270233796889,-2.1535684056975253,1.428771117614683
34,vertical_velocity_10_min,3.3582717222806346,0.7306852544154405,-2.294649681210244,1.0505585825565158
35,vertical_velocity_10_min,2.9647956522859875,0.7947720426754337,-2.981134339283939,0.4833196807110878
36,vertical_velocity_10_min,2.942609921337337,1.0909771316413146,-3.114401984532411,0.8225287753726958
