time_step,variable,PCA_1,PCA_2
1,relative_humidity_200_max,4.654713349505251,1.880698301886358
2,relative_humidity_200_max,4.7844479485396585,2.117538352844151
3,relative_humidity_200_max,4.720451976940005,2.1774663195396324
4,relative_humidity_200_max,4.4136763585292575,1.7890732592187615
5,relative_humidity_200_max,3.9264237152862793,1.092197131664056
6,relative_humidity_200_max,3.705363380006481,0.7668390290467458
7,relative_humidity_200_max,3.419704086525933,0.4648127556747866
8,relative_humidity_200_max,3.286232184251668,-0.051024333174789
9,relative_humidity_200_max,2.913406455802271,-0.17350262782003475
10,relative_humidity_200_max,2.509642681139804,-0.3391275306288883
11,relative_humidity_200_max,2.2149139858002496,-0.6117643690430111
12,relative_humidity_200_max,1.785733610663626,-0.962157626952013
13,relative_humidity_200_max,1.4018995252172097,-1.2576910914445079
14,relative_humidity_200_max,1.0297064952042647,-1.582639462316963
15,relative_humidity_200_max,0.5195733457722177,-1.722602482613499
16,relative_humidity_200_max,0.16370456669038327,-1.8881463250776398
17,relative_humidity_200_max,-0.12783407859343016,-1.9857929903737002
18,relative_humidity_200_max,-0.2542074050602447,-2.050694989211642
19,relative_humidity_200_max,-0.32777779871648494,-1.911138529956686
20,relative_humidity_200_max,-0.25908703448009784,-2.007563378747974
21,relative_humidity_200_max,-0.6815956359230447,-1.8298309037200222
22,relative_humidity_200_max,-0.9601503484828429,-1.6254020134450817
23,relative_humidity_200_max,-1.244101884955457,-1.377212207960557
24,relative_humidity_200_max,-1.8254679339483988,-0.7977155593525613
25,relative_humidity_200_max,-2.35202088632884,-0.1977627255219433
26,relative_humidity_200_max,-2.663495012849652,-0.05659436310604699
27,relative_humidity_200_max,-2.8285422686794157,0.0450266179076753
28,relative_humidity_200_max,-3.0752672278115787,0.3347736408637169
29,relative_humidity_200_max,-3.1726565698554112,0.723658499806725
30,relative_humidity_200_max,-3.217584910174982,1.0114154232420465
31,relative_humidity_200_max,-3.179685777924378,1.0507771831779162
32,relative_humidity_200_max,-3.6396013924054795,1.1900415661409307
33,relative_humidity_200_max,-3.7037897860053204,1.2786034954053949
34,relative_humidity_200_max,-3.8788155944841467,1.7224282820329015
35,relative_humidity_200_max,-3.9593014215937825,2.149654536551981
36,relative_humidity_200_max,-4.09861069760156,2.6333591154637754
