,PCA_1
0,0.4294937680684643
1,-0.49344024868860864
2,0.15954355987751667
3,-1.148820848952612
4,-0.3484834096412027
5,-0.6531276236468785
6,0.9298043590616054
7,0.5767802382758039
8,0.03056305848525115
9,-1.1345001759653028
10,-0.2645608082172506
11,-1.451720279404755
12,-1.4746840414029292
13,0.12667555989189738
14,-0.1965081369711339
15,0.4616710114274951
16,0.09920952333129962
17,0.5698737213933246
18,-1.0385025820415454
19,0.1786475847723794
20,0.2838810643926982
21,0.6923978913840172
22,0.5947748025653328
23,-0.9242951165880613
24,-0.9594367893635231
25,-1.2936402712430841
26,-1.3836188642994587
27,-0.7728581251357799
28,1.112175651698421
29,0.24488046778606398
30,0.5634459856895478
31,-0.024566167543228767
32,0.4080577509010057
33,-0.6398392028808522
34,-1.0373262232441196
35,-0.7055996010162665
36,1.0381127944055266
37,-0.7561107530235397
38,0.46784322227206276
39,-1.4639048800012517
40,0.4283439062020238
41,0.11011655210092208
42,0.5542247913606615
43,-1.753701289500513
44,1.5553672545535644
45,1.7090586363756144
46,0.3243744088934797
47,-0.7116211204038223
48,0.12931580853982205
49,-1.1935461730851769
50,-0.4898067586474957
51,-0.7194693014851152
52,1.1466316311222253
53,0.43250864659210786
54,-0.03177608740278731
55,-1.0972712008927936
56,-0.140070985700779
57,-1.5276567058296069
58,-1.8218515534033297
59,0.14987611525549416
60,-0.11577859937305862
61,0.46398673825730774
62,0.08466087179917264
63,0.7948003969224839
64,-1.011067371118481
65,0.25526569065736293
66,0.3021298418121795
67,0.6059853654849601
68,0.6679797889243329
69,-0.7642549913980745
70,-1.1470058616492596
71,-1.2745005148432687
72,-1.3130825648786693
73,-0.9176906122496491
74,1.1266941334576432
75,0.19830332299261766
76,0.6694457775416423
77,-0.06753424669432223
78,0.3842406827867504
79,-0.5642681979923371
80,-1.0397138328372004
81,-0.8049792264826237
82,1.0013460727230852
83,-0.7860579254732222
84,0.4413014301457502
85,-1.2847270184745052
86,0.5488687384596243
87,-0.012358742857664973
88,0.2640015451612636
89,-1.7343857089111272
90,1.5972234857520775
91,1.5897085888403317
92,0.43678619569827004
93,-0.6704510285449143
94,0.04779146795051553
95,-1.2704324226648196
96,-0.528379390466833
97,-0.8162227138065944
98,1.2004201386774125
99,0.3337572082667938
100,-0.1339271869119118
101,-0.7254194103319352
102,-0.08006923640987379
103,-1.6018794629188955
104,-1.94475300296284
105,0.13221630427228004
106,-0.15335909165178352
107,0.38912267673440915
108,-0.014552819916209436
109,1.1847339555338583
110,-0.9689096783021889
111,0.40200149692273224
112,0.15021506609543056
113,0.4165173552234409
114,0.6518767382229933
115,-0.7494383011096296
116,-1.3665441107993264
117,-1.1673015401046811
118,-1.2643912798075831
119,-0.8694903861431085
120,0.9294745903264663
121,0.25079426796705795
122,1.5824232445485118
123,0.04340724902119697
124,0.14882830592522667
125,-0.48894127968391227
126,-1.0766154002872321
127,-0.9888914861810626
128,0.8274598319562854
129,-0.8300037413776891
130,0.39007131933286854
131,-1.2847541188009488
132,0.5495699889202666
133,-0.018976495661570003
134,0.02890240924624432
135,-1.7209908544332104
136,1.3652588580689156
137,1.4970973551657214
138,0.024049010996382347
139,-0.652347459554152
140,0.3400162555881563
141,-1.3381051121798497
142,-0.6689132358680916
143,-0.7774293704225217
144,1.1523080083077528
145,0.14717237891154422
146,-0.3083191780109323
147,-0.7401408428417575
148,-0.1078026033929908
149,-1.5679862940499794
150,-2.0840335435284736
151,0.08094998973191359
152,-0.16226140459836147
153,0.41012215040523103
154,0.08390584043900517
155,1.3762847295091964
156,-0.7830067645183374
157,0.45062651343176874
158,0.09529479853754624
159,0.39723362342040835
160,0.5897603239627456
161,-0.8845659068484895
