storm_number,storm_name,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
82,C3S_STORM_TRACKS_ERA5,0.015917251027689015,0.00016027460910640625,0.0012875010095881642,0.010025789057651963,0.0010396510840294858,0.012376072546588662,1.4426279255156438,6.22428803767401e-05,0.26288493587443473,1.1102230246251565e-16,0.005633006694111377,0.278922569019582,0.7639311600701413,2.811178447700321e-07,-0.0
1,C3S_STORM_TRACKS_ERA5,0.06410928217106368,1.8831936012372502e-10,0.0016357264393223588,0.35486402590748056,5.4050097730997194e-12,-0.0,0.9219642353513576,-0.0,-0.0,-0.0,0.014741354866233592,1.3326408311399607e-06,9.616727418233413e-05,-0.0,1.26065824446266e-12
13,C3S_STORM_TRACKS_ERA5,-0.0,-0.0,0.06073597603908569,-0.0,5.75748337910885e-11,-0.0,0.0023078166108294784,-0.0,-0.0,-0.0,0.005492832414739938,0.32701883385692687,1.2606834309537491,-0.0,-0.0
95,AIDEN ,-0.0,1.0374784418759624e-08,6.913400965205541e-10,0.10899926025447716,1.0604351453218363e-08,-0.0,0.8567478829298352,-0.0,-0.0,-0.0,1.887379141862768e-15,2.2204460492503136e-16,1.9898260818810475e-10,-0.0,1.709425760010466e-08
7,HERTA,1.589389066067515e-09,0.018120963853638667,4.851686397015355e-06,1.6442382358363876,5.551115123125785e-16,-0.0,0.1396182819641342,2.665070386953375e-10,1.776356839400252e-15,-0.0,1.4260301268536976e-07,0.010572943779129254,6.205189684682981e-05,0.0011966189753575141,1.7085006879149929
79,C3S_STORM_TRACKS_ERA5,1.555535745653504e-08,4.2450705738916093e-05,2.3232527013333014e-12,1.1254497756140815,1.4061196651581392e-11,0.00032694343758482694,2.433695693471563,1.4609835574233911e-09,7.314149286233206e-13,-0.0,-0.0,1.4593881658708331e-12,2.0949908474678898e-13,4.100908641220879e-06,3.54274945937702e-05
50,C3S_STORM_TRACKS_ERA5,-0.0,-0.0,3.494358864975321e-05,0.0006561873261335426,1.1712852909796088e-13,-0.0,1.6517868162920732,-0.0,-0.0,-0.0,1.8296475445824253e-13,5.696243477067019e-11,3.405650914998292e-07,-0.0,2.910449659059083e-12
90,C3S_STORM_TRACKS_ERA5,-0.0,-0.0,0.025219000905303574,0.0012848932561817024,7.85973467179033e-09,-0.0,0.9468885020824338,-0.0,-0.0,2.5535129566378632e-15,0.0003514972394894029,0.19662253056072956,0.04298085547211989,-0.0,5.653255641392896e-13
27,C3S_STORM_TRACKS_ERA5,-0.0,5.411498073964806e-08,-0.0,0.014419822839022208,4.99552065460064e-06,-0.0,0.6910258807820187,-0.0,-0.0,-0.0,3.089956517654492e-09,-0.0,-0.0,-0.0,-0.0
58,C3S_STORM_TRACKS_ERA5,0.7204166808063638,1.4164178728831911e-09,0.057778914592067604,0.022399794350828988,0.4153156754747334,1.7391311685054167e-05,1.0449034130547337,8.126832540256477e-14,0.0001272654461440655,7.672258264498334e-06,0.02616208928919347,1.754735244068962,1.5191195384273868,4.378888363980094e-10,-0.0
76,C3S_STORM_TRACKS_ERA5,-0.0,3.5041732907589574e-08,1.9967760780165862e-10,0.7548797781451421,-0.0,-0.0,2.2939736944361693,2.231326234894129e-12,-0.0,-0.0,4.4408920985006364e-15,5.1057137816697666e-05,1.6110101196224237e-07,5.017082650811204e-09,0.010318831953424742
71,CHRISTIAN,0.20861794767321792,0.1694430322777147,4.561144796230077e-10,1.136547029527357,0.00026613605413250587,-0.0,7.209543023214393e-05,2.1202949418704498e-09,-0.0,-0.0,1.8504282833451025e-06,-0.0,-0.0,2.5561774919002275e-12,0.05001073209128723
63,C3S_STORM_TRACKS_ERA5,1.1102230246251565e-16,9.671141665747147e-11,2.0478652721387346e-05,0.18397447621567822,-0.0,-0.0,2.08922513495829,-0.0,-0.0,-0.0,7.771561172376099e-16,0.00024080146854769802,4.543937864725841e-07,-0.0,1.421796014266068e-11
48,GERO,1.1693376668708838e-08,2.1871393585115824e-14,0.25042141263879875,0.018668846427031736,1.2017619129283387e-09,-0.0,4.273644828861041,-0.0,-0.0,-0.0,0.00045125304722085075,0.032206657070527236,0.04065626043714137,-0.0,-0.0
45,C3S_STORM_TRACKS_ERA5,0.6848231287981872,0.12223908315729302,9.992007221626415e-16,0.7955007125875222,0.00010937246974152355,3.441691376337991e-15,0.20250194875488187,2.0459506332283975e-09,5.861540947428577e-07,-0.0,3.1588980428009825e-05,-0.0,-0.0,6.599187863050169e-11,0.012609014125675423
85,C3S_STORM_TRACKS_ERA5,0.91148610828969,4.001067256088576e-10,0.20633230604816294,0.10580703964862526,0.004927508823713,-0.0,4.191592640461701,-0.0,-0.0,-0.0,0.30189560187420217,4.955436835775756,5.531959954813308,-0.0,-0.0
6,WIEBKE,1.208091449442359,1.4083337221193417,7.763567311542385e-06,2.7107375858470726,0.7524197532565352,6.0781977724043355,0.4336557160376445,0.029896413189480848,0.8911362243031815,-0.0,0.0011249401314723873,-0.0,-0.0,0.3809168067666788,3.8413716652031155e-14
65,XYNTHIA,-0.0,0.24034558171447523,4.345987024152698e-09,1.4008356970467621,3.904442701995124e-07,0.0002253236134925645,0.08495268681061888,0.010108162359432021,2.375877272697863e-14,4.761451144199315,3.1222058276980863e-10,-0.0,-0.0,0.28514469650428675,4.462330950311775
19,C3S_STORM_TRACKS_ERA5,0.5958426635408827,0.5118489306411215,2.241576644864281e-06,0.8839450831709423,2.300998724193799e-06,-0.0,1.5812444719218044,0.020104114766878952,-0.0,-0.0,8.847578341520556e-07,-0.0,-0.0,0.0020459432607822965,1.1102230246251565e-16
61,EMMA,0.3244316588532625,0.04347087353907418,5.3226312247995776e-11,0.8753766959847061,1.2013176969854309e-08,-0.0,0.6599678303839759,4.150961109707043e-05,-0.0,-0.0,9.691460971772403e-10,-0.0,1.3342198703308825e-07,2.238209617644566e-13,-0.0
80,C3S_STORM_TRACKS_ERA5,0.6324959887907575,1.692602199699986,0.00024881277006630223,0.38007551257969685,0.3884269198000588,0.00018591440673740187,1.5795225659418441,1.58120410272505,0.0013484191727754294,-0.0,0.006437697380225307,0.27260757539084834,0.07247033607409988,0.00025832893916129636,-0.0
11,C3S_STORM_TRACKS_ERA5,-0.0,-0.0,5.127686432281143e-07,2.9799894891096333e-06,-0.0,-0.0,0.24902271697265882,-0.0,-0.0,-0.0,7.993605777301159e-15,9.830623585752939e-09,0.0005510126476130612,-0.0,-0.0
46,JEANETTE,0.15335676212948557,0.16281785420335596,4.162819955890543e-07,0.9665302596928059,0.00010551171824440346,-0.0,0.8465292690304603,3.054578812158338e-11,-0.0,-0.0,1.254915271612633e-07,5.810493493739901e-06,8.881784197001256e-16,2.2204460492503136e-16,-0.0
66,C3S_STORM_TRACKS_ERA5,0.10464848044298938,1.1441458512790059e-08,4.709309394935327e-05,0.13753708117848576,1.5997786456264935e-05,4.014733271764687e-05,1.8541294726880064,-0.0,0.002758248504322725,2.7973900977334144e-10,8.594808254720834e-05,0.1510134684155579,0.004107628246233478,-0.0,-0.0
