time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12
1,10m_magnitude_of_wind_max,3.9981653062472713,-2.4648343144895266,2.6339767299916765,,,,,,,,,
2,10m_magnitude_of_wind_max,4.236168872986127,-2.4347093770772994,2.1944219375545875,,,,,,,,,
3,10m_magnitude_of_wind_max,4.238261908607182,-2.147243861364115,1.1423592343835467,,,,,,,,,
4,10m_magnitude_of_wind_max,3.7927492409945986,-1.7671351282406047,0.7297897944365451,,,,,,,,,
5,10m_magnitude_of_wind_max,3.6710149762440514,-1.6231985541262521,-0.19854662376110654,,,,,,,,,
6,10m_magnitude_of_wind_max,3.547217222100907,-1.0547747429617782,-0.2720877954020896,,,,,,,,,
7,10m_magnitude_of_wind_max,3.629323463761091,-0.9895554113770633,-0.3669793217631542,,,,,,,,,
8,10m_magnitude_of_wind_max,3.079837318997728,-0.20175393219222246,-0.7806593580441936,,,,,,,,,
9,10m_magnitude_of_wind_max,2.785406765722504,0.652989686301257,-1.8473616971013918,,,,,,,,,
10,10m_magnitude_of_wind_max,2.723146139233254,1.2175960964878476,-2.029572433466808,,,,,,,,,
11,10m_magnitude_of_wind_max,2.1914496399411654,1.5669679207769625,-2.415086665648832,,,,,,,,,
12,10m_magnitude_of_wind_max,1.6549545838264412,1.934026727844285,-2.352968399395505,,,,,,,,,
13,10m_magnitude_of_wind_max,0.5019519881125896,2.7907349914612842,-1.7707061942195348,,,,,,,,,
14,10m_magnitude_of_wind_max,0.11112686001181392,2.8437846893204433,-1.5802786294368147,,,,,,,,,
15,10m_magnitude_of_wind_max,-0.22724892314675282,3.185950192770832,-0.9828797163581303,,,,,,,,,
16,10m_magnitude_of_wind_max,-0.48713170836579994,2.946473627982634,0.2976397193265712,,,,,,,,,
17,10m_magnitude_of_wind_max,-0.6802979691081331,2.658886816629548,1.0704099485351244,,,,,,,,,
18,10m_magnitude_of_wind_max,-0.5958801115599205,2.3791285199565224,1.2714593898873818,,,,,,,,,
19,10m_magnitude_of_wind_max,-0.7855656852845774,2.3065406874774137,1.6800460117627227,,,,,,,,,
20,10m_magnitude_of_wind_max,-0.9976957589730875,2.044265809490102,1.9699524933349437,,,,,,,,,
21,10m_magnitude_of_wind_max,-1.1739614710207193,1.8130962729650686,1.758114059129243,,,,,,,,,
22,10m_magnitude_of_wind_max,-1.418367942859172,1.8213022225483633,1.4107910892813844,,,,,,,,,
23,10m_magnitude_of_wind_max,-1.5777379422662288,1.4878313955356135,1.2416510252772925,,,,,,,,,
24,10m_magnitude_of_wind_max,-1.4890823469845593,1.013352040271043,0.9793289120174462,,,,,,,,,
25,10m_magnitude_of_wind_max,-1.6465675164536804,0.8589547845620149,0.8565319251486644,,,,,,,,,
26,10m_magnitude_of_wind_max,-2.3204674745622866,-0.29741076656231447,0.6845439878496682,,,,,,,,,
27,10m_magnitude_of_wind_max,-2.5237941556876318,-0.8628811125435901,0.4957111600026852,,,,,,,,,
28,10m_magnitude_of_wind_max,-2.684750993338875,-1.0756439388897494,0.33936273494223756,,,,,,,,,
29,10m_magnitude_of_wind_max,-2.671785796892759,-1.41338908152263,-0.000986320214309378,,,,,,,,,
30,10m_magnitude_of_wind_max,-2.6962003627477324,-1.8730627398700963,-0.24379684553025474,,,,,,,,,
31,10m_magnitude_of_wind_max,-2.9559696006761755,-1.9996766574477867,-0.42895812558142815,,,,,,,,,
32,10m_magnitude_of_wind_max,-2.8694852518727263,-2.3382294540815947,-0.4218646728548615,,,,,,,,,
33,10m_magnitude_of_wind_max,-2.502429693948749,-2.968089995461534,-0.8999093117773763,,,,,,,,,
34,10m_magnitude_of_wind_max,-2.702560860324917,-2.7508128364127598,-1.0791239755110045,,,,,,,,,
35,10m_magnitude_of_wind_max,-2.585307115295461,-2.6874247433544336,-1.4388908617286886,,,,,,,,,
36,10m_magnitude_of_wind_max,-2.568485605416779,-2.5720558344058886,-1.6454332050662335,,,,,,,,,
1,10m_magnitude_of_wind_min,-3.9624347793271633,-2.6921290109426588,-1.577230776012731,-0.8593245271148874,-0.20801364382801257,3.2419773198717126,0.9751751858942853,-1.7551194040324885,,,,
2,10m_magnitude_of_wind_min,-4.337304717549634,-3.4885968601382507,-1.0810502357821463,-1.7101334143385245,-1.0931035789181596,2.171738134461088,0.16140989389311147,0.16486014953849024,,,,
3,10m_magnitude_of_wind_min,-4.292228444126219,-4.011386555789745,-0.507344770932095,-1.0064520816078244,-2.1664034426772165,1.2272596434002336,-0.6854596898045261,0.1416319252803353,,,,
4,10m_magnitude_of_wind_min,-4.62503559080574,-3.86785005796015,0.3157881765346494,-0.42905418793826355,-1.6617194183239292,-0.03093530369278391,-0.371453013518418,0.2228880933512253,,,,
5,10m_magnitude_of_wind_min,-4.401376648503842,-3.374035846936622,0.25158644752632486,0.3791643914542882,-1.629778140111752,-0.9758985049554739,-1.0485429162480524,0.39021784521302877,,,,
6,10m_magnitude_of_wind_min,-5.016944410917982,-2.9709555133338363,0.2397655304072881,0.924830884686697,-1.3991190257478319,-1.2196252895711392,-0.7974146312403081,0.4556312750966298,,,,
7,10m_magnitude_of_wind_min,-4.673727393736106,-1.4913185364508632,0.4969092231195027,1.4455954631436105,-0.1246615476057725,-2.2355180168344857,-0.12696823259325846,0.5257744499055712,,,,
8,10m_magnitude_of_wind_min,-4.690888066780697,-1.2745045948924527,1.001151227244004,1.7188943081856378,-0.41366599885296174,-2.3625086603620784,-0.13524207104174177,0.43613893801249354,,,,
9,10m_magnitude_of_wind_min,-4.530306836200813,-0.7285130555924635,0.7801845840290494,1.2626504396823568,-0.03217175044523604,-2.2286440527274136,0.07875812491215022,1.0635862485689904,,,,
10,10m_magnitude_of_wind_min,-4.442582550672036,-0.42359431419438054,0.6424523721182471,0.677076676826387,1.8116924623240325,-1.232898212724771,0.8370312170061042,-0.9613306202190529,,,,
11,10m_magnitude_of_wind_min,-4.1718363865362935,0.23279331046599103,0.5047940696398341,0.1939433591009542,2.2597809325295293,0.10650043202710442,1.2330023369346086,-0.7992200455031713,,,,
12,10m_magnitude_of_wind_min,-4.388911255336536,-0.037681117455825586,-0.9227563740468632,-0.03324347234804632,2.346849165736374,0.34635825455097224,0.9700185792554903,-0.8308138202689931,,,,
13,10m_magnitude_of_wind_min,-3.475839638998181,2.014187303546049,0.3278351773554702,-0.7531590027430224,3.4531966541643286,1.4984952719918412,0.32500361037856895,0.34840210707430447,,,,
14,10m_magnitude_of_wind_min,-3.1874376955916817,4.023689893422372,0.4580140919597836,-1.371421854358437,1.8206017424222363,0.6603595512334722,-0.4915576280472945,0.21975204441125679,,,,
15,10m_magnitude_of_wind_min,-2.595061301197366,4.298937382773754,-0.10382719905807727,-0.6953223317797809,2.34171800082445,-0.07835648850819701,-0.3643236431154022,0.5759803732922195,,,,
16,10m_magnitude_of_wind_min,-2.9093208346144843,4.504357088258431,0.8766925754454293,-0.20715044652892597,1.184453031558794,0.7187084643536831,-1.2263959407764466,-0.016248415171773136,,,,
17,10m_magnitude_of_wind_min,-1.4876136000004758,5.229424102530508,0.3996034676245091,-0.6340220311893789,0.18981633050502203,1.0493329178632902,-0.49702050670583736,0.8511859218273173,,,,
18,10m_magnitude_of_wind_min,-0.8826708074269721,4.905238106835149,-0.8360806580659328,-1.2613482998162477,-2.101508436470335,0.21760077528519797,-0.9841359279189307,1.0972339800766593,,,,
19,10m_magnitude_of_wind_min,-0.689400706307665,3.9186349315345628,-0.14718501671436984,0.02701307097216253,-2.7823509945631844,1.7346482737315432,-0.3815083010008927,-0.7863578326047296,,,,
20,10m_magnitude_of_wind_min,2.4232370334782467,4.182850801645765,-0.5510262203153091,-0.8693884315769363,-3.201024555193277,-0.0798539894539407,-0.5657210123271643,-1.2726734815342742,,,,
21,10m_magnitude_of_wind_min,1.8882511139437133,4.514976229998148,-1.7549171518248483,0.22944256515940872,-2.6724325230170765,-1.1883354075732095,0.7107881895294353,-0.6648080980213564,,,,
22,10m_magnitude_of_wind_min,1.839223373518075,3.851031209436659,-1.8123019830589373,0.37892586699824543,-1.2630209999904498,-2.4211194543343915,2.952275736293182,-0.8669815747300024,,,,
23,10m_magnitude_of_wind_min,4.168649351713629,2.043026610278966,-0.0025816322082503145,2.3282842221298665,-0.5654870202055454,-0.2857199892216743,2.28262096073119,0.9001099291040151,,,,
24,10m_magnitude_of_wind_min,4.351867279784048,-0.1858158540955733,-0.6200151019555997,4.025240189988281,-0.664121352587437,2.8808449512161785,0.0009791004404572834,3.288955296124659,,,,
