time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29
1,10m_magnitude_of_wind_max,5.808266539365799,2.169220498649507,2.8632408787115784,-1.1459147387558963,-1.2162546697883794,0.3794610086550287,-0.6765005209114331,-0.6581799602116953,-0.020874628484825793,-0.4481681847733737,0.13404908520696257,0.2333486616832528,0.22594317229679722,-0.2025275499276297,-0.019534528477247785,-0.04914154858354564,-0.04897645110044266,-0.1389293378073765,0.1666205390071981,,,,,,,,,,
2,10m_magnitude_of_wind_max,5.610418230150417,2.3731983828856027,2.3380387004136276,-0.8779666307844978,-0.85634676609619,0.2692593425751434,0.03195274212886966,-0.24628766542414732,-0.11364044117925837,0.017481056983373426,-0.2842170633538029,0.20413400386296385,0.14272420562268892,0.08626216558694108,-0.13309672130293262,0.21971666044236116,-0.08405167428487424,-0.032684162891231314,-0.22551461216194743,,,,,,,,,,
3,10m_magnitude_of_wind_max,5.475827534794258,2.1440137591968873,1.7027552936681758,-0.7035755719837173,-0.6367512044990586,-0.009061632124137686,0.18478502703787747,0.1605208800157481,-0.48226297607604657,0.5674161807490921,0.02019715976422139,-0.5161235853818412,-0.39400591242492516,0.17287496448114165,0.1886777813455853,-0.005795367050642098,0.18482446179643,0.30055721828765536,0.012031407810507235,,,,,,,,,,
4,10m_magnitude_of_wind_max,5.325518345453186,1.855766393737782,0.3491989398354514,0.19913823842049613,0.7001489753460578,-0.27644924031686885,1.0913331149263983,0.9001573060525542,0.5170470516727709,0.40206693760514184,-0.13148837609934028,-0.15730644162171903,-0.3366156577072099,0.14777415136411098,0.10336663281062669,-0.2913186733791857,-0.2586562864946633,-0.15958365270025948,-0.04312097061019001,,,,,,,,,,
5,10m_magnitude_of_wind_max,5.029651633364834,1.2968101249722894,-0.3168459836705462,0.22531319679280307,1.1674767660994552,-0.45315012784152947,0.4773411310511623,0.6062549674747025,0.42445124974231646,-0.08801375870878758,-0.05408524878004489,0.2991806422523542,-0.0038875380884275477,-0.06421138220185715,-0.20332732563638126,-0.13102080811036743,-0.09197745892133681,-0.01803608102482416,0.33612948582436847,,,,,,,,,,
6,10m_magnitude_of_wind_max,4.735107472863482,0.9520137726557364,-0.5759052520042475,0.8410168343938088,1.1724704081521453,-0.415482386957507,0.3124844082534314,-0.0697073833292275,0.6168012159106968,-0.5677968918112857,0.34825657516186,0.003952949922389011,0.1899097475938395,-0.4422926194563356,0.04933847495547429,0.29082502472377414,0.5100356305772608,-0.025616146111033994,-0.0848924006125251,,,,,,,,,,
7,10m_magnitude_of_wind_max,4.40426104203279,0.48618938747411694,-1.307007777974945,0.9221970900353557,1.1267552943733037,-0.2507858254605756,-0.26037174485015946,-0.5213039041230799,0.10445091855758058,-0.29409075154264025,0.1913597271504036,-0.05355054858874782,0.2236471587250036,-0.0867128258673771,-0.11398355073845211,0.0072806877785727255,-0.15130585423612083,0.3777708031824908,-0.28929920276927684,,,,,,,,,,
8,10m_magnitude_of_wind_max,3.739708910909595,0.24743047265452559,-1.4715700780437808,1.2672065154962042,0.8421251740345767,-0.1760015061627625,-0.8492716900630697,-0.5736229549734985,-0.28826888221158453,-0.29748926889904487,-0.10743481250393537,-0.10974239956600856,0.17282501745630557,0.8953316757264518,0.06220224756077191,-0.09122202613797949,-0.2322505049526751,-0.20219636837597962,-0.002394687256174862,,,,,,,,,,
9,10m_magnitude_of_wind_max,3.632824542917403,-0.5595334930938634,-1.7223672247050432,0.8753841141352502,0.29500682260571043,0.13730622314382304,-1.0800016224982874,-0.4565240987421979,-0.3912053128694343,0.3646403458428002,-0.09502909623854566,-0.33430544024271225,-0.42996440497458366,-0.4134859500868884,0.076406088152217,-0.03516906107722911,0.07952059451777659,-0.1790981254982279,0.11576832958343344,,,,,,,,,,
10,10m_magnitude_of_wind_max,2.7833785417638195,-1.0560458020252352,-1.7815099348943113,0.7082825531155886,-0.6152077511793835,0.16084280984883853,-0.4731733552075745,0.32032368447746556,-0.37831070727809807,0.8587727027395895,0.15648051810183175,0.36109858131620887,-0.2997609267608455,-0.18709427165204745,-0.12027618956309281,0.26772709019173857,0.020046238917827038,-0.059101334293974475,0.05054778315966583,,,,,,,,,,
