selected_pc,train_rms,val_rms
relative_humidity_20_min_PC1,5.446305807442735,5.355570450037584
geopotential_500_min_PC1,5.212106840867792,5.22457379914165
100m_magnitude_of_wind_min_PC4,4.930030211284399,5.089593559759246
10m_orientation_of_wind_std_PC10,4.782735931614822,5.003782026230721
2m_temperature_min_PC3,4.674388920819406,4.926445106736424
2m_temperature_max_PC8,4.564325511818745,4.85242160398704
relative_humidity_50_std_PC2,4.352816036996187,4.803711601184198
2m_dewpoint_temperature_std_PC3,4.247611792235529,4.721565250711003
relative_humidity_1000_mean_PC3,4.078291598599583,4. 682978649517759
relative_humidity_ 950_min_PC10,3.854456691087065,4.581136707208694
relative_humidity_70_max_PC11,3.7410084779491943,4.5357320934663585
mean_top_net_long_wave_radiation_flux_std_PC2,3.638147776246117,4.516426917741113
relative_humidity_1000_std_PC3,3.5275497642638043,4.490347068606305
relative_humidity_925_max_PC5,3.434984713267337,4.4522939405760456
relative_humidity_600_max_PC6,3.3060042848248985,4.417452418193286
relative_humidity_200_min_PC11,3.2063688638506957,4.36372288343489
mean_top_net_short_wave_radiation_flux_min_PC6,3.0478732320219915,4.336971466545273
mean_total_precipitation_rate_std_PC1,2.9551387806203033,4.314249906059315
mean_surface_net_short_wave_radiation_flux_max_PC9,2.857499671039934,4.280718651725487
relative_humidity_600_mean_PC2,2.720396972501756,4.2596865129211
mean_top_net_long_wave_radiation_flux_max_PC10,2.6255460519118707,4.24269151030103
high_cloud_cover_std_PC4,2.5604373180202886,4.2233114822670235
relative_humidity_100_std_PC9,2.4909154397290862,4.208266327557786
