time_step,variable,PCA_1,PCA_2,PCA_3
1,mean_surface_sensible_heat_flux_min,-4.5267909999849705,-1.408217490534491,0.427188432308763
2,mean_surface_sensible_heat_flux_min,-4.794137929755393,-1.8002959398977272,0.7050961849001176
3,mean_surface_sensible_heat_flux_min,-4.93749124574765,-2.017942689608029,0.5749189206206063
4,mean_surface_sensible_heat_flux_min,-5.083262696745083,-2.1027512625817293,0.5421181019541106
5,mean_surface_sensible_heat_flux_min,-5.022452934554125,-2.4129214632660543,0.5909543969733632
6,mean_surface_sensible_heat_flux_min,-4.841974233208656,-2.6888958717954274,0.7433937207633896
7,mean_surface_sensible_heat_flux_min,-4.874946211687421,-2.537303677910678,0.31308549076755265
8,mean_surface_sensible_heat_flux_min,-4.7214104321338,-2.0841790985749573,0.10585456248803582
9,mean_surface_sensible_heat_flux_min,-4.565260726422749,-1.8048325470157782,0.05017200272580581
10,mean_surface_sensible_heat_flux_min,-3.8199587798132137,-1.1881533951308723,0.007681320094954752
11,mean_surface_sensible_heat_flux_min,-3.720661489539723,-0.6672529721695013,-0.39887660601751057
12,mean_surface_sensible_heat_flux_min,-3.612183770480589,0.14579862917791722,-0.9938218684295076
13,mean_surface_sensible_heat_flux_min,-3.150021654610371,1.0454597003858903,-1.602033631275768
14,mean_surface_sensible_heat_flux_min,-1.9955469104396013,1.9887821244065478,-2.1753011502810033
15,mean_surface_sensible_heat_flux_min,-1.5449030795967602,3.0121744853991124,-2.21813519845392
16,mean_surface_sensible_heat_flux_min,-0.7212102438281914,3.865578795507872,-2.3281752036983856
17,mean_surface_sensible_heat_flux_min,-0.3302708287872684,4.10222404150297,-2.241553413228982
18,mean_surface_sensible_heat_flux_min,0.19025200163955513,4.368833610308841,-1.5065878962705785
19,mean_surface_sensible_heat_flux_min,0.654256141962044,4.458286552908607,-0.9374824120714592
20,mean_surface_sensible_heat_flux_min,0.785280264680095,4.288028234330334,-0.11979977838749455
21,mean_surface_sensible_heat_flux_min,1.0454475794773728,3.663828101357342,0.9832921330150053
22,mean_surface_sensible_heat_flux_min,1.1499849443558143,3.5010138348576283,1.424032423450658
23,mean_surface_sensible_heat_flux_min,1.191028222588494,2.986727622027452,2.453423269970831
24,mean_surface_sensible_heat_flux_min,1.7248382839812142,2.023136153840527,3.3839764217152557
25,mean_surface_sensible_heat_flux_min,2.2125844030533144,1.444358796234946,3.5457714362077715
26,mean_surface_sensible_heat_flux_min,2.898007935653053,0.5740970559870264,2.9725637027574807
27,mean_surface_sensible_heat_flux_min,4.0150178125509095,-0.029016759051369644,2.3132121275807243
28,mean_surface_sensible_heat_flux_min,4.495221515400086,-0.6599294754614257,1.4542356548737994
29,mean_surface_sensible_heat_flux_min,4.858691556624319,-1.661378579783966,0.5655596985002868
30,mean_surface_sensible_heat_flux_min,5.120868145987314,-2.513720517752886,0.08046765094066587
31,mean_surface_sensible_heat_flux_min,5.219180067672586,-2.4917336436026862,-0.5745514333528144
32,mean_surface_sensible_heat_flux_min,5.272578116679583,-2.6773401221404702,-1.1429813548453926
33,mean_surface_sensible_heat_flux_min,5.3827522394491165,-2.601312374224373,-1.3086466127034078
34,mean_surface_sensible_heat_flux_min,5.453213645539336,-2.7179080443880723,-1.5318048599746392
35,mean_surface_sensible_heat_flux_min,5.398596228628239,-2.5472758925734236,-1.9805420744759674
36,mean_surface_sensible_heat_flux_min,5.194685061413114,-2.855965920769099,-2.17670415914235
