time_step,variable,PCA_1
1,geopotential_1000_min,5.730330404107714
2,geopotential_1000_min,5.481800939564769
3,geopotential_1000_min,5.183394219956095
4,geopotential_1000_min,4.801710753479511
5,geopotential_1000_min,4.404893060664955
6,geopotential_1000_min,3.947120264156521
7,geopotential_1000_min,3.521386687995612
8,geopotential_1000_min,3.1476652957779185
9,geopotential_1000_min,2.609375475244916
10,geopotential_1000_min,2.0918853239400628
11,geopotential_1000_min,1.5437025514882103
12,geopotential_1000_min,1.0735579708451248
13,geopotential_1000_min,0.670302929253713
14,geopotential_1000_min,0.2997159174233465
15,geopotential_1000_min,-0.02758780765586377
16,geopotential_1000_min,-0.36992086926633216
17,geopotential_1000_min,-0.6928877869866108
18,geopotential_1000_min,-0.9227785577631625
19,geopotential_1000_min,-1.1983267162231488
20,geopotential_1000_min,-1.4174481179479428
21,geopotential_1000_min,-1.5482071519497638
22,geopotential_1000_min,-1.7824364660457144
23,geopotential_1000_min,-1.9494103041642656
24,geopotential_1000_min,-2.1008174242805118
25,geopotential_1000_min,-2.2334767327341445
26,geopotential_1000_min,-2.40891621994897
27,geopotential_1000_min,-2.512833415344529
28,geopotential_1000_min,-2.6227009036121647
29,geopotential_1000_min,-2.685917617312921
30,geopotential_1000_min,-2.7381571808104055
31,geopotential_1000_min,-2.7743514058811254
32,geopotential_1000_min,-2.7928348463763712
33,geopotential_1000_min,-2.7931510032234534
34,geopotential_1000_min,-2.8956680283505696
35,geopotential_1000_min,-2.993990981078729
36,geopotential_1000_min,-3.045022256941763
