time_step,variable,PCA_1,PCA_2
1,mean_sea_level_pressure_max,-2.122889355247362,-0.9895707631234486
2,mean_sea_level_pressure_max,-2.152552997231978,-1.1102131506361212
3,mean_sea_level_pressure_max,-2.4419344233727114,-0.9379452237424939
4,mean_sea_level_pressure_max,-2.295431621790482,-0.9049816674636393
5,mean_sea_level_pressure_max,-2.2761365036148127,-0.8478449576640769
6,mean_sea_level_pressure_max,-2.185022537191996,-0.7492370998563243
7,mean_sea_level_pressure_max,-2.1032680100529624,-0.6984715372655499
8,mean_sea_level_pressure_max,-1.9884744616745307,-0.6355118741384985
9,mean_sea_level_pressure_max,-1.8738032642561235,-0.49925137459897617
10,mean_sea_level_pressure_max,-1.7553335341852316,-0.4141500332881017
11,mean_sea_level_pressure_max,-1.6929885455969014,-0.31045323567744926
12,mean_sea_level_pressure_max,-1.5555283986530484,-0.13492278600507904
13,mean_sea_level_pressure_max,-1.5220241619926167,0.26216030718003014
14,mean_sea_level_pressure_max,-1.344395531094137,0.43125041641183737
15,mean_sea_level_pressure_max,-1.1871779959070055,0.5812721281394652
16,mean_sea_level_pressure_max,-0.8705860192888197,0.7513669723024259
17,mean_sea_level_pressure_max,-0.5902541165036681,1.0147113986176852
18,mean_sea_level_pressure_max,-0.29200000837564777,1.1656138567385972
19,mean_sea_level_pressure_max,-0.22260948048074486,1.300522366261311
20,mean_sea_level_pressure_max,-0.03189730254484072,1.432152476184436
21,mean_sea_level_pressure_max,0.2208850129113443,1.508145049990625
22,mean_sea_level_pressure_max,0.4002605922676582,1.3882481944271061
23,mean_sea_level_pressure_max,0.6518962809245333,1.2917813108276792
24,mean_sea_level_pressure_max,0.919212766141416,1.2151816133555862
25,mean_sea_level_pressure_max,1.1616092655539387,0.9800880050962492
26,mean_sea_level_pressure_max,1.4579197513352524,0.8189537802945059
27,mean_sea_level_pressure_max,1.6698442504537607,0.6104918145723857
28,mean_sea_level_pressure_max,1.9115046716985022,0.40797896515013493
29,mean_sea_level_pressure_max,2.172188844267814,0.18682106350706035
30,mean_sea_level_pressure_max,2.2650323689316765,-0.21069246496312743
31,mean_sea_level_pressure_max,2.430218078941271,-0.6443802165175758
32,mean_sea_level_pressure_max,2.723733904966222,-0.9439054717448611
33,mean_sea_level_pressure_max,2.895112599621111,-1.1777223648989017
34,mean_sea_level_pressure_max,3.0416620417971547,-1.211487991184467
35,mean_sea_level_pressure_max,3.2410605300925432,-1.424714999753233
36,mean_sea_level_pressure_max,3.3421673091514217,-1.501282506535192
