time_step,variable,PCA_1
1,geopotential_500_max,-3.6572334831631577
2,geopotential_500_max,-3.643193941413697
3,geopotential_500_max,-3.535093579107264
4,geopotential_500_max,-3.4462653926611133
5,geopotential_500_max,-3.3741346917442714
6,geopotential_500_max,-3.286889644612696
7,geopotential_500_max,-3.0905476334500013
8,geopotential_500_max,-2.9353665471607053
9,geopotential_500_max,-2.6635862599044864
10,geopotential_500_max,-2.387028516169087
11,geopotential_500_max,-2.10900219403591
12,geopotential_500_max,-1.8767909088203583
13,geopotential_500_max,-1.6366931671014906
14,geopotential_500_max,-1.3774917179920267
15,geopotential_500_max,-1.1055458586836937
16,geopotential_500_max,-0.6774587684012977
17,geopotential_500_max,-0.32601687361377846
18,geopotential_500_max,0.03182715521820807
19,geopotential_500_max,0.2554840536109595
20,geopotential_500_max,0.44894280541239984
21,geopotential_500_max,0.6632391591526628
22,geopotential_500_max,0.9521056829455617
23,geopotential_500_max,1.2059167521532057
24,geopotential_500_max,1.5135182695871365
25,geopotential_500_max,1.8101855384282923
26,geopotential_500_max,2.095199222646534
27,geopotential_500_max,2.3452866446052356
28,geopotential_500_max,2.5892614116824033
29,geopotential_500_max,2.8714896754875463
30,geopotential_500_max,3.005430735096931
31,geopotential_500_max,3.095342725115926
32,geopotential_500_max,3.2755700540350623
33,geopotential_500_max,3.4655368939132294
34,geopotential_500_max,3.6889199988046086
35,geopotential_500_max,3.8394345005242156
36,geopotential_500_max,3.975647899614918
