time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4
1,relative_humidity_925_min,-4.946430479263527,2.9968126807378503,2.605603955778636,-0.7312164498564667
2,relative_humidity_925_min,-5.126995432014209,2.7391251742827443,2.216564822073963,-1.2371321658264711
3,relative_humidity_925_min,-5.073879084177653,2.6122942326747878,2.357899303667628,-0.8625163183893698
4,relative_humidity_925_min,-4.902625584473498,2.6465092478876904,1.8446581148864187,-0.3658937868516256
5,relative_humidity_925_min,-4.987618814593695,2.517504949690766,1.3639853996479059,-0.28508876478328776
6,relative_humidity_925_min,-5.01221302515621,2.7880266259645,0.4585280657760845,0.0005278108676346243
7,relative_humidity_925_min,-4.770115882007832,2.5207164877386687,-0.34365187770530803,0.3636825125875487
8,relative_humidity_925_min,-4.60172042357777,2.261061706457446,-0.649910248236474,0.6930387047432437
9,relative_humidity_925_min,-4.274648243262331,1.6805426843235056,-1.3980214276881995,0.9341768482341254
10,relative_humidity_925_min,-3.688080978752782,0.36550346919190474,-1.609537837955246,1.090560124906187
11,relative_humidity_925_min,-2.859031475003942,-1.197971066202441,-1.823935544748084,1.1753225628601027
12,relative_humidity_925_min,-2.226462884313628,-2.051382715186856,-1.9383494218572659,0.7672645220252089
13,relative_humidity_925_min,-1.7909179648650784,-2.5628577170106555,-2.0262017989352543,1.472469953566071
14,relative_humidity_925_min,-1.3686510232012903,-2.7505773507107296,-2.1835093585982395,1.3960435285146993
15,relative_humidity_925_min,-1.1948650230181326,-2.9688358062379434,-2.5740686248914395,0.959209331939385
16,relative_humidity_925_min,-0.689990004498293,-3.195115646951286,-2.7093283696678387,0.49496379566383286
17,relative_humidity_925_min,-0.3880623692457741,-3.252253981051104,-2.534439675518115,0.06854364077489601
18,relative_humidity_925_min,-0.35930418809152687,-3.5148953566244487,-1.9284074819326638,-0.7582400833581676
19,relative_humidity_925_min,0.018087274934391103,-3.264295913240661,-1.3641988814316917,-1.8658775286379135
20,relative_humidity_925_min,0.44903250321561944,-3.025362549386629,-0.8118096300731573,-2.751466577600289
21,relative_humidity_925_min,0.6153928116295839,-3.09009594009813,0.029970965308238052,-2.606849343699031
22,relative_humidity_925_min,1.547569071222976,-3.4671560115653164,0.9879544121443,-2.213843671866317
23,relative_humidity_925_min,2.1940909128582273,-3.3108374605570505,2.143854508517991,-1.8707670512483834
24,relative_humidity_925_min,2.4298441623889246,-3.0958759672267417,2.6303760700820957,-1.1078442680496725
25,relative_humidity_925_min,2.6202639164031107,-2.65632379177043,3.433039196724189,-0.15489115533189737
26,relative_humidity_925_min,2.707659076097853,-1.993355179742871,3.3994405519943625,1.2308856927817389
27,relative_humidity_925_min,2.550123413341983,-1.5517208518606385,3.268354094718605,2.4168621416583567
28,relative_humidity_925_min,2.895246927771206,-1.2207192829593079,2.981632998403416,2.7766183446699606
29,relative_humidity_925_min,4.248831504713756,-0.4509218429678415,1.8178447017495987,1.911424418473846
30,relative_humidity_925_min,4.991365088138045,0.8632259443071256,0.5760084354290446,1.3454391215008559
31,relative_humidity_925_min,4.689162006152061,1.820219618134854,-0.3475128661383288,0.5423431885131951
32,relative_humidity_925_min,4.983366873896552,3.6103289569006893,-1.5529316474965589,0.18696255676512546
33,relative_humidity_925_min,5.166103209831074,4.470835281798528,-2.0720492822964727,-0.36811459043319283
34,relative_humidity_925_min,5.464253868867006,4.546354537393813,-1.5934679580916753,-0.3752700418265352
35,relative_humidity_925_min,5.335939393233859,5.139707329922876,-1.3270957481824628,-1.0005613056848957
36,relative_humidity_925_min,5.3552808648209425,5.04178550394333,-1.3272879154580086,-1.270765697602489
