time_step,variable,PCA_1
1,geopotential_500_mean,-2.253195352902978
2,geopotential_500_mean,-2.215547147234986
3,geopotential_500_mean,-2.2406195022542694
4,geopotential_500_mean,-2.1551186469832815
5,geopotential_500_mean,-2.08911234192063
6,geopotential_500_mean,-1.991964704837908
7,geopotential_500_mean,-1.8985953792091586
8,geopotential_500_mean,-1.802952961194775
9,geopotential_500_mean,-1.6637846537601737
10,geopotential_500_mean,-1.557511141089373
11,geopotential_500_mean,-1.3798975763875654
12,geopotential_500_mean,-1.2525031886303826
13,geopotential_500_mean,-1.190197827599163
14,geopotential_500_mean,-1.0662283462472013
15,geopotential_500_mean,-0.9103546148670709
16,geopotential_500_mean,-0.7029464347300115
17,geopotential_500_mean,-0.5716661305136194
18,geopotential_500_mean,-0.35532440323221987
19,geopotential_500_mean,-0.24851630345072484
20,geopotential_500_mean,-0.07390375750357218
21,geopotential_500_mean,0.16030821542798326
22,geopotential_500_mean,0.29914106305441257
23,geopotential_500_mean,0.5444032439906491
24,geopotential_500_mean,0.7377323365444887
25,geopotential_500_mean,1.003243895323599
26,geopotential_500_mean,1.2313420288169021
27,geopotential_500_mean,1.439180143166086
28,geopotential_500_mean,1.627641270870811
29,geopotential_500_mean,1.8567650639612687
30,geopotential_500_mean,2.0478752788158574
31,geopotential_500_mean,2.2678024328572812
32,geopotential_500_mean,2.5175591466828062
33,geopotential_500_mean,2.677806725617121
34,geopotential_500_mean,2.872393078551719
35,geopotential_500_mean,3.0571078244954712
36,geopotential_500_mean,3.2796386663726116
