time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,mean_total_precipitation_rate_max,2.1880802291232446,-2.5205346911671427,-2.608095894845612,0.34404781392908196,2.137894831614041,0.9414605756632742
2,mean_total_precipitation_rate_max,2.6400303705939834,-3.2114887510501515,-3.090889915020265,0.22079004891374102,2.1126491258312865,-0.47910854297203037
3,mean_total_precipitation_rate_max,2.979093782320118,-2.917759151593201,-2.059005406839606,-0.6403065644361899,1.4312081368044474,0.058408878053825476
4,mean_total_precipitation_rate_max,3.325385651699541,-1.9842200823244722,-1.2766626274975954,-0.8972473161882188,0.02322075710881807,-0.6631568869654361
5,mean_total_precipitation_rate_max,3.616928883613273,-2.222547594060949,-0.18701210647685151,-0.5557315898603198,-0.8552301774823322,-0.32629719277152985
6,mean_total_precipitation_rate_max,3.904565601795361,-1.47900365265373,0.669208050911362,-0.504458154501793,-1.4210665996619105,-0.705678245509618
7,mean_total_precipitation_rate_max,3.256701743677079,-1.1614418518149718,0.978276152461024,-0.7533570207195114,-1.8859483172307414,-0.055575025024860135
8,mean_total_precipitation_rate_max,3.0614639783371786,-0.3606120552505797,1.211545240735403,-0.5889997523073544,-1.424452023601441,0.21911890338289278
9,mean_total_precipitation_rate_max,3.2687331947642106,-0.008920703052397781,1.0345679572390374,-0.8967127928904717,-0.6748592321632755,-0.17114685301904825
10,mean_total_precipitation_rate_max,2.793175110785392,-0.40260247910185853,1.6687736880904838,0.4544915724205035,-1.4389098087489833,-0.030341835402859323
11,mean_total_precipitation_rate_max,2.48863875954946,-0.07263930626176196,1.7383380928930035,1.4859025623044877,-1.3104014693191262,1.1436098122131526
12,mean_total_precipitation_rate_max,1.92994505189628,0.5164260835423288,1.148153395436449,2.7315759331863165,0.019905670972181735,0.6516796277418326
13,mean_total_precipitation_rate_max,2.1537143621692065,1.1784069954288714,1.3604660394445758,3.4003699212330663,0.8546956241754441,-0.25660162217680016
14,mean_total_precipitation_rate_max,1.7305423583292385,2.5000599355121826,0.7107464884696089,1.8863941876454748,0.7574046502367748,0.4050210984649228
15,mean_total_precipitation_rate_max,1.7378247424430435,2.986929380526519,0.2533104250558153,1.0282772200808756,1.684919170682373,-0.05649744790746287
16,mean_total_precipitation_rate_max,0.8340049221786744,3.138044815461447,0.43509330423894516,-0.15187964627529665,1.7375600997245628,-0.5808433155321446
17,mean_total_precipitation_rate_max,1.1709636818046105,3.287187712492814,0.6807342421432107,-1.3539751431532299,1.4026537847861447,-1.2570644376892417
18,mean_total_precipitation_rate_max,0.7402561234009043,2.9262576778708698,0.1523689598136363,-1.7250333540117408,0.5165730078183313,-0.5604267938098136
19,mean_total_precipitation_rate_max,0.6384300525495629,2.4078141869190177,-0.03222554784205048,-2.246750585914245,-0.2950277874873038,0.09339943613431681
20,mean_total_precipitation_rate_max,0.039183515665457073,2.2962315111005123,-0.3400419929784292,-1.4380030964647184,-0.5799909925484924,0.5202952668759092
21,mean_total_precipitation_rate_max,-0.5967941816827197,1.9493814563796938,-1.3789714626395324,-0.9540524703773609,-0.639792099279071,1.0096489485700249
22,mean_total_precipitation_rate_max,-1.3298720164711126,1.6114720741993247,-1.9535880442395848,-0.3612792041827123,-0.1941734078912799,1.6887805688921886
23,mean_total_precipitation_rate_max,-1.9628215124932544,1.0490677732393752,-2.1114637231811706,-0.3420820666174648,-0.4573102632351927,1.2377906090481603
24,mean_total_precipitation_rate_max,-2.7418006774628774,1.091183079058245,-1.9047784690945158,-0.22875705906150604,-0.45716452869427354,-0.09878362199151512
25,mean_total_precipitation_rate_max,-2.9904947750984077,0.4238560933560318,-2.1910543314545374,0.4376860216387205,-0.8714913962798932,-0.8369851292688695
26,mean_total_precipitation_rate_max,-3.038292913552277,-0.19202507802246616,-1.2777220435793744,0.7423676818151574,-0.7481789224008792,-1.5405170725884534
27,mean_total_precipitation_rate_max,-3.2481577634540892,-0.4004906891208999,-1.4197411371191389,0.6564963707537538,-0.7121114098521952,-0.6204315069054535
28,mean_total_precipitation_rate_max,-3.2053206987821006,-0.431554284179456,-1.0093809302543824,0.8492624348234635,-0.9405427025388746,-0.7600697658310349
29,mean_total_precipitation_rate_max,-2.914694034380175,-0.49692025049685395,-0.8894724682708761,1.3486273975008956,-1.2488304637531167,-0.7717631678123392
30,mean_total_precipitation_rate_max,-2.874169039918443,-0.39939012104669785,-0.023080034851345962,0.8106493786770768,-0.4659969631069279,-0.8134630053487095
31,mean_total_precipitation_rate_max,-3.314633460951273,-0.5191403926501718,0.17978875519953502,0.3084833804289466,-0.0605676207252609,0.2623935945360701
32,mean_total_precipitation_rate_max,-3.1246301037392556,-1.2376359243986925,0.45975270204584345,-0.11872142535763809,0.06204899477022844,1.706842918709845
33,mean_total_precipitation_rate_max,-2.9004134360477516,-1.9946546245291306,1.712051956736125,-0.6012323766007079,0.42586204284484663,1.6189630402930089
34,mean_total_precipitation_rate_max,-3.8022571863379984,-1.9512786390112273,2.677584359344344,-0.49412118504578134,1.2986657671567527,0.013838864599841263
35,mean_total_precipitation_rate_max,-3.293876409092961,-1.797946894078151,3.3170187836764744,-0.7106397805184587,1.1441477619489842,-0.6138507478739467
36,mean_total_precipitation_rate_max,-3.1594339072311133,-1.5995115592222613,3.3654075422499976,-1.1420813408668418,1.0726367595253539,-0.37264992677810366
