time_step,variable,PCA_1,PCA_2,PCA_3
1,mean_vertically_integrated_moisture_divergence_max,-5.104957209953802,-3.176114224405573,3.8797652283633313
2,mean_vertically_integrated_moisture_divergence_max,-5.23016183160643,-3.2440346312158805,3.352559327832294
3,mean_vertically_integrated_moisture_divergence_max,-5.2869929591262235,-3.172670069134805,2.6480113943823422
4,mean_vertically_integrated_moisture_divergence_max,-5.228698396767064,-3.1157991469801614,1.8523151678350214
5,mean_vertically_integrated_moisture_divergence_max,-5.1807574334373605,-2.5374509585252127,0.9685849732344437
6,mean_vertically_integrated_moisture_divergence_max,-5.243489049925762,-1.9655585304377643,0.14105237420714342
7,mean_vertically_integrated_moisture_divergence_max,-5.113407777704142,-1.5118548429112364,-0.9444399951407559
8,mean_vertically_integrated_moisture_divergence_max,-4.888713139456992,-1.0637474422582418,-1.4436091207240378
9,mean_vertically_integrated_moisture_divergence_max,-4.525332436438427,-0.4555021187217583,-1.7980362048423875
10,mean_vertically_integrated_moisture_divergence_max,-3.9546092641870287,0.06269363533871693,-1.9982579544451413
11,mean_vertically_integrated_moisture_divergence_max,-3.473249803646745,0.5122914674525044,-2.2844747650484662
12,mean_vertically_integrated_moisture_divergence_max,-3.1914660653561144,0.7537158777877996,-2.3975628253662866
13,mean_vertically_integrated_moisture_divergence_max,-2.995416988372659,1.3180956263806352,-2.451454218105853
14,mean_vertically_integrated_moisture_divergence_max,-2.9287099289196252,1.4053586861844873,-2.3370153808544964
15,mean_vertically_integrated_moisture_divergence_max,-2.500860386810063,1.8069897099500807,-1.9770670149949667
16,mean_vertically_integrated_moisture_divergence_max,-2.049085055224216,2.463295219030036,-1.0829282375287945
17,mean_vertically_integrated_moisture_divergence_max,-1.5567117589524975,3.059154930303679,-0.4120892728498867
18,mean_vertically_integrated_moisture_divergence_max,-0.9717211720890758,3.598236865816192,-0.2824065959831321
19,mean_vertically_integrated_moisture_divergence_max,-0.1801295974471527,3.807793679502237,0.3174188406979199
20,mean_vertically_integrated_moisture_divergence_max,0.30082175503459474,3.9857124559665587,0.5217439920147408
21,mean_vertically_integrated_moisture_divergence_max,1.2305998015044592,4.072351344064356,1.3602078324489069
22,mean_vertically_integrated_moisture_divergence_max,1.6530609055352252,3.915754590690882,1.7260988272083708
23,mean_vertically_integrated_moisture_divergence_max,2.4095060276333577,3.6992819127243215,1.8759293698536896
24,mean_vertically_integrated_moisture_divergence_max,3.1701034822940666,3.1575738965369142,1.8681939711388291
25,mean_vertically_integrated_moisture_divergence_max,3.391038201095568,2.5206642324398856,1.774099570305216
26,mean_vertically_integrated_moisture_divergence_max,3.584814020230798,1.7963959524369373,1.6500335678002487
27,mean_vertically_integrated_moisture_divergence_max,4.640036587158624,0.4017344411583452,1.204992538943105
28,mean_vertically_integrated_moisture_divergence_max,5.221714496185223,-0.574751455155967,0.5445056510863007
29,mean_vertically_integrated_moisture_divergence_max,5.428741963498659,-0.887633298526358,-0.20678858058346403
30,mean_vertically_integrated_moisture_divergence_max,5.339604427223396,-1.4923147865904431,-0.5704563750574476
31,mean_vertically_integrated_moisture_divergence_max,5.095743193601148,-2.6959705063767796,-1.2819582663927525
32,mean_vertically_integrated_moisture_divergence_max,5.485235943641127,-2.9957319868937575,-0.8500322632129517
33,mean_vertically_integrated_moisture_divergence_max,5.654049863581152,-2.9176605811882124,-0.6373048200511133
34,mean_vertically_integrated_moisture_divergence_max,5.631605729152344,-3.191986075637702,-1.010447166627514
35,mean_vertically_integrated_moisture_divergence_max,5.691545813540486,-3.6497096553030257,-0.9497245782753628
36,mean_vertically_integrated_moisture_divergence_max,5.676248044511151,-3.6886042135016943,-0.7694589912670757
