time_step,variable,PCA_1,PCA_2
1,relative_humidity_400_mean,5.171641685543223,2.367713357843689
2,relative_humidity_400_mean,5.318877705187973,2.2799294395327916
3,relative_humidity_400_mean,5.357425854022794,2.3566214861582035
4,relative_humidity_400_mean,5.521409853281109,2.420967032402612
5,relative_humidity_400_mean,5.466475269496734,2.2822348139058746
6,relative_humidity_400_mean,5.418724299443627,2.0354001829316672
7,relative_humidity_400_mean,5.237819461051477,1.5802592235886734
8,relative_humidity_400_mean,4.920371987886891,1.1089173476046887
9,relative_humidity_400_mean,4.608362431267736,0.5192841925146198
10,relative_humidity_400_mean,4.138281201676288,-0.05817588069216883
11,relative_humidity_400_mean,3.5767334558314765,-0.7229565855857906
12,relative_humidity_400_mean,3.02327923003984,-1.354079223662683
13,relative_humidity_400_mean,2.5030902482030974,-1.8575533131224047
14,relative_humidity_400_mean,2.091614309738998,-2.155157081381522
15,relative_humidity_400_mean,1.445492315073328,-2.494925428415523
16,relative_humidity_400_mean,0.9826788090542182,-2.8085975517965123
17,relative_humidity_400_mean,0.5435741430367187,-3.0465757324296234
18,relative_humidity_400_mean,0.00456865582055458,-3.175223117420975
19,relative_humidity_400_mean,-0.6079898029050012,-3.200830424290813
20,relative_humidity_400_mean,-1.1515715134192666,-3.151063266198493
21,relative_humidity_400_mean,-1.6656637003662254,-2.9822724861075445
22,relative_humidity_400_mean,-2.053756520488156,-2.777828720535716
23,relative_humidity_400_mean,-2.428634533266079,-2.447344466210477
24,relative_humidity_400_mean,-2.8702673804811543,-2.0951515273658194
25,relative_humidity_400_mean,-3.297945174758275,-1.69349969483969
26,relative_humidity_400_mean,-3.6172199115194097,-1.3342264552506597
27,relative_humidity_400_mean,-3.9045111061147044,-0.9525242366777978
28,relative_humidity_400_mean,-4.068000048352252,-0.5061174106232533
29,relative_humidity_400_mean,-4.416417021304684,0.08771078620955663
30,relative_humidity_400_mean,-4.765589574301215,0.7355776085923872
31,relative_humidity_400_mean,-5.056338817908522,1.5782406672191467
32,relative_humidity_400_mean,-5.2666219051486145,2.7098267659768225
33,relative_humidity_400_mean,-5.306037002659755,3.649245860873615
34,relative_humidity_400_mean,-5.17339749314419,4.12854520702616
35,relative_humidity_400_mean,-4.950037155852838,4.369755371583606
36,relative_humidity_400_mean,-4.730422253665742,4.603873258643356
