time_step,variable,PCA_1
1,mean_sea_level_pressure_mean,-2.312899385810952
2,mean_sea_level_pressure_mean,-2.249364459800633
3,mean_sea_level_pressure_mean,-2.3205265673812487
4,mean_sea_level_pressure_mean,-2.2183610980371316
5,mean_sea_level_pressure_mean,-2.155263436304429
6,mean_sea_level_pressure_mean,-2.0558895720081356
7,mean_sea_level_pressure_mean,-1.9710930842408063
8,mean_sea_level_pressure_mean,-1.8800129269753088
9,mean_sea_level_pressure_mean,-1.7427577380445094
10,mean_sea_level_pressure_mean,-1.628489596989327
11,mean_sea_level_pressure_mean,-1.489628196584297
12,mean_sea_level_pressure_mean,-1.361084314676672
13,mean_sea_level_pressure_mean,-1.2833881898167776
14,mean_sea_level_pressure_mean,-1.1267658140075318
15,mean_sea_level_pressure_mean,-0.9724391716671671
16,mean_sea_level_pressure_mean,-0.7835894492522246
17,mean_sea_level_pressure_mean,-0.6127711464543488
18,mean_sea_level_pressure_mean,-0.39927843292992
19,mean_sea_level_pressure_mean,-0.26853714619991553
20,mean_sea_level_pressure_mean,-0.08518039035888172
21,mean_sea_level_pressure_mean,0.1314771397586204
22,mean_sea_level_pressure_mean,0.2740466014771839
23,mean_sea_level_pressure_mean,0.5235307245385264
24,mean_sea_level_pressure_mean,0.9063289040438575
25,mean_sea_level_pressure_mean,1.1258981087920832
26,mean_sea_level_pressure_mean,1.335354438788148
27,mean_sea_level_pressure_mean,1.5428187384944378
28,mean_sea_level_pressure_mean,1.747266722215427
29,mean_sea_level_pressure_mean,1.96632482547155
30,mean_sea_level_pressure_mean,2.1744227998357504
31,mean_sea_level_pressure_mean,2.354435480963854
32,mean_sea_level_pressure_mean,2.574019197092199
33,mean_sea_level_pressure_mean,2.747921812786397
34,mean_sea_level_pressure_mean,2.9648822370732173
35,mean_sea_level_pressure_mean,3.1781343152027555
36,mean_sea_level_pressure_mean,3.3704580710062206
