time_step,variable,PCA_1
1,relative_humidity_100_max,-2.583016785572645
2,relative_humidity_100_max,-2.3320896073101944
3,relative_humidity_100_max,-2.056398908322018
4,relative_humidity_100_max,-1.8506700617890193
5,relative_humidity_100_max,-1.5998651634976655
6,relative_humidity_100_max,-1.644061593591656
7,relative_humidity_100_max,-1.5923058403086143
8,relative_humidity_100_max,-1.6663290460480302
9,relative_humidity_100_max,-1.6066368996239613
10,relative_humidity_100_max,-1.4859217489319831
11,relative_humidity_100_max,-1.2951600014032747
12,relative_humidity_100_max,-1.2126754679323906
13,relative_humidity_100_max,-0.9780187899976502
14,relative_humidity_100_max,-0.842831601197364
15,relative_humidity_100_max,-0.7060883055879361
16,relative_humidity_100_max,-0.5578946133392138
17,relative_humidity_100_max,-0.3930764955479683
18,relative_humidity_100_max,-0.44739423542684925
19,relative_humidity_100_max,-0.3928792436318036
20,relative_humidity_100_max,-0.24198227079423038
21,relative_humidity_100_max,-0.149841865584442
22,relative_humidity_100_max,-0.1688660004078087
23,relative_humidity_100_max,0.00605016418169477
24,relative_humidity_100_max,1.1266896634622752
25,relative_humidity_100_max,1.3433828887423442
26,relative_humidity_100_max,1.5029731290105715
27,relative_humidity_100_max,1.6413708627393901
28,relative_humidity_100_max,1.7135151450955586
29,relative_humidity_100_max,1.8672366509842633
30,relative_humidity_100_max,1.9400875703780969
31,relative_humidity_100_max,2.138860872999066
32,relative_humidity_100_max,2.3702711962276317
33,relative_humidity_100_max,2.4731316376977532
34,relative_humidity_100_max,2.504640149793671
35,relative_humidity_100_max,2.517421984757304
36,relative_humidity_100_max,2.6583726297770864
