time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4
1,large_scale_snowfall_max,-1.8244295759111708,4.679092172631136,-3.213936823055954,0.5795151317210477
2,large_scale_snowfall_max,-1.845848229727936,4.787030961867324,-3.290277850459016,0.2457137536519452
3,large_scale_snowfall_max,-2.5988984555826806,4.14483747909339,-2.9323437502405456,-0.0011583387981309434
4,large_scale_snowfall_max,-2.6953198515654786,3.9992931584190368,-2.349055881420544,0.03188183000656801
5,large_scale_snowfall_max,-3.723385936153008,3.398291052424257,-1.3438375670506997,-0.43047847450402726
6,large_scale_snowfall_max,-4.366298629792337,1.7139813178630212,0.7978792019125827,-1.1600706001077612
7,large_scale_snowfall_max,-4.4339491654768866,1.2497740275982447,1.5904138722512373,-1.1530511882132002
8,large_scale_snowfall_max,-4.486333171723521,0.8056553384203817,1.53597007449197,-0.5271827018868394
9,large_scale_snowfall_max,-4.473884709162754,0.7946259405123643,1.3774854324328942,-0.4223828282322947
10,large_scale_snowfall_max,-3.9816136725798437,0.4322208938068673,1.456293301145492,-1.1093107293524804
11,large_scale_snowfall_max,-3.582386565924814,-0.21790776883088456,1.2292904576706434,-1.3676639607639525
12,large_scale_snowfall_max,-3.572072587420162,-0.9423122862068802,2.059675121216158,-1.3926868464438376
13,large_scale_snowfall_max,-3.5586189652241127,-1.8339072492659974,2.2157304290304567,-0.4958563281935098
14,large_scale_snowfall_max,-3.7477442721720307,-1.9197261590151993,1.9125013542387408,0.16438347116213398
15,large_scale_snowfall_max,-3.168920678998876,-2.7196094336579444,1.3889871303919803,1.2092490651454924
16,large_scale_snowfall_max,-2.8253705125668236,-3.107839724619858,0.33974177100211234,1.7393502821363538
17,large_scale_snowfall_max,-2.3872103158882796,-2.9553511177213,-0.6005320530869915,2.093217126432896
18,large_scale_snowfall_max,-1.6851794160792484,-3.14021825933253,-0.9524463313722576,1.4902765213387033
19,large_scale_snowfall_max,-0.5356480549875234,-3.2181053752125957,-1.9600591005780146,1.3725061565652146
20,large_scale_snowfall_max,-0.17928582795401124,-3.2207505724076295,-1.715064684365517,0.877130695154713
21,large_scale_snowfall_max,0.4870328099703143,-3.2391688970766905,-1.5655421584150597,0.6657743022739168
22,large_scale_snowfall_max,1.0825395718548942,-2.7532146625892175,-1.5428194746864212,0.14746783629704383
23,large_scale_snowfall_max,1.7924143394340728,-2.7873410931658107,-0.9195515505795148,0.3534188001841073
24,large_scale_snowfall_max,2.5591011887738877,-2.341408076897264,-0.7108048903180879,0.34745507500184564
25,large_scale_snowfall_max,3.1372246138311506,-1.5216636367944256,-0.7018931679254533,0.02705565971860276
26,large_scale_snowfall_max,4.031368166266392,0.015533780112088478,-0.46999466333975487,-0.9621660269208001
27,large_scale_snowfall_max,4.196575681169976,1.217705182874267,0.43682499189733687,-2.285094685697807
28,large_scale_snowfall_max,4.141964899220648,-1.0481699369669981,1.0641392134261336,-2.648508345055886
29,large_scale_snowfall_max,5.174501897890239,-1.1688031411770845,-0.24451182227104343,-1.3213270599129732
30,large_scale_snowfall_max,5.148516095907132,-0.873762538505479,-1.0742906117596314,-0.6734966300962764
31,large_scale_snowfall_max,4.721958708782277,-0.43594883372149235,-1.195585624374438,-0.9157304237344356
32,large_scale_snowfall_max,4.615741046895608,-0.11317338474303401,-0.09273174006198112,-1.206964886669138
33,large_scale_snowfall_max,4.954133971447561,0.9382037584889367,1.2115828014362522,-0.5859013257918964
34,large_scale_snowfall_max,4.81395284645686,3.1647704397848404,2.0240213203155943,1.1045549129838372
35,large_scale_snowfall_max,4.7041049060219,4.263427484898096,2.565139892154548,3.148710428841506
36,large_scale_snowfall_max,4.11126785096858,3.9539391591140607,3.6696033803467905,3.0613703317593215
