time_step,variable,PCA_1
1,relative_humidity_70_mean,3.2593514371056327
2,relative_humidity_70_mean,3.1017985314841727
3,relative_humidity_70_mean,2.6002045669184284
4,relative_humidity_70_mean,2.3514222158625686
5,relative_humidity_70_mean,2.1651837121170385
6,relative_humidity_70_mean,2.0315072384098833
7,relative_humidity_70_mean,1.8708139293054515
8,relative_humidity_70_mean,1.9311635720195581
9,relative_humidity_70_mean,1.9034118063893337
10,relative_humidity_70_mean,1.9607357592334729
11,relative_humidity_70_mean,1.932655258154493
12,relative_humidity_70_mean,1.7960178199073888
13,relative_humidity_70_mean,1.5533566175399214
14,relative_humidity_70_mean,1.363178818863722
15,relative_humidity_70_mean,1.1116114944582849
16,relative_humidity_70_mean,0.873366665477532
17,relative_humidity_70_mean,0.6085880451782095
18,relative_humidity_70_mean,0.42836276491575376
19,relative_humidity_70_mean,0.34570219584455136
20,relative_humidity_70_mean,0.2287705809397588
21,relative_humidity_70_mean,-0.0616499170972435
22,relative_humidity_70_mean,0.14264763469382027
23,relative_humidity_70_mean,-0.07600986388610491
24,relative_humidity_70_mean,-1.8642161213573296
25,relative_humidity_70_mean,-2.0270887465648535
26,relative_humidity_70_mean,-2.177289109824453
27,relative_humidity_70_mean,-2.341246793708549
28,relative_humidity_70_mean,-2.487445176986442
29,relative_humidity_70_mean,-2.6097383535835315
30,relative_humidity_70_mean,-2.6863478789015134
31,relative_humidity_70_mean,-2.737079496137146
32,relative_humidity_70_mean,-2.7592938043308557
33,relative_humidity_70_mean,-2.8258614634558
34,relative_humidity_70_mean,-2.9135844060105196
35,relative_humidity_70_mean,-2.9858444945854417
36,relative_humidity_70_mean,-3.007155038389208
