time_step,variable,PCA_1
1,relative_humidity_150_min,-4.243394526666516
2,relative_humidity_150_min,-4.469995145004068
3,relative_humidity_150_min,-4.455764546071494
4,relative_humidity_150_min,-4.475276690185588
5,relative_humidity_150_min,-4.527495256246798
6,relative_humidity_150_min,-4.4763268845605255
7,relative_humidity_150_min,-4.37578894482584
8,relative_humidity_150_min,-4.228441191015081
9,relative_humidity_150_min,-4.0951241962357345
10,relative_humidity_150_min,-3.7797035579474247
11,relative_humidity_150_min,-3.4405433844031976
12,relative_humidity_150_min,-3.391530730412709
13,relative_humidity_150_min,-2.8076338104870957
14,relative_humidity_150_min,-2.5251938374107468
15,relative_humidity_150_min,-2.202675662937479
16,relative_humidity_150_min,-1.6237094184712881
17,relative_humidity_150_min,-0.8629447880913399
18,relative_humidity_150_min,-0.4190508999990819
19,relative_humidity_150_min,0.34009021139224704
20,relative_humidity_150_min,1.1125111531945269
21,relative_humidity_150_min,1.3322047165447075
22,relative_humidity_150_min,1.854926770891751
23,relative_humidity_150_min,2.526919215937162
24,relative_humidity_150_min,2.8434582742172414
25,relative_humidity_150_min,2.979642930937924
26,relative_humidity_150_min,3.4713530773843
27,relative_humidity_150_min,3.4219342304389775
28,relative_humidity_150_min,3.6710393991443784
29,relative_humidity_150_min,3.946301186081131
30,relative_humidity_150_min,4.263533120681145
31,relative_humidity_150_min,4.560554423161069
32,relative_humidity_150_min,4.5934928048735975
33,relative_humidity_150_min,4.802800038810413
34,relative_humidity_150_min,4.733656149854037
35,relative_humidity_150_min,4.9415505855334345
36,relative_humidity_150_min,5.004625181893962
