time_step,variable,PCA_1,PCA_2,PCA_3
1,relative_humidity_850_mean,-3.8706785152910177,3.3868297625436696,-1.664598085801731
2,relative_humidity_850_mean,-3.951918403736938,3.4638351599206363,-1.7311894662712755
3,relative_humidity_850_mean,-4.21078339186242,3.384990776925194,-1.638648206261129
4,relative_humidity_850_mean,-4.17224665593772,3.5430422330007247,-1.4042830422072716
5,relative_humidity_850_mean,-4.156087629996109,3.53936297163075,-1.1602787534398336
6,relative_humidity_850_mean,-4.07853282586352,3.1951107302291213,-1.0409773631286336
7,relative_humidity_850_mean,-4.20125956195302,2.6257665366987464,-0.7499749918930997
8,relative_humidity_850_mean,-4.343829996538085,1.8720939530530742,-0.30471992392252806
9,relative_humidity_850_mean,-4.336916644927448,0.7576424830615534,0.3756168365096882
10,relative_humidity_850_mean,-4.285299505865505,-0.135831046821022,1.1371049881049233
11,relative_humidity_850_mean,-4.084674056575186,-1.1110369851574011,1.8878036997347027
12,relative_humidity_850_mean,-3.932715234620752,-1.528988740404966,2.099962183541208
13,relative_humidity_850_mean,-3.763562564870762,-1.9770091501859481,2.272855434236014
14,relative_humidity_850_mean,-3.3036089903253827,-2.115228176342966,2.1683330659182958
15,relative_humidity_850_mean,-3.075515141053749,-2.4380945427725265,1.9298658823483013
16,relative_humidity_850_mean,-2.646569628345505,-2.6595631340234074,1.5118277877736457
17,relative_humidity_850_mean,-2.3328274832232556,-2.9737928267298286,0.9985884625636021
18,relative_humidity_850_mean,-1.7145966882780654,-3.299472722411666,0.5073728489870224
19,relative_humidity_850_mean,-1.0084283964927612,-3.3998277675168556,-0.09885058393927128
20,relative_humidity_850_mean,-0.05553126090101161,-3.470028843926198,-0.4445957694854561
21,relative_humidity_850_mean,0.7511744837271074,-3.3554469164875194,-0.9887841688942217
22,relative_humidity_850_mean,1.6033674053145484,-3.1423419544996394,-1.6099096925129799
23,relative_humidity_850_mean,2.1669757580105333,-2.7783257114126063,-2.103942009435129
24,relative_humidity_850_mean,2.693851508812909,-2.4475756798942805,-2.3553424857849645
25,relative_humidity_850_mean,3.224519444904784,-1.979058539966814,-2.366109524558527
26,relative_humidity_850_mean,3.709373322478917,-1.569074184490612,-2.1184152861931103
27,relative_humidity_850_mean,4.4050913809308865,-0.8311687500348037,-1.8583885308737091
28,relative_humidity_850_mean,4.966643808905855,-0.2399248291448788,-1.23300034937734
29,relative_humidity_850_mean,5.265073318712768,0.20299502619770704,-0.5980134874761349
30,relative_humidity_850_mean,5.4245653661297535,0.7358200853039221,0.15735352285676327
31,relative_humidity_850_mean,5.446712043856954,1.3711093204215683,0.6700358617230314
32,relative_humidity_850_mean,5.577015553054022,1.9682878097911185,1.2015385628817494
33,relative_humidity_850_mean,5.635874245171847,2.4022594210198642,1.6720014905458807
34,relative_humidity_850_mean,5.6591648973591395,2.6701984109661243,2.117320998259047
35,relative_humidity_850_mean,5.569449092762759,2.926480088824421,2.3468632226213737
36,relative_humidity_850_mean,5.426730946525421,3.405965732635753,2.415576872851092
