time_step,variable,PCA_1,PCA_2,PCA_3
1,relative_humidity_250_min,-1.8135578982324865,-3.4131986850640637,5.737863450421637
2,relative_humidity_250_min,-2.2113252532655983,-3.1452228080851796,5.604686459922329
3,relative_humidity_250_min,-2.9010334596582577,-2.719650337751694,4.527460860663264
4,relative_humidity_250_min,-3.5654708841461815,-1.7506928920285743,2.715599933647284
5,relative_humidity_250_min,-4.670885859177788,-1.310825043150789,0.6041433454888671
6,relative_humidity_250_min,-4.965068321711895,-0.8494806609996746,-0.6371186401761668
7,relative_humidity_250_min,-5.068010155010411,-0.6749532897343488,-1.6663314651910115
8,relative_humidity_250_min,-4.992748671543113,-0.6665579588142438,-1.5247627146998635
9,relative_humidity_250_min,-4.962534081798056,-0.6439743701110491,-1.4036612069875787
10,relative_humidity_250_min,-4.96651809266593,-0.6476010246505282,-1.3183132029996847
11,relative_humidity_250_min,-4.881254976264153,-0.4297018150685415,-1.268726455932817
12,relative_humidity_250_min,-4.658194218151966,-0.17171673270681298,-1.3146092683332362
13,relative_humidity_250_min,-4.372356322849503,0.20608546335043712,-1.453703195972832
14,relative_humidity_250_min,-3.774651763872542,0.5790937244415991,-1.6095955407416158
15,relative_humidity_250_min,-3.574223068551089,0.7526904627680463,-1.5863497283304033
16,relative_humidity_250_min,-3.429018047933132,1.133256513340338,-1.5299885577564512
17,relative_humidity_250_min,-2.874328977507281,1.947714425584122,-1.3496549138588199
18,relative_humidity_250_min,-0.8492413747382173,3.752610100163548,-0.39606581554654047
19,relative_humidity_250_min,0.5220134111296744,4.434946119116699,0.5577152989397534
20,relative_humidity_250_min,0.6156055032238006,4.722039474053627,0.4591544694498502
21,relative_humidity_250_min,2.2343044437889694,4.340171174971152,1.0679273125426871
22,relative_humidity_250_min,2.4762559758719456,4.166607187944696,1.0551447973862975
23,relative_humidity_250_min,3.0438775197919257,3.5930598164452316,1.111588136923547
24,relative_humidity_250_min,3.5716805950194543,3.4590168412837903,1.1621813656547741
25,relative_humidity_250_min,3.9453101335527956,3.2013619841849414,0.9141168119920743
26,relative_humidity_250_min,4.3375023784927365,2.766449582380592,0.8165461061788053
27,relative_humidity_250_min,4.4559377065858925,1.5594966154717282,0.4101527845447182
28,relative_humidity_250_min,4.8646668935386534,-0.3959017184644506,-0.28452037772180655
29,relative_humidity_250_min,4.833424925955898,-1.471132304990994,-0.6243724207610415
30,relative_humidity_250_min,4.85585892923389,-2.083300006988694,-0.6824590287550067
31,relative_humidity_250_min,5.039238580948638,-2.373538229607914,-0.8852365023358093
32,relative_humidity_250_min,5.134191177565058,-2.7932730778332875,-1.1756169962265715
33,relative_humidity_250_min,5.022419288630733,-3.378885861372533,-1.4161023555166665
34,relative_humidity_250_min,4.847232515291567,-3.8307017618442285,-1.6005455887274382
35,relative_humidity_250_min,4.433529924062298,-4.003348445344898,-1.5648010870286573
36,relative_humidity_250_min,4.297371524393661,-3.860942460888061,-1.451746070155881
