storm_number,storm_name,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
9,C3S_STORM_TRACKS_ERA5,1.48895395440465,1.2503884663700882,0.38061847025932455,1.9354907913214272,0.6999979391274535,0.7919999914196493,5.247844065727555,2.087615054230774,0.18437699459961393,0.5982045274916519,0.8716125011193232,1.3705648142118008,1.2341409602298916,1.991662058859378,0.6444613723733337
35,C3S_STORM_TRACKS_ERA5,1.1377451019325335,0.711017874417382,1.5678268691426318,2.084789208695109,0.8214895834194239,0.4001871353259416,2.1115823242534297,0.3197453655556856,0.3829480718054111,0.10399752235497857,1.4004197124960671,2.058132287268057,2.0027988045190996,0.17368222112798454,1.1126214036267426
82,C3S_STORM_TRACKS_ERA5,2.2694662033731148,1.354908601276036,1.5122058137718988,1.7658464970476262,1.4678185052530341,2.4378625031530468,4.5809851742761865,1.6006767609478443,3.3738691478326936,0.5646107908506112,1.6277360705028319,2.7720983454018793,3.709722606986916,1.7850858833697785,0.27440211415241283
1,C3S_STORM_TRACKS_ERA5,2.3815003155103462,0.5221317786836432,1.5503322975558633,3.086368207489221,0.39584107745707336,0.06984200313702361,3.856062105900245,0.11861446840178311,0.0852947187688451,0.005899163982843515,1.832467422095365,1.0651749567739743,1.37389087323484,0.20539964736733152,0.605246740238866
13,C3S_STORM_TRACKS_ERA5,0.36959210923714786,0.07350484366623866,2.392380494948195,0.08645379446926765,0.4547742637983557,0.4499594152526581,1.3068358552715775,0.09427073313190869,0.21774139355948385,0.23186941793063257,1.6293855153243695,2.8507188514136703,4.381026426187155,0.13204984769367914,0.07888596528916923
95,AIDEN ,0.07893667468035741,0.6920046822517556,0.41124963107501883,2.4757461580951863,0.625764317218236,0.2516023296392689,3.7593534449790753,0.2206761743655208,0.5483666903818616,0.007553231989642402,0.23400299932184745,0.7292070203003637,0.6531022477537304,0.05671030664076574,0.6170126654915953
7,HERTA,1.1719377657769663,1.9837234578237544,0.8922623207816387,5.006286016162044,0.23517735620079008,0.12281697996831027,2.9585395300829096,1.0715938328013173,0.9071988488852901,0.841107825950664,0.6805871307780252,1.9403987803672142,1.215323711191204,1.1458502676030666,3.529800289158208
28,C3S_STORM_TRACKS_ERA5,4.381794640250537,1.9804523453297065,1.2137910526850464,3.6941635460757376,1.581234170332349,0.13388865449863133,5.92388661917963,0.2814335454955524,0.0771597501469631,0.3532175723581466,2.0323004268720175,1.7619051299462727,2.8332340387036017,0.13544635198665514,0.13992469457798168
92,CIARA2,6.019960135263277,4.3054805535235525,1.6001816928253483,5.795782060271401,3.680901431809111,0.41757205260688934,4.081866056641398,0.9114590673810852,0.6788506333114295,0.21561089779910664,3.822935915250302,1.8699806869263111,4.2936613922205895,0.3986168327161636,1.118377011778429
79,C3S_STORM_TRACKS_ERA5,1.1647512304114025,1.2382853845914892,0.22142778145794556,4.319688720335788,0.4185291584321665,1.9789767628022397,5.87611960132187,1.0254423244214266,1.0234850496861725,0.2814575255605029,0.08919349794805646,0.8906795610895586,0.5237413840184307,0.8884351130475948,1.2683000247247158
20,C3S_STORM_TRACKS_ERA5,2.6158623656526117,1.435838116040785,3.6661364412712714,1.9749951094674298,2.4429810473704374,0.06610549441161118,2.548357836137869,0.09592274899436426,1.0553728450077078,0.14800110395665256,2.2014322735236904,7.308029736636813,6.6514417823524274,0.624908242813956,0.04972117620543493
57,C3S_STORM_TRACKS_ERA5,0.5190740948131323,0.20008552700867374,0.05033259961567972,1.8659203271553078,0.7868201351071128,0.052741778839193086,3.898512219615113,0.24987171659516136,0.053715140605848706,0.06185186329152405,0.03960724898882239,0.4876442943112697,0.2813287147836588,0.0972446783055632,0.3293596321798413
50,C3S_STORM_TRACKS_ERA5,0.6624333932436606,0.09901019788460372,1.1411563203855974,1.04843709940422,0.31786877923932855,0.030899689144798504,4.858717907351182,0.05895321545263395,0.6316408565245576,0.7110132098868441,0.300211468300932,1.0086203076118097,0.9087207582494563,0.09709095328764258,0.4059699188689388
90,C3S_STORM_TRACKS_ERA5,0.43864797390857946,0.297728636313404,2.1144834307282756,1.3822729748641518,0.6140145624809447,0.048092211534392734,3.8925373866885744,0.06269873796790598,0.3940852104388918,0.6139487668899355,1.2370847775731884,2.621318627487471,2.1406672505940145,0.15095822094244135,0.6213118122568275
27,C3S_STORM_TRACKS_ERA5,0.7968644854301427,0.7694812104874983,0.04518388361595656,1.8024898789515058,0.9486518604914964,0.19943607615037323,3.5033414859442518,0.20253704623629476,0.07089311379963072,0.029076013352961356,0.48216156865888915,0.10023943580518505,0.19333966485514145,0.1290932859807098,0.30348675696307903
58,C3S_STORM_TRACKS_ERA5,3.830276822141795,0.6104716486032538,2.375340290444948,1.697073254451024,3.350411428043116,1.2159541756093168,4.033729652274084,0.7396521959708694,1.8085137744798776,1.2622912272587046,1.9756230392090448,4.543167082683231,4.710734053537178,1.3384054501506053,0.4725198698936601
76,C3S_STORM_TRACKS_ERA5,0.4769246090875679,0.7603548056603769,0.24639464098067673,3.7838803342519265,0.1181078123991427,0.18638012115722938,5.695002280510403,0.842211247691419,0.23379419670302615,0.2844230667264039,0.24484305636952527,1.4661451189393393,0.8759501174548121,0.520601757678953,1.6155175885171742
71,CHRISTIAN,3.009915969594624,2.844367106946475,0.396488891993267,4.334946956411578,1.298257336907783,0.3472359832655563,1.1218398187361864,1.0393435739426429,0.37880655931685,0.4820043180963052,0.813472148667196,0.5596567720959298,0.9731222848738426,0.19302807075936,1.809315869060725
