,Unnamed: 0,storm_index,name,start_date,end_date,nb_steps,first_step_in_eu,landfall_eu
37,37,38,LOTHAR,1999-12-24T00:00:00,1999-12-26T12:00:00,21,46,1999-12-25T22:00:00
38,38,39,C3S_STORM_TRACKS_ERA5,1999-12-31T06:00:00,2000-01-07T18:00:00,61,63,2000-01-02T21:00:00
39,39,40,MARTIN,1999-12-26T03:00:00,2000-01-01T12:00:00,52,31,1999-12-27T10:00:00
40,40,41,C3S_STORM_TRACKS_ERA5,2000-11-24T21:00:00,2000-11-27T00:00:00,18,10,2000-11-25T07:00:00
41,41,42,ORATIA-TORA,2000-10-29T18:00:00,2000-11-03T06:00:00,37,5,2000-10-29T23:00:00
42,42,43,C3S_STORM_TRACKS_ERA5,2001-12-25T18:00:00,2001-12-30T18:00:00,41,3,2001-12-25T21:00:00
43,43,44,C3S_STORM_TRACKS_ERA5,2002-01-25T15:00:00,2002-02-02T15:00:00,65,56,2002-01-27T23:00:00
44,44,45,C3S_STORM_TRACKS_ERA5,2002-02-21T09:00:00,2002-03-03T06:00:00,80,108,2002-02-25T21:00:00
45,45,46,JEANETTE,2002-10-23T12:00:00,2002-10-31T06:00:00,63,79,2002-10-26T19:00:00
46,46,47,ERWIN,2005-01-05T18:00:00,2005-01-11T03:00:00,44,36,2005-01-07T06:00:00
47,47,48,GERO,2005-01-07T00:00:00,2005-01-18T12:00:00,93,107,2005-01-11T11:00:00
48,48,49,C3S_STORM_TRACKS_ERA5,2005-11-02T00:00:00,2005-11-13T18:00:00,95,134,2005-11-07T14:00:00
49,49,50,C3S_STORM_TRACKS_ERA5,2005-11-09T03:00:00,2005-11-13T21:00:00,39,51,2005-11-11T06:00:00
50,50,51,C3S_STORM_TRACKS_ERA5,2006-01-08T12:00:00,2006-01-16T21:00:00,68,51,2006-01-10T15:00:00
51,51,52,C3S_STORM_TRACKS_ERA5,2006-12-30T00:00:00,2007-01-04T03:00:00,42,33,2006-12-31T09:00:00
52,52,53,C3S_STORM_TRACKS_ERA5,2007-03-15T12:00:00,2007-03-20T03:00:00,38,42,2007-03-17T06:00:00
53,53,54,KYRILL,2007-01-14T06:00:00,2007-01-21T03:00:00,56,93,2007-01-18T03:00:00
