Time&Longitude&Latitude;Longitude (MSLP);Latitude (MSLP);MSLP;Longitude (925wind);Latitude (925wind);925hP Wind Speed;Longitude (10m wind);Latitude (10m wind);10m Wind Speed
TRACK_ID 25 START_TIME 1990012103 MEDIAN_TIME 1990012103 ENSMBLE_MEMB 0 NAME C3S_STORM_TRACKS_ERA5;;;;;;;;;
POINT_NUM 62                           ;;;;;;;;;
1990012415 326.944550 48.105171 7.581091e+00;3.314905e+02;4.963478e+01;9.887869e+02;3.313125e+02;4.651050e+01;3.799609e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012418 331.550018 48.840931 7.924013e+00;3.352906e+02;5.059051e+01;9.826702e+02;3.287812e+02;4.735360e+01;4.110043e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012421 336.111816 49.474632 8.078100e+00;3.391338e+02;5.121964e+01;9.785877e+02;3.327188e+02;4.679150e+01;4.122571e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012500 341.110870 50.558563 9.007783e+00;3.416460e+02;5.176783e+01;9.675431e+02;3.380625e+02;4.735360e+01;4.439598e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012503 345.576721 51.327206 9.809136e+00;3.453345e+02;5.242786e+01;9.628631e+02;3.434062e+02;4.819670e+01;4.315998e+01;3.493125e+02;5.156907e+01;3.342674e+01 
1990012506 349.943481 51.937408 1.065067e+01;3.495120e+02;5.375782e+01;9.572189e+02;3.493125e+02;4.960190e+01;4.579713e+01;3.501562e+02;5.128803e+01;3.591014e+01 
1990012509 354.143311 52.617287 1.112934e+01;3.522876e+02;5.430185e+01;9.552133e+02;3.521250e+02;5.044490e+01;4.573576e+01;3.538125e+02;4.988288e+01;4.568710e+01 
1990012512 357.285187 53.449841 1.137799e+01;3.552975e+02;5.545695e+01;9.521246e+02;3.569062e+02;4.988290e+01;4.534289e+01;3.552188e+02;5.128803e+01;4.162516e+01 
1990012515 0.404433 54.392773 1.148124e+01;3.585873e+02;5.666235e+01;9.500365e+02;2.250000e+00;5.128800e+01;4.326674e+01;3.656250e+00;5.213113e+01;4.102285e+01 
1990012518 3.372775 55.317207 1.139671e+01;3.600000e+02;5.738203e+01;9.498193e+02;3.656200e+00;5.213110e+01;4.226520e+01;4.218750e+00;5.269318e+01;4.109396e+01 
1990012521 6.013435 56.145382 1.100774e+01;2.965250e+00;5.743738e+01;9.498449e+02;8.438000e-01;5.550350e+01;4.111979e+01;5.343750e+00;5.325525e+01;4.088365e+01 
1990012600 7.619756 56.788403 1.016617e+01;3.048099e+00;5.777557e+01;9.512427e+02;7.031200e+00;5.409830e+01;4.057971e+01;7.312500e+00;5.409834e+01;4.048961e+01 
1990012603 9.445882 57.335732 9.547949e+00;7.930112e+00;5.742276e+01;9.547151e+02;7.875000e+00;5.550350e+01;3.947810e+01;7.875000e+00;5.550349e+01;3.947810e+01 
1990012606 10.746552 57.902039 9.067699e+00;1.010285e+01;5.815813e+01;9.556407e+02;7.875000e+00;5.634660e+01;3.684639e+01;7.875000e+00;5.634658e+01;3.684639e+01 
1990012609 11.741852 58.335911 8.528003e+00;1.077992e+01;5.829824e+01;9.572528e+02;7.031200e+00;5.634660e+01;3.512787e+01;7.875000e+00;5.634658e+01;3.495425e+01 
1990012612 12.835162 58.539703 7.839541e+00;1.100224e+01;5.824452e+01;9.591124e+02;1.209380e+01;5.634660e+01;3.518539e+01;1.209375e+01;5.634658e+01;3.518539e+01 
1990012615 14.759127 58.812351 7.458839e+00;1.243932e+01;5.830879e+01;9.625941e+02;1.575000e+01;5.578450e+01;3.660428e+01;1.631250e+01;5.606555e+01;3.423510e+01 
1990012618 16.728540 59.119976 7.304721e+00;1.604467e+01;5.871712e+01;9.659237e+02;1.659380e+01;5.578450e+01;3.541038e+01;1.715625e+01;5.634658e+01;3.362264e+01 
1990012621 18.424904 59.347755 6.925597e+00;1.861790e+01;5.919942e+01;9.680908e+02;1.912500e+01;5.606550e+01;3.420131e+01;2.025000e+01;5.662761e+01;3.321938e+01 
1990012700 20.244846 59.615459 6.299336e+00;2.107065e+01;6.069800e+01;9.696670e+02;1.856250e+01;5.522250e+01;3.087941e+01;2.053125e+01;5.662761e+01;3.057890e+01 
1990012703 22.342308 60.257721 6.004889e+00;2.223935e+01;6.063719e+01;9.711119e+02;1.884380e+01;5.522250e+01;2.960133e+01;2.418750e+01;5.747070e+01;2.810899e+01 
1990012706 24.294346 60.682770 5.709920e+00;2.399128e+01;6.095491e+01;9.731718e+02;1.968750e+01;5.550350e+01;2.729012e+01;2.475000e+01;5.775173e+01;2.356991e+01 
1990012709 26.010111 61.011086 5.361926e+00;2.582038e+01;6.139370e+01;9.751912e+02;2.362500e+01;5.634660e+01;2.351667e+01;2.475000e+01;5.971894e+01;1.918132e+01 
1990012712 27.210588 61.202888 4.917789e+00;2.807069e+01;6.199989e+01;9.772579e+02;3.206250e+01;6.084310e+01;2.299582e+01;2.475000e+01;5.943791e+01;1.874151e+01 
1990012715 28.983690 61.640808 4.835896e+00;2.930929e+01;6.246593e+01;9.786340e+02;2.728120e+01;5.971890e+01;2.192207e+01;2.475000e+01;5.971894e+01;1.865436e+01 
1990012718 30.595552 62.180180 4.391706e+00;3.121766e+01;6.308883e+01;9.801318e+02;2.812500e+01;5.690860e+01;2.055748e+01;2.475000e+01;6.112409e+01;1.408187e+01 
1990012721 32.707027 62.684322 4.195910e+00;3.267508e+01;6.409629e+01;9.813449e+02;3.206250e+01;6.028100e+01;1.962766e+01;1.000000e+25;1.000000e+25;1.000000e+25 
