,start_date,end_date,storm_index,3_hour_steps,1_hour_steps,eu_landfall_date,nb_steps_before_eu_landfall_1_hour,storm_index_match,storm_name
26,1996-10-12T00:00:00,1996-10-31T15:00:00,27,157,471,1996-10-28T03:00:00,387,27.0,C3S_STORM_TRACKS_ERA5
27,1996-11-05T12:00:00,1996-11-12T00:00:00,28,52,156,1996-11-06T00:00:00,12,28.0,C3S_STORM_TRACKS_ERA5
28,1997-02-15T03:00:00,1997-02-23T18:00:00,29,69,207,1997-02-19T12:00:00,105,29.0,C3S_STORM_TRACKS_ERA5
29,1997-02-22T09:00:00,1997-02-28T00:00:00,30,45,135,1997-02-22T23:00:00,14,30.0,YUMA
30,1997-12-22T18:00:00,1997-12-25T18:00:00,31,24,72,1997-12-23T12:00:00,18,31.0,FANNY
31,1997-12-31T00:00:00,1998-01-06T03:00:00,32,49,147,1998-01-04T06:00:00,102,32.0,C3S_STORM_TRACKS_ERA5
32,1997-12-31T12:00:00,1998-01-06T00:00:00,33,44,132,1998-01-03T01:00:00,61,33.0,STEPHEN
33,1998-10-27T12:00:00,1998-10-30T00:00:00,36,20,60,1998-10-30T00:00:00,60,36.0,ANATOL
34,1998-12-24T00:00:00,1998-12-29T18:00:00,34,46,138,1998-12-26T09:00:00,57,34.0,C3S_STORM_TRACKS_ERA5
35,1999-01-13T12:00:00,1999-01-19T06:00:00,35,46,138,1999-01-13T12:00:00,0,35.0,XYLIA
36,1999-12-02T00:00:00,1999-12-06T15:00:00,37,37,111,1999-12-03T02:00:00,26,37.0,LOTHAR
37,1999-12-24T00:00:00,1999-12-26T12:00:00,38,20,60,1999-12-26T01:00:00,49,38.0,C3S_STORM_TRACKS_ERA5
38,1999-12-26T03:00:00,2000-01-01T12:00:00,40,51,153,1999-12-28T23:00:00,68,40.0,C3S_STORM_TRACKS_ERA5
39,1999-12-31T06:00:00,2000-01-07T18:00:00,39,60,180,2000-01-01T17:00:00,35,39.0,MARTIN
40,2000-10-29T18:00:00,2000-11-03T06:00:00,42,36,108,2000-10-30T06:00:00,12,42.0,C3S_STORM_TRACKS_ERA5
41,2000-11-24T21:00:00,2000-11-27T00:00:00,41,17,51,2000-11-25T03:00:00,6,41.0,ORATIA-TORA
42,2001-12-25T18:00:00,2001-12-30T18:00:00,43,40,120,2001-12-27T20:00:00,50,43.0,C3S_STORM_TRACKS_ERA5
43,2002-01-25T15:00:00,2002-02-02T15:00:00,44,64,192,2002-01-28T07:00:00,64,44.0,C3S_STORM_TRACKS_ERA5
44,2002-02-21T09:00:00,2002-03-03T06:00:00,45,79,237,2002-02-25T22:00:00,109,45.0,JEANETTE
45,2002-10-23T12:00:00,2002-10-31T06:00:00,46,62,186,2002-10-26T21:00:00,81,46.0,ERWIN
46,2005-01-05T18:00:00,2005-01-11T03:00:00,47,43,129,2005-01-07T22:00:00,52,47.0,GERO
47,2005-01-07T00:00:00,2005-01-18T12:00:00,48,92,276,2005-01-11T20:00:00,116,48.0,C3S_STORM_TRACKS_ERA5
48,2005-11-02T00:00:00,2005-11-13T18:00:00,49,94,282,2005-11-07T17:00:00,137,49.0,C3S_STORM_TRACKS_ERA5
49,2005-11-09T03:00:00,2005-11-13T21:00:00,50,38,114,2005-11-11T09:00:00,54,50.0,C3S_STORM_TRACKS_ERA5
50,2006-01-08T12:00:00,2006-01-16T21:00:00,51,67,201,2006-01-10T21:00:00,57,51.0,C3S_STORM_TRACKS_ERA5
51,2006-12-30T00:00:00,2007-01-04T03:00:00,52,41,123,2006-12-31T11:00:00,35,52.0,C3S_STORM_TRACKS_ERA5
52,2007-01-14T06:00:00,2007-01-21T03:00:00,54,55,165,2007-01-16T04:00:00,46,54.0,C3S_STORM_TRACKS_ERA5
53,2007-03-15T12:00:00,2007-03-20T03:00:00,53,37,111,2007-03-19T11:00:00,95,53.0,KYRILL
54,2007-11-06T18:00:00,2007-11-11T09:00:00,55,37,111,2007-11-07T17:00:00,23,55.0,C3S_STORM_TRACKS_ERA5
55,2007-12-03T15:00:00,2007-12-10T18:00:00,56,57,171,2007-12-09T01:00:00,130,56.0,C3S_STORM_TRACKS_ERA5
56,2008-01-07T18:00:00,2008-01-10T18:00:00,57,24,72,2008-01-08T13:00:00,19,57.0,C3S_STORM_TRACKS_ERA5
57,2008-01-20T03:00:00,2008-01-27T09:00:00,58,58,174,2008-01-24T23:00:00,116,58.0,C3S_STORM_TRACKS_ERA5
58,2008-02-05T00:00:00,2008-02-09T21:00:00,59,39,117,2008-02-07T07:00:00,55,59.0,C3S_STORM_TRACKS_ERA5
