,Unnamed: 0.1,Unnamed: 0,start_date,end_date,storm_index,3_hour_steps,1_hour_steps,eu_landfall_date,nb_steps_before_eu_landfall_1_hour,storm_name
29,29,29,1997-02-22T09:00:00,1997-02-28T00:00:00,30,45,135,1997-02-22T23:00:00,14,C3S_STORM_TRACKS_ERA5
30,30,30,1997-12-22T18:00:00,1997-12-25T18:00:00,31,24,72,1997-12-23T12:00:00,18,YUMA
31,31,31,1997-12-31T00:00:00,1998-01-06T03:00:00,32,49,147,1998-01-04T06:00:00,102,FANNY
32,32,32,1997-12-31T12:00:00,1998-01-06T00:00:00,33,44,132,1998-01-03T01:00:00,61,C3S_STORM_TRACKS_ERA5
33,33,34,1998-10-27T12:00:00,1998-10-30T00:00:00,36,20,60,1998-10-30T00:00:00,60,STEPHEN
34,34,33,1998-12-24T00:00:00,1998-12-29T18:00:00,34,46,138,1998-12-26T09:00:00,57,C3S_STORM_TRACKS_ERA5
35,35,35,1999-01-13T12:00:00,1999-01-19T06:00:00,35,46,138,1999-01-13T12:00:00,0,XYLIA
36,36,36,1999-12-02T00:00:00,1999-12-06T15:00:00,37,37,111,1999-12-03T02:00:00,26,ANATOL
37,37,37,1999-12-24T00:00:00,1999-12-26T12:00:00,38,20,60,1999-12-26T01:00:00,49,LOTHAR
38,38,39,1999-12-26T03:00:00,2000-01-01T12:00:00,40,51,153,1999-12-28T23:00:00,68,C3S_STORM_TRACKS_ERA5
39,39,38,1999-12-31T06:00:00,2000-01-07T18:00:00,39,60,180,2000-01-01T17:00:00,35,MARTIN
40,40,40,2000-10-29T18:00:00,2000-11-03T06:00:00,42,36,108,2000-10-30T06:00:00,12,C3S_STORM_TRACKS_ERA5
41,41,41,2000-11-24T21:00:00,2000-11-27T00:00:00,41,17,51,2000-11-25T03:00:00,6,ORATIA-TORA
42,42,42,2001-12-25T18:00:00,2001-12-30T18:00:00,43,40,120,2001-12-27T20:00:00,50,C3S_STORM_TRACKS_ERA5
43,43,43,2002-01-25T15:00:00,2002-02-02T15:00:00,44,64,192,2002-01-28T07:00:00,64,C3S_STORM_TRACKS_ERA5
44,44,44,2002-02-21T09:00:00,2002-03-03T06:00:00,45,79,237,2002-02-25T22:00:00,109,C3S_STORM_TRACKS_ERA5
45,45,45,2002-10-23T12:00:00,2002-10-31T06:00:00,46,62,186,2002-10-26T21:00:00,81,JEANETTE
46,46,46,2005-01-05T18:00:00,2005-01-11T03:00:00,47,43,129,2005-01-07T22:00:00,52,ERWIN
47,47,47,2005-01-07T00:00:00,2005-01-18T12:00:00,48,92,276,2005-01-11T20:00:00,116,GERO
48,48,48,2005-11-02T00:00:00,2005-11-13T18:00:00,49,94,282,2005-11-07T17:00:00,137,C3S_STORM_TRACKS_ERA5
49,49,49,2005-11-09T03:00:00,2005-11-13T21:00:00,50,38,114,2005-11-11T09:00:00,54,C3S_STORM_TRACKS_ERA5
50,50,50,2006-01-08T12:00:00,2006-01-16T21:00:00,51,67,201,2006-01-10T21:00:00,57,C3S_STORM_TRACKS_ERA5
