lon_east,lon_west,lat_north,lat_south,timestep
345.90274,353.90274,58.681908,50.681908,21
348.620636,356.620636,59.803406,51.803406,22
350.136963,358.136963,60.758675,52.758675,23
351.201447,359.201447,61.482941,53.482941,24
351.441803,359.441803,62.40617,54.40617,25
351.431274,359.431274,63.271805,55.271805,26
351.240692,359.240692,63.755314,55.755314,27
351.269592,359.269592,64.114613,56.114613,28
351.396729,359.396729,64.920807,56.920807,29
349.867188,357.867188,66.025627,58.025627,30
347.487549,355.487549,66.65115,58.65115,31
344.842102,352.842102,66.520405,58.520405,32
