lon_east,lon_west,lat_north,lat_south,timestep
344.763062,352.763062,60.23531,52.23531,23
347.810211,355.810211,63.01487,55.01487,24
350.625977,358.625977,64.666451,56.666451,25
353.09552,1.09552,65.981602,57.981602,26
355.476898,3.476898,66.757805,58.757805,27
357.5875,5.5875,67.510944,59.510944,28
359.006591,7.006591,68.144272,60.144272,29
358.710836,6.710836,68.261848,60.261848,30
359.85573,7.85573,68.180626,60.180626,31
1.393216,9.393216,67.868511,59.868511,32
2.860352,10.860352,67.459625,59.459625,33
4.938305,12.938305,67.310814,59.310814,34
7.484274,15.484274,66.986118,58.986118,35
12.234213,20.234213,66.569012,58.569012,36
16.836832,24.836832,66.07814,58.07814,37
17.975145,25.975145,65.164833,57.164833,38
19.219744,27.219744,64.22612,56.22612,39
21.135717,29.135717,63.654015,55.654015,40
23.558828,31.558828,63.229977,55.229977,41
26.208982,34.208982,62.71656,54.71656,42
28.635269,36.635269,61.929932,53.929932,43
31.330406,39.330406,61.198715,53.198715,44
34.564522,42.564522,60.344288,52.344288,45
38.58659,46.58659,59.207272,51.207272,46
41.47625,49.47625,57.584003,49.584003,47
42.553738,50.553738,57.201599,49.201599,48
43.563431,51.563431,57.553814,49.553814,49
44.040207,52.040207,57.510742,49.510742,50
43.246994,51.246994,56.888577,48.888577,51
42.166878,50.166878,56.626591,48.626591,52
40.33007,48.33007,55.957012,47.957012,53
41.042641,49.042641,55.342655,47.342655,54
42.485043,50.485043,55.011166,47.011166,55
44.334908,52.334908,54.424259,46.424259,56
45.705799,53.705799,53.779484,45.779484,57
46.8428,54.8428,53.3353,45.3353,58
47.979374,55.979374,52.840183,44.840183,59
49.566944,57.566944,52.499165,44.499165,60
50.827057,58.827057,52.401474,44.401474,61
52.793499,60.793499,52.348755,44.348755,62
55.759914,63.759914,52.407684,44.407684,63
60.607269,68.607269,53.359562,45.359562,64
64.969688,72.969688,54.325012,46.325012,65
