lon_east,lon_west,lat_north,lat_south,timestep
346.77597,354.77597,63.357643,55.357643,14
349.835785,357.835785,65.31752,57.31752,15
353.198029,1.198029,66.888443,58.888443,16
357.09704,5.09704,68.106255,60.106255,17
1.713275,9.713275,68.439896,60.439896,18
6.684475,14.684475,68.274483,60.274483,19
12.365625,20.365625,68.198212,60.198212,20
18.458162,26.458162,67.489216,59.489216,21
22.840746,30.840746,66.703064,58.703064,22
26.103621,34.103621,65.973,57.973,23
29.650036,37.650036,65.127682,57.127682,24
34.044952,42.044952,64.342545,56.342545,25
38.693348,46.693348,63.775215,55.775215,26
43.11578,51.11578,63.924068,55.924068,27
46.61874,54.61874,64.836136,56.836136,28
49.154438,57.154438,65.85207,57.85207,29
53.248837,61.248837,68.210869,60.210869,30
56.525337,64.525337,68.974304,60.974304,31
62.956001,70.956001,70.0858,62.0858,32
