lon_east,lon_west,lat_north,lat_south,timestep
344.091827,352.091827,58.890598,50.890598,18
349.299866,357.299866,58.969646,50.969646,19
354.075043,2.075043,59.175362,51.175362,20
358.32333,6.32333,59.566086,51.566086,21
2.220098,10.220098,60.032047,52.032047,22
5.614526,13.614526,60.713562,52.713562,23
8.678132,16.678132,61.527718,53.527718,24
11.219101,19.219101,62.19281,54.19281,25
13.829227,21.829227,62.878525,54.878525,26
15.514814,23.514814,63.512127,55.512127,27
16.89777,24.89777,64.114006,56.114006,28
17.888943,25.888943,64.595592,56.595592,29
18.157978,26.157978,64.658951,56.658951,30
18.819426,26.819426,64.596058,56.596058,31
19.106188,27.106188,64.50428,56.50428,32
19.712566,27.712566,64.353321,56.353321,33
20.821466,28.821466,64.334541,56.334541,34
21.978264,29.978264,64.425671,56.425671,35
23.277672,31.277672,64.539085,56.539085,36
24.618269,32.618269,65.031883,57.031883,37
26.349216,34.349216,65.561096,57.561096,38
27.895132,35.895132,66.290901,58.290901,39
29.716625,37.716625,66.951458,58.951458,40
