lon_east,lon_west,lat_north,lat_south,timestep
346.850983,354.850983,50.024014,42.024014,17
349.945099,357.945099,51.617405,43.617405,18
352.701996,0.701996,52.817284,44.817284,19
355.536011,3.536011,54.175415,46.175415,20
358.708208,6.708208,55.571587,47.571587,21
1.905483,9.905483,56.734871,48.734871,22
5.444633,13.444633,57.672974,49.672974,23
9.052739,17.052739,58.431347,50.431347,24
12.226959,20.226959,58.764786,50.764786,25
14.795843,22.795843,58.952538,50.952538,26
17.102797,25.102797,59.111549,51.111549,27
19.038801,27.038801,59.68203,51.68203,28
21.092548,29.092548,59.552258,51.552258,29
23.273449,31.273449,58.787258,50.787258,30
25.086599,33.086599,58.09108,50.09108,31
26.873323,34.873323,56.279194,48.279194,32
28.475769,36.475769,53.765308,45.765308,33
29.459518,37.459518,52.341312,44.341312,34
30.04874,38.04874,51.516655,43.516655,35
30.588898,38.588898,51.196033,43.196033,36
30.319881,38.319881,50.470501,42.470501,37
30.131077,38.131077,49.7589,41.7589,38
29.980873,37.980873,49.291,41.291,39
29.418232,37.418232,48.483921,40.483921,40
28.730541,36.730541,47.742916,39.742916,41
27.907669,35.907669,46.925198,38.925198,42
