lon_east,lon_west,lat_north,lat_south,timestep
345.038818,353.038818,58.229366,50.229366,16
346.695862,354.695862,59.808777,51.808777,17
348.194519,356.194519,61.364361,53.364361,18
349.278931,357.278931,63.148998,55.148998,19
350.197693,358.197693,64.666973,56.666973,20
350.671844,358.671844,66.358219,58.358219,21
350.203613,358.203613,68.046776,60.046776,22
349.246063,357.246063,69.507515,61.507515,23
348.141022,356.141022,70.775185,62.775185,24
346.792114,354.792114,71.876183,63.876183,25
345.770752,353.770752,72.436867,64.436867,26
344.709442,352.709442,72.970619,64.970619,27
344.422913,352.422913,72.059158,64.059158,33
345.322113,353.322113,72.348732,64.348732,34
344.517212,352.517212,72.158806,64.158806,35
344.527954,352.527954,71.815712,63.815712,36
344.937531,352.937531,71.556351,63.556351,37
346.114044,354.114044,71.650513,63.650513,38
346.740326,354.740326,71.342331,63.342331,39
348.124634,356.124634,71.382538,63.382538,40
350.218323,358.218323,71.722618,63.722618,41
352.261749,0.261749,72.064102,64.064102,42
355.497559,3.497559,74.452225,66.452225,43
356.47588,4.47588,73.812012,65.812012,44
358.082169,6.082169,73.498093,65.498093,45
359.8481,7.8481,73.215538,65.215538,46
1.90121,9.90121,73.039482,65.039482,47
3.836316,11.836316,72.947128,64.947128,48
6.769506,14.769506,73.199631,65.199631,49
