lon_east,lon_west,lat_north,lat_south,timestep
346.388794,354.388794,59.587425,51.587425,45
349.609833,357.609833,59.630047,51.630047,46
353.126709,1.126709,59.379753,51.379753,47
356.220011,4.220011,59.022064,51.022064,48
358.684258,6.684258,58.911018,50.911018,49
0.66996,8.66996,58.886784,50.886784,50
2.657051,10.657051,58.882183,50.882183,51
5.227633,13.227633,58.854958,50.854958,52
8.684461,16.684461,58.862198,50.862198,53
12.060617,20.060617,58.827076,50.827076,54
14.573156,22.573156,58.757618,50.757618,55
16.814459,24.814459,58.674259,50.674259,56
18.896973,26.896973,58.560238,50.560238,57
21.347198,29.347198,58.734653,50.734653,58
23.639153,31.639153,59.053665,51.053665,59
25.389433,33.389433,59.187237,51.187237,60
27.448341,35.448341,59.341183,51.341183,61
29.066063,37.066063,60.257404,52.257404,62
30.322762,38.322762,60.973236,52.973236,63
31.886578,39.886578,61.616783,53.616783,64
32.856968,40.856968,62.922009,54.922009,65
33.880318,41.880318,64.105129,56.105129,66
34.853584,42.853584,65.307728,57.307728,67
36.499901,44.499901,66.26289,58.26289,68
37.562992,45.562992,67.055676,59.055676,69
38.684467,46.684467,67.504917,59.504917,70
39.092999,47.092999,68.482025,60.482025,71
39.464672,47.464672,69.165939,61.165939,72
40.102295,48.102295,69.850319,61.850319,73
40.147736,48.147736,70.31778,62.31778,74
39.997459,47.997459,71.012276,63.012276,75
