lon_east,lon_west,lat_north,lat_south,timestep
345.939819,353.939819,49.482292,41.482292,15
349.196014,357.196014,49.813065,41.813065,16
352.117889,0.117889,49.865685,41.865685,17
355.019836,3.019836,49.41272,41.41272,18
357.842667,5.842667,48.784462,40.784462,19
1.144057,9.144057,47.764645,39.764645,20
3.299011,11.299011,47.319073,39.319073,21
4.979964,12.979964,46.758759,38.758759,22
6.04245,14.04245,46.172947,38.172947,23
7.163061,15.163061,45.668171,37.668171,24
8.504324,16.504324,45.185459,37.185459,25
9.839881,17.839881,44.833786,36.833786,26
11.171072,19.171072,44.521915,36.521915,27
12.777813,20.777813,44.302937,36.302937,28
15.599472,23.599472,43.784016,35.784016,29
18.236526,26.236526,43.602871,35.602871,30
20.06633,28.06633,43.850346,35.850346,31
21.101665,29.101665,44.695751,36.695751,32
21.901218,29.901218,45.846985,37.846985,33
22.850441,30.850441,46.668861,38.668861,34
23.993469,31.993469,47.457428,39.457428,35
24.760836,32.760836,48.33971,40.33971,36
25.265789,33.265789,48.714462,40.714462,37
25.737482,33.737482,48.908226,40.908226,38
26.359346,34.359346,49.265514,41.265514,39
26.662651,34.662651,49.542866,41.542866,40
27.430063,35.430063,49.896221,41.896221,41
28.301605,36.301605,50.01305,42.01305,42
28.928543,36.928543,50.089901,42.089901,43
29.381878,37.381878,50.315872,42.315872,44
29.751743,37.751743,50.636993,42.636993,45
