lon_east,lon_west,lat_north,lat_south,timestep
347.012909,355.012909,58.564762,50.564762,32
352.306091,0.306091,58.631134,50.631134,33
356.793279,4.793279,58.536991,50.536991,34
1.975079,9.975079,58.678665,50.678665,35
7.2185,15.2185,58.766464,50.766464,36
12.100683,20.100683,58.528568,50.528568,37
16.332062,24.332062,58.207012,50.207012,38
20.027399,28.027399,58.061058,50.061058,39
23.755281,31.755281,58.13443,50.13443,40
26.815111,34.815111,58.137989,50.137989,41
29.427074,37.427074,58.388813,50.388813,42
31.003616,39.003616,59.623219,51.623219,43
32.266003,40.266003,60.454472,52.454472,44
33.5359,41.5359,61.00124,53.00124,45
34.767223,42.767223,61.405586,53.405586,46
35.84375,43.84375,61.82222,53.82222,47
36.68755,44.68755,62.255482,54.255482,48
37.758255,45.758255,62.611588,54.611588,49
38.521915,46.521915,62.797001,54.797001,50
39.494465,47.494465,62.914577,54.914577,51
40.801872,48.801872,63.225922,55.225922,52
42.376537,50.376537,63.74725,55.74725,53
44.197735,52.197735,64.288124,56.288124,54
46.688156,54.688156,65.871468,57.871468,55
