lon_east,lon_west,lat_north,lat_south,timestep
349.144836,357.144836,73.665001,65.665001,0
354.925598,2.925598,73.772522,65.772522,1
0.213022,8.213022,74.148766,66.148766,2
5.274573,13.274573,74.223221,66.223221,3
10.085927,18.085927,73.953468,65.953468,4
13.705166,21.705166,73.814026,65.814026,5
17.883421,25.883421,73.337486,65.337486,6
21.177502,29.177502,73.236092,65.236092,7
25.128899,33.128899,73.052895,65.052895,8
29.165623,37.165623,73.469414,65.469414,9
33.181679,41.181679,75.366859,67.366859,10
35.495461,43.495461,75.638092,67.638092,11
37.599598,45.599598,75.994598,67.994598,12
39.119835,47.119835,76.516029,68.516029,13
41.256958,49.256958,76.653534,68.653534,14
43.135872,51.135872,77.167412,69.167412,15
45.466629,53.466629,77.754013,69.754013,16
47.498489,55.498489,78.379662,70.379662,17
