lon_east,lon_west,lat_north,lat_south,timestep
345.943481,353.943481,55.937408,47.937408,17
350.143311,358.143311,56.617287,48.617287,18
353.285187,1.285187,57.449841,49.449841,19
356.404433,4.404433,58.392773,50.392773,20
359.372775,7.372775,59.317207,51.317207,21
2.013435,10.013435,60.145382,52.145382,22
3.619756,11.619756,60.788403,52.788403,23
5.445882,13.445882,61.335732,53.335732,24
6.746552,14.746552,61.902039,53.902039,25
7.741852,15.741852,62.335911,54.335911,26
8.835162,16.835162,62.539703,54.539703,27
10.759127,18.759127,62.812351,54.812351,28
12.72854,20.72854,63.119976,55.119976,29
14.424904,22.424904,63.347755,55.347755,30
16.244846,24.244846,63.615459,55.615459,31
18.342308,26.342308,64.257721,56.257721,32
20.294346,28.294346,64.68277,56.68277,33
22.010111,30.010111,65.011086,57.011086,34
23.210588,31.210588,65.202888,57.202888,35
24.98369,32.98369,65.640808,57.640808,36
26.595552,34.595552,66.18018,58.18018,37
28.707027,36.707027,66.684322,58.684322,38
30.815449,38.815449,67.266251,59.266251,39
32.983864,40.983864,68.158661,60.158661,40
34.28302,42.28302,68.786545,60.786545,41
35.552975,43.552975,69.833458,61.833458,42
35.80365,43.80365,70.754616,62.754616,43
36.605556,44.605556,70.779961,62.779961,44
37.577332,45.577332,71.246323,63.246323,45
38.700306,46.700306,71.417984,63.417984,46
40.162315,48.162315,71.057327,63.057327,47
44.176598,52.176598,70.221039,62.221039,48
47.47332,55.47332,69.919853,61.919853,49
49.922283,57.922283,69.858345,61.858345,50
54.181171,62.181171,69.525337,61.525337,51
