lon_east,lon_west,lat_north,lat_south,timestep
347.235107,355.235107,61.265553,53.265553,14
350.456635,358.456635,61.89431,53.89431,15
353.11795,1.11795,62.276154,54.276154,16
355.859436,3.859436,62.585667,54.585667,17
358.479579,6.479579,62.651531,54.651531,18
1.064171,9.064171,62.495975,54.495975,19
3.355346,11.355346,62.890594,54.890594,20
4.931264,12.931264,63.613976,55.613976,21
6.421526,14.421526,63.979324,55.979324,22
7.345436,15.345436,64.482162,56.482162,23
7.937051,15.937051,64.673504,56.673504,24
9.181911,17.181911,64.834808,56.834808,25
10.584614,18.584614,64.969402,56.969402,26
11.324052,19.324052,65.044407,57.044407,27
12.087988,20.087988,65.088184,57.088184,28
13.285343,21.285343,65.209824,57.209824,29
14.643127,22.643127,65.128246,57.128246,30
15.367418,23.367418,65.177498,57.177498,31
17.081785,25.081785,65.290314,57.290314,32
18.156092,26.156092,65.380646,57.380646,33
19.275862,27.275862,65.61171,57.61171,34
20.908104,28.908104,66.021488,58.021488,35
22.603926,30.603926,66.841515,58.841515,36
24.235651,32.235651,67.620838,59.620838,37
24.117929,32.117929,67.999836,59.999836,38
24.148714,32.148714,68.258484,60.258484,39
25.803787,33.803787,68.863113,60.863113,40
27.302746,35.302746,69.386955,61.386955,41
29.324612,37.324612,70.342667,62.342667,42
32.638702,40.638702,72.759224,64.759224,43
34.252888,42.252888,72.822639,64.822639,44
35.940063,43.940063,73.209335,65.209335,45
37.072876,45.072876,73.142822,65.142822,46
39.192165,47.192165,73.272873,65.272873,47
41.308186,49.308186,73.223732,65.223732,48
44.13633,52.13633,72.987114,64.987114,49
48.033451,56.033451,72.105705,64.105705,50
49.991425,57.991425,72.642082,64.642082,51
53.66024,61.66024,72.993874,64.993874,52
56.379089,64.379089,73.714302,65.714302,53
58.760628,66.760628,74.478348,66.478348,54
63.486458,71.486458,75.25898,67.25898,55
