lon_east,lon_west,lat_north,lat_south,timestep
348.310242,356.310242,68.825157,60.825157,36
353.548431,1.548431,69.592888,61.592888,37
357.913401,5.913401,70.087006,62.087006,38
3.109962,11.109962,70.508148,62.508148,39
8.917338,16.917338,70.626457,62.626457,40
15.732956,23.732956,70.440941,62.440941,41
22.674461,30.674461,69.849159,61.849159,42
26.890043,34.890043,68.75177,60.75177,43
30.690521,38.690521,67.870426,59.870426,44
34.728924,42.728924,67.303074,59.303074,45
38.505611,46.505611,66.346119,58.346119,46
42.362755,50.362755,65.011707,57.011707,47
45.42086,53.42086,63.939568,55.939568,48
48.528725,56.528725,62.930046,54.930046,49
51.158222,59.158222,62.397808,54.397808,50
53.563293,61.563293,61.923355,53.923355,51
55.719158,63.719158,61.418446,53.418446,52
57.878353,65.878353,60.977959,52.977959,53
60.002441,68.002441,60.740047,52.740047,54
61.122818,69.122818,60.526093,52.526093,55
