storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,-0.9997392886611487,-1.009349744467513,-1.013263979397997,-1.0198349419579165,-1.0194955442451092,-1.0163021681752946,-1.0078067012899234,-1.0050810113753694,-1.0035613371704446,-0.9980464164094669,-0.997043105189166,-0.9984685809272001,-0.9922566985348068,-0.991644063897209,-0.9803305078336002,-0.9660378143673136,-0.9392859688938052,-0.9306239706059154,-0.927155538438767,-0.9338040866831618,-0.9427144691100684,-0.942348996988032,-0.9438565903071899,-0.9357494191636042,-0.9313055152208126,-0.9342059409626303,-0.9427018593917961,-0.9560828374571174,-0.9621020300274371,-0.9525836712822922,-0.935501475688206,-0.9228535792602953,-0.9102421225405347,-0.9045853131588298,-0.9069114253044335,-0.9094133539346915
2,-0.9994487630113236,-1.0090555780479133,-1.0129838084130989,-1.0195456374821519,-1.019187622667723,-1.0159859931073716,-1.0075322392008519,-1.0047966838785956,-1.003250598056275,-0.9977595330566449,-0.9968091423865933,-0.9982680615490434,-0.9921328019482959,-0.9916036819748332,-0.9803872243429048,-0.9661591656574173,-0.9394252242004633,-0.9307578728880432,-0.9273249708835575,-0.9339956603288496,-0.9429783942144812,-0.9427258831905365,-0.9443067027208075,-0.9362476313725896,-0.9319031658406247,-0.9348065439077395,-0.9432795051505416,-0.9566215383032424,-0.9626327106267488,-0.9530744477320182,-0.9359639792222886,-0.9232189081354523,-0.9105112424122445,-0.9047472922827746,-0.9069943400722299,-0.9094418998137828
3,-0.9997412430484562,-1.0093549196377423,-1.0132828837845511,-1.0198463002205091,-1.0194839579800643,-1.0162934734443003,-1.0077740816539174,-1.0050398811335026,-1.0034763912809057,-0.9979624495931331,-0.9969896139039586,-0.9984293878488039,-0.9922767645582762,-0.9917046665816278,-0.9804241126332345,-0.9661311930306876,-0.939347000893963,-0.930652373634154,-0.9271898536133287,-0.9338537299880647,-0.9428610274491683,-0.9426063723880521,-0.9441732764046595,-0.9360802653286561,-0.9316829917169833,-0.9345122823448756,-0.9429107450618807,-0.9562173089905225,-0.9621973643920143,-0.9526261107755214,-0.9354803846325533,-0.9227491761194865,-0.9101143441025992,-0.9044286016833103,-0.9067283617644963,-0.9092237902000379
5,-0.9996766403717564,-1.00932896818273,-1.013277876172717,-1.0198391900476473,-1.0194619652456955,-1.01623140564728,-1.0076730177531317,-1.0048754284827224,-1.003273066784157,-0.9977565171297944,-0.99681839067864,-0.9983087641003218,-0.9921801355317519,-0.991621771583562,-0.9802978561349782,-0.965906990017073,-0.9389931944229907,-0.9301877716896605,-0.926712042397028,-0.9333722674381663,-0.9422790027830649,-0.9419259913440974,-0.9434883173430993,-0.9354867597090369,-0.9312717709364934,-0.9342400094806614,-0.9426431009431399,-0.9559822736966643,-0.9620050737337582,-0.9524214672693966,-0.9352458412908884,-0.9225416865257081,-0.9099405849630248,-0.9042807529205725,-0.9066036759093322,-0.9091614632054829
6,-0.9996486469617467,-1.0092742284288099,-1.0132121622585597,-1.0197786840201069,-1.0194449778676613,-1.0162750386849133,-1.0078122370557756,-1.0051066093129286,-1.0035525315258356,-0.9980332951823091,-0.9970658730462186,-0.9985102514019675,-0.9923816504834336,-0.9918405608903191,-0.980592584064841,-0.9663197351807702,-0.9395275897771257,-0.9307818534932525,-0.9272457700720639,-0.933831300145504,-0.9427434273314937,-0.9424702044494964,-0.9440485662955396,-0.93603333220982,-0.9317305452201204,-0.9346698831691691,-0.9431759436073738,-0.9565517316770663,-0.962579938053411,-0.9530079016264301,-0.9358308271452352,-0.9230419010208011,-0.9102766378832297,-0.9043618491595538,-0.9065507950171523,-0.9089597610042697
7,-0.9998178034905035,-1.009473768631468,-1.0134174241046108,-1.0199935324293807,-1.019654866762935,-1.0164850614624614,-1.0079978312367384,-1.005284057142771,-1.003735370134011,-0.9982307115607769,-0.99726704910378,-0.998714842296283,-0.9925768657771755,-0.9920453917833465,-0.980800812055201,-0.9665393863751569,-0.939761112845746,-0.9310516359880345,-0.9275460450503936,-0.9341810767910148,-0.943120450509703,-0.9427973116110934,-0.9443226282219828,-0.9362394635773706,-0.9318723398369679,-0.9347690867318427,-0.9432281438235953,-0.9565685307667275,-0.962577631896116,-0.953000129278704,-0.9358023829096034,-0.9230365663821107,-0.9103192264675104,-0.9045500571612073,-0.906769447381128,-0.909219341668066
8,-0.9995821070858502,-1.0092135846744448,-1.0131569616957852,-1.0197003307804255,-1.0193665154277685,-1.0161999965968294,-1.0077006935785149,-1.0049245881270636,-1.0033983458430369,-0.9978994061690556,-0.9969221067966487,-0.9983354630873059,-0.9921511298518736,-0.9915643794786902,-0.9803176256854599,-0.9660269335172338,-0.9392454211196192,-0.9305158053112023,-0.9269683409874685,-0.9335636573446483,-0.9426867438060547,-0.9423771033751811,-0.9439194685542507,-0.9358463802799363,-0.9314924891749055,-0.9344367084175763,-0.943007476016172,-0.9564389991044681,-0.9625382361214496,-0.9530141144284173,-0.9358425944859361,-0.9230854201563555,-0.9103643696850039,-0.9045780692655601,-0.9068042203167834,-0.9092626667523072
11,1.2984941446236375,1.380137079118943,1.443419239322715,1.468302404330358,1.4743475746456358,1.4152221043148516,1.3225191693301575,1.0931006960091068,1.0247755520267974,0.9055154234421706,0.7715234659346997,0.6750411711693419,0.6480473161741617,0.6442046691353362,0.6107278085307323,0.5454421866552419,0.48402272018170556,0.42287538515852924,0.367571158499195,0.3711036087076572,0.3799890689457505,0.3625238984610886,0.3480076755712912,0.3446845333280655,0.3614599789789358,0.40827272513454543,0.4562884643976966,0.5075160536372643,0.5117475855960745,0.526877496355119,0.49124438511573426,0.42557755838574357,0.3691854024133161,0.3467834468986875,0.3166174010555551,0.3655215902589876
12,-0.9996969968358421,-1.0093209351192638,-1.0132712453929096,-1.0198556703674804,-1.0195195932067134,-1.0163078175029576,-1.00782959590554,-1.0051344205189476,-1.0036212497002777,-0.9981337931276388,-0.9971801984239805,-0.9986421774637337,-0.992543894469201,-0.9920363333374099,-0.9807991387486757,-0.9665367752883741,-0.9397518037982606,-0.9310136875401388,-0.9274913120237341,-0.9341119560531543,-0.9430554269833914,-0.9427555535718019,-0.9443100383832618,-0.9362530650677001,-0.9319093604677533,-0.9348008938422597,-0.9432660672886852,-0.9566011306085849,-0.9626090215700518,-0.9530460962286754,-0.9358671911384201,-0.9231229141495519,-0.9104247816129536,-0.9046764585850662,-0.9069363970627484,-0.9093915229384606
13,-0.9998075955295213,-1.009416383112123,-1.013337967324458,-1.0198974757226786,-1.0195491942970323,-1.0163752105020964,-1.007853401752266,-1.005122024925197,-1.003556643326502,-0.9980384216361511,-0.9970563226777658,-0.9984982640038098,-0.9923595904155192,-0.9918214824669438,-0.9805717097473495,-0.9663091017603882,-0.9395339188205551,-0.9308261326641271,-0.9272881828807935,-0.9338990550469727,-0.9428290688694627,-0.9425173056174263,-0.9440746402386633,-0.9360457117162381,-0.9317344136765027,-0.9346507460285379,-0.9431352120903511,-0.9564894656253264,-0.9625013435473585,-0.95293022517315,-0.935731114566753,-0.9229922424326588,-0.9103038044395934,-0.9045561527280953,-0.9068229946348635,-0.9092776494017458
