time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10
1,mean_surface_latent_heat_flux_mean,-2.179502210681795,-1.2387205610512375,-1.4663689458803684,2.9882441235663366,0.3065334719692408,-0.14558166835548267,0.41343335076812954,-0.3794379107923224,-0.027705446580636388,-0.2756022003047932
2,mean_surface_latent_heat_flux_mean,-2.2724868540878056,-1.4920101328428574,-1.3712683263521754,2.4123583151495422,0.19468316207075811,-0.26342387795080435,0.1963488497918238,-0.14285656887052134,-0.10314037185307476,-0.19881641488796167
3,mean_surface_latent_heat_flux_mean,-2.2464936994591667,-1.5258047134259203,-1.0640203866587128,0.9470900124152929,-0.6109410369372936,-0.20612864697699063,-0.023158555859493606,0.29654690605181044,0.14659616980753964,0.4842557156004077
4,mean_surface_latent_heat_flux_mean,-2.231697122752863,-1.8406032739599054,-0.5674766545656592,0.02298541506900532,-0.8844244957255787,-0.3430386641014915,-0.2729808399671926,0.39902074607499033,0.005583662713497717,0.26898809490373043
5,mean_surface_latent_heat_flux_mean,-2.2205115649314626,-1.9602474780074968,-0.38189142034002443,-0.570072770977177,-0.9885674153734358,-0.40362172902698534,-0.4182920143087876,0.21855064312129216,-0.112365484904686,0.14570515332407197
6,mean_surface_latent_heat_flux_mean,-2.168012353513477,-2.016090685788743,-0.12025001408231395,-0.975866758642796,-0.9009250940339013,-0.2968044969701359,-0.4227747264988203,0.1151838982061113,-0.18208249655378766,-0.07723280522252858
7,mean_surface_latent_heat_flux_mean,-2.0706056493726277,-1.857783426061202,0.09485192943891226,-1.2349504557595221,-0.67215089569483,-0.06041813486965077,-0.3435206230903906,-0.11468246182447785,-0.01953534616636889,-0.34585113288828084
8,mean_surface_latent_heat_flux_mean,-2.000264990153062,-1.599093695159729,0.47400111668236766,-1.2494106704885246,-0.26685982562171745,0.2282030221561407,-0.10161703736537298,-0.2724889408775248,0.025440844594162532,-0.3468819547158108
9,mean_surface_latent_heat_flux_mean,-1.8889477235369887,-1.248748779938373,0.9094402801433993,-0.9501289609913856,0.1446084431858424,0.5851976379754241,0.2147243225573118,-0.41033060461020776,0.19268283004007133,-0.22082790141088965
10,mean_surface_latent_heat_flux_mean,-1.8729590327920174,-0.9102057275434722,1.3279639105443537,-0.49440830944887626,0.5322559509351669,0.9400758347486989,0.3837892065834129,-0.43747016555998425,0.158706098109114,0.06646573882145634
11,mean_surface_latent_heat_flux_mean,-1.8000816862226987,-0.5832948323251037,1.5926039310242543,-0.12887739213669971,0.6845165949593721,0.9222689797736335,0.3770278513008741,-0.11583626119517017,0.05074551597527207,0.22825067468494764
12,mean_surface_latent_heat_flux_mean,-1.7310719245098636,-0.2529456621241589,1.6700477202799915,0.12930825774666885,0.9363872015597913,0.6373594692766961,0.21126320636858012,0.04393753549038159,-0.09029410560714704,0.19612179159895457
13,mean_surface_latent_heat_flux_mean,-1.542570170954929,0.7371540806690569,1.7461419206878177,0.23118593608416968,0.8369826942843672,0.11799101428404506,-0.061047739073060166,0.3738268117569176,-0.3354446144728439,0.22339800602530105
14,mean_surface_latent_heat_flux_mean,-1.4130014952140244,1.0712185642239611,1.6930340350531785,0.2871982966283392,0.8867420450030449,-0.23100940436100448,-0.22164172973185747,0.5016517750458109,-0.18686644905192665,0.08613916258409886
15,mean_surface_latent_heat_flux_mean,-1.140506205280013,1.4543723148495875,1.5596756408591839,0.20018568808624967,0.7739925650041928,-0.595335158568054,-0.16417658665259713,0.3803519564870253,0.019408314758573422,-0.050389071040538164
16,mean_surface_latent_heat_flux_mean,-0.8016373845791183,1.8069922530598876,1.4267054709361713,-0.028527466680884718,0.39331405176120515,-0.8654069742856397,-0.0854686276123229,0.15582466483325064,0.19894299299146864,-0.2118770617586058
