lon_east,lon_west,lat_north,lat_south,step
"58.813493","50.813493","85.782079","77.782079","206"
"52.991598","44.991598","85.294696","77.294696","205"
"65.903882","57.903882","84.638761","76.638761","200"
"67.781249","59.781249","84.376452","76.376452","199"
"58.407579","50.407579","84.869817","76.869817","202"
"64.026516","56.026516","84.90107","76.90107","201"
"348.94926","340.94926","59.377147","51.377147","52"
"348.503754","340.503754","59.189751","51.189751","51"
"349.394765","341.394765","59.564542","51.564542","53"
"346.46991","338.46991","58.647266","50.647266","48"
"345.904765","337.904765","58.355813","50.355813","47"
"347.825806","339.825806","59.008923","51.008923","50"
"347.147858","339.147858","58.828094","50.828094","49"
"334.985199","326.985199","53.765739","45.765739","36"
"333.429423","325.429423","53.579865","45.579865","35"
"337.463043","329.463043","54.849401","46.849401","38"
"336.224121","328.224121","54.30757","46.30757","37"
"329.032776","321.032776","52.836134","44.836134","32"
"327.74768","319.74768","52.464151","44.464151","31"
"331.873647","323.873647","53.393992","45.393992","34"
"330.317871","322.317871","53.208118","45.208118","33"
"343.876058","335.876058","57.407917","49.407917","44"
"342.977641","334.977641","57.042927","49.042927","43"
"345.33962","337.33962","58.06436","50.06436","46"
"344.774475","336.774475","57.772907","49.772907","45"
"339.827718","331.827718","55.820134","47.820134","40"
"338.701965","330.701965","55.391232","47.391232","39"
"342.079224","334.079224","56.677937","48.677937","42"
"340.953471","332.953471","56.249035","48.249035","41"
"313.727824","305.727824","47.280751","39.280751","20"
"312.590657","304.590657","46.946743","38.946743","19"
"315.963877","307.963877","47.953437","39.953437","22"
"314.86499","306.86499","47.614758","39.614758","21"
"309.190165","301.190165","45.868491","37.868491","16"
"308.058502","300.058502","45.496368","37.496368","15"
"311.453491","303.453491","46.612736","38.612736","18"
"310.321828","302.321828","46.240613","38.240613","17"
"323.614909","315.614909","50.803204","42.803204","28"
"322.191071","314.191071","50.158722","42.158722","27"
"326.462585","318.462585","52.092167","44.092167","30"
"325.038747","317.038747","51.447685","43.447685","29"
"318.161652","310.161652","48.630795","40.630795","24"
"317.062765","309.062765","48.292116","40.292116","23"
"320.847931","312.847931","49.649413","41.649413","26"
"319.504792","311.504792","49.140104","41.140104","25"
"297.592682","289.592682","42.234838","34.234838","4"
"296.532135","288.532135","41.871521","33.871521","3"
"299.713776","291.713776","42.961472","34.961472","6"
"298.653229","290.653229","42.598155","34.598155","5"
"294.812012","286.812012","41.300362","33.300362","0"
"295.958761","287.958761","41.681135","33.681135","2"
