storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,surface_sensible_heat_flux_mean,-3.4762657793967024,-0.346324970281833,0.31988036576526196,-0.14182628193951444,-0.39603943848917716,-0.025399645959913328
2,surface_sensible_heat_flux_mean,-3.4791036891466054,-0.34703216508871904,0.3207003241522021,-0.1413068465216608,-0.3964344563820773,-0.02525992144018002
3,surface_sensible_heat_flux_mean,-3.4777887614676724,-0.34688926401062464,0.32087926203599293,-0.14131760356246678,-0.3961403585158904,-0.025231432720568603
5,surface_sensible_heat_flux_mean,-3.480881476590248,-0.34684016395223766,0.32136000099988526,-0.14049905302195398,-0.39684641451122793,-0.025835322367348826
6,surface_sensible_heat_flux_mean,-3.478389968645503,-0.3458526936989286,0.3199032554807538,-0.14148658797699903,-0.3962865286126057,-0.024983848794049288
7,surface_sensible_heat_flux_mean,-3.478618866836637,-0.3454106596982427,0.32009663579204456,-0.14125559376625949,-0.3967568478140624,-0.0251901822003916
8,surface_sensible_heat_flux_mean,-3.4761830486060004,-0.347888270430317,0.31995079688762046,-0.14094707335387513,-0.39665777095402194,-0.02514392298259009
11,surface_sensible_heat_flux_mean,3.5952004890256224,1.7582657386317175,-0.6611196008945766,0.09481240259028785,-1.649123782813755,0.1114444954335199
12,surface_sensible_heat_flux_mean,-3.4789219320668607,-0.3466405715365064,0.3201481702810844,-0.14076355671363405,-0.39646253455387426,-0.02525981100926578
13,surface_sensible_heat_flux_mean,-3.477870062405222,-0.34581776134811587,0.32018516963398796,-0.14151184032035638,-0.396774228987917,-0.025122635891250904
16,surface_sensible_heat_flux_mean,-3.4772295097180344,-0.3446244160557671,0.3197736753087537,-0.14130883995746724,-0.39702158769289786,-0.02529601399311713
19,surface_sensible_heat_flux_mean,-3.479733811356043,-0.3476525209757807,0.3206774376440301,-0.14061238630626907,-0.3958479301751066,-0.024904184999408992
21,surface_sensible_heat_flux_mean,-3.472383938150725,-0.3452583525342817,0.3191237679283837,-0.1421431495191451,-0.39725525809288914,-0.025245778779075984
26,surface_sensible_heat_flux_mean,-3.4803829496291336,-0.34732745515778135,0.32063538192565016,-0.14086934080274333,-0.3964723106331247,-0.025258025423591776
27,surface_sensible_heat_flux_mean,-3.4792752072014976,-0.34673729831428907,0.32033754911863305,-0.14136057029027996,-0.3967651560470295,-0.02522548860836671
29,surface_sensible_heat_flux_mean,-3.4787245460658105,-0.3446043394589492,0.31994276496035545,-0.14178073895667012,-0.39631374819042126,-0.02506843727789427
31,surface_sensible_heat_flux_mean,-3.4792074426655506,-0.3458300742077615,0.32022961037410147,-0.14148029497453696,-0.3970598393641289,-0.02525483101582388
32,surface_sensible_heat_flux_mean,-3.474047326748537,-0.34682393452627147,0.3204805616580163,-0.14204736351290193,-0.39636570349497247,-0.024837089567989315
