storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11
1,vertical_velocity_30_std,8.149021068828572,-1.1012679439645467,-1.686569215287626,-2.392073047786755,-0.7854830743068132,3.7055660526020806,-0.4157185266126631,-0.8969515111686462,0.6458945620364801,0.34319872080884767,0.18846412029916934
2,vertical_velocity_30_std,6.496338442031487,-3.3190807425847395,3.4980576596215505,0.4749196794856157,2.1642966184247836,1.1366329110680955,-0.9634303519369483,0.7467305642810862,-0.20684089102736777,0.5574197044798676,0.10241145592093992
3,vertical_velocity_30_std,0.4917821839577172,0.7656292024972274,-0.4383890828421728,-0.26531026804552005,-0.9313745049981096,-0.007737461085479037,0.1631055127711228,0.46542726202814844,-0.08155964481891197,0.17325957991427587,-0.19032297845032697
5,vertical_velocity_30_std,-3.9645457470684433,-0.17147150117598503,-0.20679131460072978,0.23293986632598773,-0.034020677068359345,0.22885592879139932,0.018430850517552482,-0.11148979519206102,-0.53620801866595,0.06431709987615736,-0.25286696123416735
6,vertical_velocity_30_std,-4.773569715227159,0.04887137129755566,0.4499882197525653,0.084203848143803,0.47468335583630195,-0.14498028564054483,0.07727955095001306,-0.17963586029147158,-0.08141526286774428,-0.35959185990708775,0.13155719820098846
7,vertical_velocity_30_std,1.0593396713839451,2.335923116980612,-3.7028073717523546,0.17411954309531844,-1.4634460308682444,0.9242371930650713,-0.2490925859335737,-0.21038480132496307,-0.39655636122545784,-0.01894912189539261,-0.32698280846445327
8,vertical_velocity_30_std,6.20992791695004,2.9807423776941993,-0.12927922105631082,0.762381746076404,0.000360915267458945,0.3267872738806379,0.7219699211004569,1.7164482462629354,2.05894946950834,-0.4105214639827792,-0.5262995755732278
11,vertical_velocity_30_std,-2.723953346352327,0.37492587532844485,-0.8162501355948921,0.303883815480867,-0.02875002449483059,0.12120689219124386,0.22336549880841242,0.06005528962169199,0.0428764302817017,-0.035103874685242786,0.12665784182067147
12,vertical_velocity_30_std,-3.4146965333463077,0.1897940186437692,-0.7257893935922733,0.4514750134847421,-0.022230710216594805,-0.09312823708429042,0.047922649334580965,-0.11659818619896448,0.2918179212548145,0.07050507148886921,0.1595018112434854
13,vertical_velocity_30_std,-3.788758752315726,-0.17895988853408645,-0.9466458212936981,0.9679894452966149,-0.2623014634665221,0.44094375375607164,-0.5462065570567972,-0.5152653384740814,1.017287440538556,0.6453446924993681,-0.057583000884203706
16,vertical_velocity_30_std,0.5420584610670088,-0.13616227957633043,0.2395706704915178,-0.2577581941766698,0.16597753240729157,-0.11669385993809463,0.0061648480544008455,0.30125767004147785,-0.4831009576839307,0.500881926667163,0.02434550008693327
19,vertical_velocity_30_std,-2.544546296710725,0.22541729447694828,0.13624055577018118,0.09575135158800437,-0.07429361320705472,0.08817955815804994,0.0932118691961553,-0.2765454823302534,0.07994348441678321,0.22212158528780493,0.2947462418877667
21,vertical_velocity_30_std,3.8897442988424302,-1.7922203610970893,1.158959408598538,-1.913206998012882,-1.2871384179267402,-1.1693343468163833,0.045909454689889245,0.3751372150676671,-0.4841561732659388,-0.15016907045015368,-0.4208688853017338
