storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13
1,large_scale_precipitation_min,-0.9590968894552648,-1.0757500729743814,-0.4117306665403114,-0.11172490715101081,-0.14498520892193673,-0.35793941578647254,-0.1470115678213619,-0.10387551057883415,-0.09353383094081562,-0.08508123500870451,-0.07105092002598108,-0.05042676704345747,-3.3117352522053976e-05
2,large_scale_precipitation_min,-0.9590968894552648,-1.0757500729743814,-0.4117306665403114,-0.11172490715101081,-0.14498520892193673,-0.35793941578647254,-0.1470115678213619,-0.10387551057883415,-0.09353383094081562,-0.08508123500870451,-0.07105092002598108,-0.05042676704345747,-3.3117352522053976e-05
3,large_scale_precipitation_min,-0.8895379839334102,-0.280154780930893,-0.5601788536928922,0.17367000941868904,-0.3384002023626638,-0.24193136189948192,-0.2228956888322839,0.057334859964983956,-0.10014597234310642,-0.05584579042876819,0.0811783993465348,0.12273144274519439,0.04970525195385068
5,large_scale_precipitation_min,-0.01994115940435281,-0.9947677358899375,-0.3314663166901602,1.0346301550698955,2.948078835601324,1.3833448432665945,-0.3999424757991622,0.02720844753530674,-0.2926873295070266,-0.9856335531493108,0.3465145519533907,-0.5877955642938132,-0.022462718527982883
6,large_scale_precipitation_min,-0.9754919519401585,-1.0072712799087886,-0.1696112143428031,-0.25837559484375766,-0.10581406617307841,-0.3134332826469495,-0.18247645547701968,-0.2842321151536567,-0.10785482476552531,-0.09442091682858758,-0.10374047557860434,-0.06030639011698993,-0.05084035796170609
7,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
8,large_scale_precipitation_min,0.0013827745975911845,-0.7785582484119943,-0.5863770673517119,0.016318231318424727,-1.7574632968390111,2.077334820698988,-0.1589510412426492,-0.19219684596492265,-0.07424463897003038,0.8391073748491963,2.459713886373469,-0.14177733934918854,-0.30324614757261253
11,large_scale_precipitation_min,-0.8697293224312256,-0.28878394338681995,0.5413439544286127,0.12090716983240345,-0.6508934911258605,0.25903466738830927,-0.847322122114094,1.0589107274507328,0.18570792513581685,-0.3433683936448289,-0.20707824395747895,0.10507996728174035,0.1488826161030235
12,large_scale_precipitation_min,-0.9742518961366395,-0.9733226224135091,-0.2245336285167717,-0.17079560459017118,-0.1346857222413104,-0.34128918336291403,-0.27341778624658414,-0.22287771011087518,-0.10058701407834773,-0.0852525180110579,-0.0912753834269379,-0.14319051152936763,-0.10907346454537249
13,large_scale_precipitation_min,-0.9690174511573917,-1.0508410851110908,-0.26486160487627175,-0.20034239511199198,-0.12320101037270291,-0.33114286260285525,-0.11916308192947725,-0.1539585360197956,-0.0956740797659265,-0.09708421543663583,-0.05540859132047602,0.02493249907494279,0.07647090392856902
16,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
19,large_scale_precipitation_min,-0.9297051864739196,11.417775614391461,2.9054692209401063,7.72407871320685,-2.5694389512516524,-1.4203275663402968,-3.5079601479073124,1.1511110713404238,0.1969183220962008,0.02529326532311814,-0.04117300494531398,0.06541423720910097,0.14264836986945717
21,large_scale_precipitation_min,6.29901658403404,0.008383713207877239,-0.04275770680154316,3.655354776772763,8.028417482486928,4.171339496239098,-0.4897987838900014,0.143431343392348,0.38698644132046994,-0.0678371211472313,0.35421047679159606,0.21906524218738918,0.020755824657476475
26,large_scale_precipitation_min,-0.7426771523626896,-0.3128960941532294,-0.5897912986460968,-0.06325263562852988,-0.4409312236586535,0.135538465174549,0.14354655246254167,-0.2213174991758067,-0.15059390457037958,-0.2863093764692805,0.8195899421932158,0.3579812869479783,0.13683784927144388
27,large_scale_precipitation_min,-0.9770263405566892,-0.8290842588557066,-0.2526040147747979,0.11441244140937436,-0.2051409694006221,-0.41476227276447725,-0.3439965368984583,-0.04295428279874286,-0.08664497875915327,-0.10220299494522624,-0.06669102638567845,-0.1881268938106195,0.06279406175614237
29,large_scale_precipitation_min,-1.2536541716017315,5.349992744809266,12.966356107952109,-3.3994655093884214,0.9898018457216737,0.6223867973514936,0.4161860277274302,-1.4316546845099087,-0.24103618973824464,-0.050652575179366055,0.292774479407829,-0.3563985779710389,-0.16332387827741526
31,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
32,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
33,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
34,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
38,large_scale_precipitation_min,-0.8690963908296057,-1.0747320268029708,-0.4047281481606417,-0.12317278791346876,-0.13365542717052123,-0.40843572563563885,-0.16820780980273042,-0.09684796167233631,-0.12428679092849036,0.006879082851615269,-0.09381685160935051,-0.0180012366670125,0.10736159769045474
39,large_scale_precipitation_min,-0.9636140524995755,-1.081248409249777,-0.41411610523380854,-0.11260302180357495,-0.14606753126206767,-0.36076559825896914,-0.14664556338697132,-0.10415747191634141,-0.09402813795559971,-0.08641255860357622,-0.0720484459694198,-0.05100639211700809,-0.0001417493263469025
43,large_scale_precipitation_min,-0.9636140524995755,-1.081248409249777,-0.41411610523380854,-0.11260302180357495,-0.14606753126206767,-0.36076559825896914,-0.14664556338697132,-0.10415747191634141,-0.09402813795559971,-0.08641255860357622,-0.0720484459694198,-0.05100639211700809,-0.0001417493263469025
44,large_scale_precipitation_min,-0.6207904038534996,-1.0946092516681405,-0.4362976572668011,0.31024451369983086,1.0545352584385872,0.2847061073005613,-0.282140512330031,-0.03333504510466076,-0.1647617834225968,-0.2590246872669195,-0.2990360481773209,-0.028285572782482914,-0.6060555856506883
45,large_scale_precipitation_min,2.38821986876426,-1.0227661900384442,-0.33921988661352453,0.7191459325628115,2.901082318768981,0.5140804141324163,-0.5314537128885741,0.0595466577895853,-0.08849009042744296,-0.22603941719360987,-0.7748370237466031,0.015621584906600176,-1.12750464525112
46,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
47,large_scale_precipitation_min,-1.0411498982186251,-0.880536863245342,0.610308578840597,-0.8240834009474064,0.032392256562291416,-0.18724668434717942,0.5204087819986289,1.8975266026582334,0.23197999645028594,0.050463614336872804,0.017737012260715255,-0.07667136315119233,-0.09837519259779427
48,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
49,large_scale_precipitation_min,-0.96135547097742,-1.0784992411120788,-0.4129233858870599,-0.11216396447729295,-0.14552637009200223,-0.3593525070227208,-0.14682856560416663,-0.10401649124758774,-0.09378098444820769,-0.08574689680614031,-0.07154968299770043,-0.05071657958023282,-8.743333943449558e-05
