time_step,variable,PCA_1
1,mean_sea_level_pressure_mean,4.893759627897557
2,mean_sea_level_pressure_mean,4.685028972508633
3,mean_sea_level_pressure_mean,4.386683515427328
4,mean_sea_level_pressure_mean,4.141621042431067
5,mean_sea_level_pressure_mean,3.9144446607761307
6,mean_sea_level_pressure_mean,3.5867415190497036
7,mean_sea_level_pressure_mean,3.254447918407325
8,mean_sea_level_pressure_mean,2.947202788173849
9,mean_sea_level_pressure_mean,2.4898903185482277
10,mean_sea_level_pressure_mean,2.0881042560375964
11,mean_sea_level_pressure_mean,1.6586889308254995
12,mean_sea_level_pressure_mean,1.316389917734504
13,mean_sea_level_pressure_mean,0.9146592311757226
14,mean_sea_level_pressure_mean,0.5724263775042346
15,mean_sea_level_pressure_mean,0.27087532912261036
16,mean_sea_level_pressure_mean,-0.07631037404110393
17,mean_sea_level_pressure_mean,-0.42432741320207906
18,mean_sea_level_pressure_mean,-0.6882214674761198
19,mean_sea_level_pressure_mean,-0.9649432017551764
20,mean_sea_level_pressure_mean,-1.1479008232913916
21,mean_sea_level_pressure_mean,-1.3288658275114447
22,mean_sea_level_pressure_mean,-1.5209585176747002
23,mean_sea_level_pressure_mean,-1.6789956844507106
24,mean_sea_level_pressure_mean,-1.8376495635953611
25,mean_sea_level_pressure_mean,-2.030366943368287
26,mean_sea_level_pressure_mean,-2.196118248444797
27,mean_sea_level_pressure_mean,-2.330880720045065
28,mean_sea_level_pressure_mean,-2.4682864426960998
29,mean_sea_level_pressure_mean,-2.5552924828190453
30,mean_sea_level_pressure_mean,-2.642177225623119
31,mean_sea_level_pressure_mean,-2.691660271984666
32,mean_sea_level_pressure_mean,-2.753490361686802
33,mean_sea_level_pressure_mean,-2.831296570714343
34,mean_sea_level_pressure_mean,-2.933816294394469
35,mean_sea_level_pressure_mean,-2.994833026698835
36,mean_sea_level_pressure_mean,-3.024572944146374
