storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,mean_surface_sensible_heat_flux_std,3.337689390604138,-1.3005121529147299,2.395214965902978,-2.57332610869694,1.9100009123261268,-1.2530710526281295
2,mean_surface_sensible_heat_flux_std,-3.728055377514747,5.13626272379216,-0.013145390587453737,0.6495145157272295,0.6057282108616859,0.1776449103906324
3,mean_surface_sensible_heat_flux_std,1.7433748962807831,-1.4276991298358517,-0.06694533658823776,1.001415204740908,1.1148762930230693,-1.810577383277791
5,mean_surface_sensible_heat_flux_std,11.068810551023082,-1.4738685707096764,4.069372017732291,-1.288434295140638,0.28376729218575253,-0.2664252339040384
6,mean_surface_sensible_heat_flux_std,-0.9367840577099252,0.6023029407266633,0.2148907081191621,1.1480194262062062,-1.588627393874001,1.0125267471968316
7,mean_surface_sensible_heat_flux_std,-6.0869323225482725,-2.7759039008232325,-0.8006916694402665,0.5016678642885417,-0.043241693107251615,-0.015776591915393056
8,mean_surface_sensible_heat_flux_std,-0.1783324886551235,3.0494148131705097,0.34107216377865973,-1.3619817235306797,-1.004657235550449,0.8903816693181159
11,mean_surface_sensible_heat_flux_std,-2.096925687257647,1.677477370396588,-1.1642350590773725,-0.6838992255685732,-0.4617340094559942,-0.3788272237516683
12,mean_surface_sensible_heat_flux_std,-6.116135799649383,-0.05260525263447508,-0.7212774116411969,-0.3848383630720797,-0.32091446772219245,-0.04144314170393411
13,mean_surface_sensible_heat_flux_std,-1.444307152102042,-0.5362938353866935,1.1073903318473861,0.06587626509316936,0.4019943622627526,0.3554220407336497
16,mean_surface_sensible_heat_flux_std,14.551410604865978,1.7530078634182429,-2.328798915983219,0.024844321733269923,-0.34270302769526373,0.5268870487856204
19,mean_surface_sensible_heat_flux_std,2.972092885602935,1.0341446139703128,-0.9469453353166962,0.6881940847989857,-0.08081189954441416,0.6769860165498849
21,mean_surface_sensible_heat_flux_std,2.9860457724063463,1.5386451876265506,-1.4214842320087744,0.9244055601218787,2.1750289602627335,1.042343669856984
26,mean_surface_sensible_heat_flux_std,-9.33748586560741,-3.65272998656845,-0.25799277065570414,-0.4425606176882234,-0.6866753303336871,-0.3533045375066114
27,mean_surface_sensible_heat_flux_std,1.627109525001827,-0.513873884299613,1.5445104282527071,0.23448552461431826,1.581781755196148,0.8398281195854
29,mean_surface_sensible_heat_flux_std,7.295712361966589,0.029044824459208356,1.8673659118390833,1.9052325990432983,-1.7082319550912168,0.658811053842884
31,mean_surface_sensible_heat_flux_std,-6.769984467005301,-0.028754845883998896,0.3366237960289909,0.63513566073815,1.0361652847417258,0.3437579144292499
32,mean_surface_sensible_heat_flux_std,1.214922619993808,2.4706208090045987,1.9785739990172801,0.26432140312457936,-0.5332614439855087,0.9605977033286051
33,mean_surface_sensible_heat_flux_std,4.740097474320927,-0.32666860828417776,-0.21047125223431645,1.2857638149791735,0.15550658683528062,-1.207454754880752
34,mean_surface_sensible_heat_flux_std,4.795265768678987,0.0406429772008242,-2.545229622101368,-1.024403062785042,0.6494373974718607,-1.9531286127000425
38,mean_surface_sensible_heat_flux_std,-4.8946249312241115,0.2354906805972637,-0.578618951160436,0.6933138958867336,-0.09769168806418436,0.3179329330725259
39,mean_surface_sensible_heat_flux_std,-3.2772446408011615,3.7501200550846923,1.0451529651790659,0.6639850316540252,0.4076007037043315,0.9096878693057935
43,mean_surface_sensible_heat_flux_std,-4.221227486108578,8.641834939756134,-1.47527928670602,-1.2449843444321103,-1.1082154770818446,-0.2537355921464213
44,mean_surface_sensible_heat_flux_std,4.255426678656877,-3.650318532688645,-0.6875835435352373,0.06937991050696879,-1.660262609851841,-1.1033272859643264
45,mean_surface_sensible_heat_flux_std,-5.30715261243029,-2.248163008964497,-0.06954393651275526,-0.25668811902337685,0.88288190685513,-0.001724494084459152
46,mean_surface_sensible_heat_flux_std,-1.5396604951354218,-2.0772790716082614,0.33590674390699937,0.6959927776345131,0.07065281646469872,0.23171744302902972
47,mean_surface_sensible_heat_flux_std,-1.4586855627527655,0.6261621409408495,2.2589423209178094,0.5063149874522085,-0.17573524137166713,-0.10253463697786573
48,mean_surface_sensible_heat_flux_std,8.69389805532597,5.1436865645657495,-4.442803292301012,-2.2633577139594574,-0.5165838087586336,-0.13216689811763624
49,mean_surface_sensible_heat_flux_std,-5.576548076910788,-3.2805754973941585,0.8724615486046021,0.22218350568968698,-0.023093137940122035,-0.1474475379983557
