time_step,variable,PCA_1,PCA_2
1,10m_u_component_of_wind_mean,-4.346400482236176,3.3616974471343224
2,10m_u_component_of_wind_mean,-4.456030133490588,3.234130583547365
3,10m_u_component_of_wind_mean,-4.44267461787094,2.967403929082168
4,10m_u_component_of_wind_mean,-4.482628056655898,2.4682683629476547
5,10m_u_component_of_wind_mean,-4.389796361857608,2.0479430727134513
6,10m_u_component_of_wind_mean,-4.626535380620883,1.6872286701836312
7,10m_u_component_of_wind_mean,-4.4578667999284045,1.2251839603393142
8,10m_u_component_of_wind_mean,-4.231581027410191,0.85793077392741
9,10m_u_component_of_wind_mean,-4.0273758576262715,0.4513503293151953
10,10m_u_component_of_wind_mean,-3.991949569402377,0.15357707289675843
11,10m_u_component_of_wind_mean,-3.9358510463493808,-0.20784007968085533
12,10m_u_component_of_wind_mean,-3.654514969714035,-0.5068539619629058
13,10m_u_component_of_wind_mean,-3.577545625998938,-0.7616473308907737
14,10m_u_component_of_wind_mean,-3.303718475672843,-1.0322933030694805
15,10m_u_component_of_wind_mean,-3.0211486927823943,-1.2737467609778417
16,10m_u_component_of_wind_mean,-2.7009582767691516,-1.6650173176033731
17,10m_u_component_of_wind_mean,-2.3697146824541613,-2.054346037342313
18,10m_u_component_of_wind_mean,-1.8803386272996472,-2.3915538648672343
19,10m_u_component_of_wind_mean,-1.1095063966221212,-2.656613465383673
20,10m_u_component_of_wind_mean,-0.4627929406133174,-2.8707296141161978
21,10m_u_component_of_wind_mean,0.11142076788671484,-3.0410935625377085
22,10m_u_component_of_wind_mean,0.9257343067099798,-3.1317434672632234
23,10m_u_component_of_wind_mean,1.6631911400423414,-2.957286998606621
24,10m_u_component_of_wind_mean,2.4167159955595507,-2.6422300730793977
25,10m_u_component_of_wind_mean,3.1259220165025075,-2.1538831979955524
26,10m_u_component_of_wind_mean,3.818400018397363,-1.564163825650654
27,10m_u_component_of_wind_mean,4.2938465241609824,-1.0440727691536549
28,10m_u_component_of_wind_mean,5.03406930387457,-0.5157860326774034
29,10m_u_component_of_wind_mean,5.535950573269378,0.17065717246724624
30,10m_u_component_of_wind_mean,5.889334704203734,0.7395242191012604
31,10m_u_component_of_wind_mean,6.092935174176498,1.1532126510252358
32,10m_u_component_of_wind_mean,6.198832430734282,1.5699245793221972
33,10m_u_component_of_wind_mean,6.267319183564361,1.9783672067020135
34,10m_u_component_of_wind_mean,6.07680382343897,2.49265901251967
35,10m_u_component_of_wind_mean,6.029100213120767,2.804100200443896
36,10m_u_component_of_wind_mean,5.989351845733323,3.107742419190068
