storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17
1,convective_snowfall_max,7.67756637076845,-2.104036289764235,-4.5024370191848035,0.5202732653506165,-0.7521696213739827,-0.362495668289444,-0.5453028423003061,0.559970548102618,0.13871373865369807,-0.7641357286946735,0.29271376906329377,-0.059396584349581935,0.5974960642658026,-0.14019922840111435,-0.24873753797692183,0.5596451388824086,0.936591576800294
2,convective_snowfall_max,-1.6357396647978555,2.1909233106481567,-0.7941415248234297,-1.930128396893078,-2.945985751645296,0.18489486504068012,-1.2245620671286186,-1.3533675258254998,-0.13049346333682188,1.1921982058355738,-0.46973058664368,-0.9166837636584309,-0.11794858302556215,0.055773393438587865,-0.14474340426262314,-0.7924177435640943,0.6167320980947544
3,convective_snowfall_max,-2.2108571912125874,-0.1886238874417653,-0.42345164879146413,1.1498866495640772,-0.5709011404680564,0.3648198865675185,0.0006376813256778098,0.22023973817470574,-0.8031003411038432,-0.23746621107295227,-0.6974361495582048,0.2849607771909122,-0.2223993121216538,-0.09300198126373231,0.004843113278931829,0.350442459010017,-0.9151906661185032
5,convective_snowfall_max,-0.036678332760489304,2.10035434009924,2.4551220179475983,-0.6418784694257746,0.01056697696687022,1.141398278324143,-0.8507351188138026,0.46409490407218273,1.0794229565880558,1.1219980317107205,0.3898682841877199,-0.6417733321196185,-0.12292632826171798,-0.0032756950121847527,-0.12673198729239682,0.4930803205432652,-0.5883665052063941
6,convective_snowfall_max,-2.2179584410900826,-0.0009378526430219453,0.002161260924037332,0.19732187579578078,0.031446735670654265,0.29269382114155423,0.3532434056951627,-0.027081135140838142,0.003009539532703909,-0.01789995081750961,0.1316699348120084,0.28919628071658227,0.08037847695756374,0.19451150093214262,-0.19430685559292327,0.20293881245950854,-0.11202849185567498
7,convective_snowfall_max,-4.256412649857043,-0.460276682140189,0.12993351577561524,0.07337872955639449,0.25804910290713534,-0.06356254480650438,-0.05147209729391252,0.043004211993272784,0.24887853773858637,0.06503442625704281,0.08776662026876132,-0.003657900208266309,-0.0043187013714538125,0.08640764960469245,-0.039569573082361253,0.05417781394031063,0.02069097266751281
8,convective_snowfall_max,-1.350589675217989,-0.5148456433741707,2.691014391939215,0.492116002800556,0.8770963493503379,0.37269832240500683,-0.12221853668272986,-0.49556419297629334,-0.13705030788884923,-0.1363086137990234,0.004750176873062245,-0.128794498445573,-0.5860680972118083,-0.30746158838507553,-0.13272484318565944,-0.15490545342231563,0.05075379556155955
11,convective_snowfall_max,-4.232761546356162,-0.40475523638101024,0.101645732841356,0.0336149933929766,0.2267835516882872,-0.03493783819583924,-0.027463412712325642,0.013141023060876894,0.2679665809101951,0.07439412742883295,0.08541148499220495,0.007079602907223669,0.010323028187378234,0.051958335493381316,-0.005943688661603946,0.03919099975521693,0.10410575260054626
12,convective_snowfall_max,-4.223238370458556,-0.3844503484319283,0.12281477806338897,0.037821611115187746,0.18607797084505218,-0.06664812240740513,-0.08825190633785816,0.03146296096015666,0.27663117354447264,0.1090923703048507,0.08254674114948223,0.01939811775223689,-0.014205114579428137,0.07625895749290486,-0.0064600764034844545,0.056835655656990426,-0.04182687094899963
13,convective_snowfall_max,-4.153584080787691,-0.30440898704362973,0.05542945904590122,-0.00249840615680006,0.27845668092975834,0.009926665594206654,0.017112785404792878,0.07880354018174542,0.277839984974192,0.025711196889173612,0.06812779962278763,0.04068841353330756,0.03050748518142461,0.043006469262148114,0.0019466023595112974,0.10517362565945679,0.1380516618230838
